trade_date,open,high,low,close,volume
2008-01-02,8491.57,8532.92,8319.58,8323.05,4383717998
2008-01-03,8171.68,8243.93,8130.41,8184.2,3666870273
2008-01-04,8134.04,8247.18,8097.85,8221.1,4633430295
2008-01-07,7959.92,8015.93,7883.37,7883.37,4550021743
2008-01-08,7909.26,8011.07,7895.78,7962.91,4638556796
2008-01-09,7842.16,8085.06,7818.31,8085.06,4693203299
2008-01-10,8153.08,8177.13,8057.27,8057.27,4499922672
2008-01-11,8134.11,8151.95,8026.34,8029.31,3940124190
2008-01-14,8254.0,8260.88,8097.68,8173.41,6124238775
2008-01-15,8316.24,8546.2,8312.02,8428.84,7573033144
2008-01-16,8286.31,8375.06,8179.54,8179.54,7662891367
2008-01-17,8245.19,8300.29,8004.47,8101.63,6407511033
2008-01-18,7934.86,8184.65,7883.91,8184.65,6002099408
2008-01-21,8167.48,8220.63,8099.59,8110.2,5532225790
2008-01-22,7595.17,7741.99,7566.75,7581.96,4682260991
2008-01-23,7708.27,7708.27,7384.61,7408.4,5705438157
2008-01-24,7639.23,7653.08,7412.97,7517.05,5346239604
2008-01-25,7648.29,7739.59,7648.29,7739.59,4668990499
2008-01-28,7678.81,7705.61,7478.2,7485.79,4281512729
2008-01-29,7593.71,7603.38,7447.44,7576.42,3877873642
2008-01-30,7604.29,7667.07,7507.52,7543.5,4069222997
2008-01-31,7528.18,7579.43,7400.74,7521.13,4354317463
2008-02-01,7613.58,7706.03,7583.65,7673.99,4137722324
2008-02-12,7568.3,7619.98,7530.37,7553.3,3819564232
2008-02-13,7644.8,7655.89,7533.6,7550.55,3600828133
2008-02-14,7711.45,7865.28,7707.0,7865.28,4402490026
2008-02-15,7766.49,7888.15,7761.93,7876.37,3894874739
2008-02-18,7925.3,7988.02,7872.71,7890.9,4054184147
2008-02-19,7985.47,8024.41,7932.79,8024.41,4519992908
2008-02-20,8000.12,8040.83,7855.48,7894.47,4220898187
2008-02-21,7982.35,8085.93,7972.13,8085.93,4604461383
2008-02-22,8013.35,8108.71,7986.97,8108.71,4938633957
2008-02-25,8228.92,8307.75,8228.92,8286.31,6345926080
2008-02-26,8379.55,8386.54,8258.87,8307.67,6434323524
2008-02-27,8401.12,8462.08,8362.94,8462.08,6426916308
2008-02-29,8367.45,8473.71,8367.45,8412.76,5943614990
2008-03-03,8213.7,8265.85,8147.27,8262.87,5385933946
2008-03-04,8279.02,8471.07,8279.02,8470.11,6172133026
2008-03-05,8493.97,8559.59,8439.35,8483.95,6406461433
2008-03-06,8559.08,8658.64,8526.37,8658.64,6656941369
2008-03-07,8537.24,8624.65,8513.24,8531.38,6202989466
2008-03-10,8500.81,8507.29,8286.57,8299.37,5140646551
2008-03-11,8206.74,8381.6,8206.74,8381.6,4802919997
2008-03-12,8577.85,8577.85,8424.1,8435.3,5246809542
2008-03-13,8408.46,8447.98,8198.77,8210.99,4270903460
2008-03-14,8293.12,8315.23,8120.49,8161.39,4579499794
2008-03-17,8041.31,8053.08,7900.8,8005.46,4604790798
2008-03-18,8039.29,8082.57,7955.48,8057.82,4125332628
2008-03-19,8215.8,8233.47,8142.73,8179.35,4846936301
2008-03-20,8151.53,8343.38,8124.67,8337.62,5536206250
2008-03-21,8453.56,8539.91,8412.52,8524.99,6495413633
2008-03-24,9049.23,9049.23,8781.02,8865.35,8726549607
2008-03-25,8853.78,8899.26,8761.01,8795.09,6934963957
2008-03-26,8776.19,8842.52,8712.39,8768.02,6957893181
2008-03-27,8698.16,8708.92,8559.1,8605.95,6152043412
2008-03-28,8591.91,8668.22,8564.03,8623.48,5476299499
2008-03-31,8605.9,8627.53,8499.03,8572.59,5004566038
2008-04-01,8593.2,8608.95,8419.72,8419.72,5077899021
2008-04-02,8578.59,8619.78,8519.67,8605.32,5052946097
2008-04-03,8593.85,8621.59,8555.62,8596.34,4753696697
2008-04-07,8638.63,8729.79,8619.99,8729.79,4748213591
2008-04-08,8717.06,8725.69,8672.85,8672.85,5003511920
2008-04-09,8684.66,8759.75,8628.62,8667.93,5190954719
2008-04-10,8682.1,8829.4,8681.89,8829.4,5002290290
2008-04-11,8872.65,8937.12,8840.04,8909.58,7192935801
2008-04-14,8877.47,8928.87,8839.12,8892.68,6697943534
2008-04-15,8931.08,8951.56,8885.32,8924.78,6263439150
