list_month,event,symbol,name
2018-02,進榜,2888,新光金
2018-02,進榜,9958,世紀鋼
2018-02,進榜,2344,華邦電
2018-02,進榜,2474,可成
2018-02,進榜,3673,TPK-KY
2018-02,進榜,4739,康普
2018-02,退榜,3481,群創
2018-02,退榜,4943,康控-KY
2018-02,退榜,2377,微星
2018-02,退榜,3026,禾伸堂
2018-02,退榜,2891,中信金
2018-02,退榜,3406,玉晶光
2018-03,進榜,2492,華新科
2018-03,進榜,4943,康控-KY
2018-03,進榜,3661,世芯-KY
2018-03,進榜,3026,禾伸堂
2018-03,進榜,3406,玉晶光
2018-03,退榜,2888,新光金
2018-03,退榜,2344,華邦電
2018-03,退榜,3673,TPK-KY
2018-03,退榜,2409,友達
2018-03,退榜,4739,康普
2018-04,進榜,2456,奇力新
2018-04,進榜,2031,新光鋼
2018-04,進榜,3708,上緯投控
2018-04,進榜,2049,上銀
2018-04,退榜,2353,宏碁
2018-04,退榜,3661,世芯-KY
2018-04,退榜,2448,晶電
2018-04,退榜,4943,康控-KY
2018-05,進榜,3532,台勝科
2018-05,進榜,2478,大毅
2018-05,進榜,3016,嘉晶
2018-05,進榜,3090,日電貿
2018-05,進榜,2481,強茂
2018-05,進榜,6153,嘉聯益
2018-05,退榜,3708,上緯投控
2018-05,退榜,3443,創意
2018-05,退榜,9958,世紀鋼
2018-05,退榜,2455,全新
2018-05,退榜,3019,亞光
2018-05,退榜,2031,新光鋼
2018-06,進榜,3443,創意
2018-06,進榜,2448,晶電
2018-06,進榜,8163,達方
2018-06,進榜,2303,聯電
2018-06,進榜,2323,中環
2018-06,退榜,3532,台勝科
2018-06,退榜,3090,日電貿
2018-06,退榜,2474,可成
2018-06,退榜,2408,南亞科
2018-06,退榜,2337,旺宏
2018-07,進榜,2474,可成
2018-07,進榜,2408,南亞科
2018-07,進榜,3504,揚明光
2018-07,進榜,2371,大同
2018-07,退榜,2481,強茂
2018-07,退榜,2448,晶電
2018-07,退榜,3016,嘉晶
2018-07,退榜,2323,中環
2018-08,進榜,1101,台泥
2018-08,進榜,2337,旺宏
2018-08,進榜,2439,美律
2018-08,退榜,2303,聯電
2018-08,退榜,2478,大毅
2018-08,退榜,2371,大同
2018-09,進榜,9958,世紀鋼
2018-09,進榜,2345,智邦
2018-09,進榜,1301,台塑
2018-09,進榜,2308,台達電
2018-09,進榜,1326,台化
2018-09,退榜,1101,台泥
2018-09,退榜,3504,揚明光
2018-09,退榜,8163,達方
2018-09,退榜,2439,美律
2018-09,退榜,6153,嘉聯益
2018-10,進榜,2412,中華電
2018-10,進榜,2439,美律
2018-10,進榜,0050,元大台灣50
2018-10,進榜,2027,大成鋼
2018-10,進榜,2371,大同
2018-10,退榜,6456,GIS-KY
2018-10,退榜,2456,奇力新
2018-10,退榜,2345,智邦
2018-10,退榜,3026,禾伸堂
2018-10,退榜,1326,台化
2018-11,進榜,1590,亞德客-KY
2018-11,進榜,2303,聯電
2018-11,進榜,3026,禾伸堂
2018-11,進榜,3665,貿聯-KY
2018-11,進榜,2498,宏達電
2018-11,退榜,9958,世紀鋼
2018-11,退榜,1301,台塑
2018-11,退榜,2439,美律
2018-11,退榜,0050,元大台灣50
2018-11,退榜,2027,大成鋼
2018-12,進榜,2456,奇力新
2018-12,進榜,3037,欣興
2018-12,進榜,1515,力山
2018-12,進榜,2345,智邦
2018-12,退榜,3665,貿聯-KY
2018-12,退榜,2303,聯電
2018-12,退榜,2498,宏達電
2018-12,退榜,3026,禾伸堂
2019-01,進榜,2882,國泰金
2019-01,進榜,2881,富邦金
2019-01,進榜,0050,元大台灣50
2019-01,進榜,1301,台塑
2019-01,退榜,2456,奇力新
2019-01,退榜,2337,旺宏
2019-01,退榜,1515,力山
2019-01,退榜,2371,大同
2019-02,進榜,3034,聯詠
2019-02,進榜,6278,台表科
2019-02,進榜,2379,瑞昱
2019-02,進榜,5876,上海商銀
2019-02,進榜,2337,旺宏
2019-02,退榜,2881,富邦金
2019-02,退榜,1301,台塑
2019-02,退榜,1590,亞德客-KY
2019-02,退榜,3037,欣興
2019-02,退榜,2882,國泰金
2019-03,進榜,1101,台泥
2019-03,進榜,3504,揚明光
2019-03,進榜,6456,GIS-KY
2019-03,進榜,3037,欣興
2019-03,進榜,2439,美律
2019-03,進榜,3019,亞光
2019-03,進榜,2882,國泰金
2019-03,退榜,3443,創意
2019-03,退榜,2412,中華電
2019-03,退榜,2379,瑞昱
2019-03,退榜,6278,台表科
2019-03,退榜,0050,元大台灣50
2019-03,退榜,5876,上海商銀
2019-03,退榜,2337,旺宏
2019-04,進榜,3443,創意
2019-04,進榜,2448,晶電
2019-04,進榜,3017,奇鋐
2019-04,進榜,3711,日月光投控
2019-04,進榜,4958,臻鼎-KY
2019-04,進榜,2313,華通
2019-04,進榜,2337,旺宏
2019-04,退榜,3034,聯詠
2019-04,退榜,1101,台泥
2019-04,退榜,3504,揚明光
2019-04,退榜,2345,智邦
2019-04,退榜,3019,亞光
2019-04,退榜,2308,台達電
2019-04,退榜,2882,國泰金
2019-05,進榜,3034,聯詠
2019-05,進榜,2882,國泰金
2019-05,進榜,2379,瑞昱
2019-05,進榜,1216,統一
2019-05,進榜,2404,漢唐
2019-05,進榜,0050,元大台灣50
2019-05,進榜,2308,台達電
2019-05,進榜,2891,中信金
2019-05,退榜,6456,GIS-KY
2019-05,退榜,2448,晶電
2019-05,退榜,3711,日月光投控
2019-05,退榜,4958,臻鼎-KY
2019-05,退榜,2408,南亞科
2019-05,退榜,2439,美律
2019-05,退榜,2313,華通
2019-05,退榜,2337,旺宏
2019-06,進榜,1101,台泥
2019-06,進榜,2886,兆豐金
2019-06,進榜,3338,泰碩
2019-06,進榜,1590,亞德客-KY
2019-06,進榜,2884,玉山金
2019-06,進榜,6552,易華電
2019-06,進榜,1326,台化
2019-06,退榜,3443,創意
2019-06,退榜,2882,國泰金
2019-06,退榜,2049,上銀
2019-06,退榜,1216,統一
2019-06,退榜,2404,漢唐
2019-06,退榜,0050,元大台灣50
2019-06,退榜,2891,中信金
2019-07,進榜,4968,立積
2019-07,進榜,2344,華邦電
2019-07,進榜,4943,康控-KY
2019-07,進榜,6278,台表科
2019-07,進榜,2408,南亞科
2019-07,進榜,2439,美律
2019-07,進榜,2337,旺宏
2019-07,進榜,2383,台光電
2019-07,退榜,2886,兆豐金
2019-07,退榜,3338,泰碩
2019-07,退榜,2474,可成
2019-07,退榜,1590,亞德客-KY
2019-07,退榜,2884,玉山金
2019-07,退榜,2308,台達電
2019-07,退榜,6552,易華電
2019-07,退榜,1326,台化
2019-08,進榜,3338,泰碩
2019-08,進榜,2345,智邦
2019-08,進榜,6230,尼得科超眾
2019-08,進榜,6669,緯穎
2019-08,進榜,2313,華通
2019-08,退榜,1101,台泥
2019-08,退榜,4968,立積
2019-08,退榜,2344,華邦電
2019-08,退榜,4943,康控-KY
2019-08,退榜,2439,美律
2019-09,進榜,2367,燿華
2019-09,進榜,4943,康控-KY
2019-09,進榜,2474,可成
2019-09,進榜,2308,台達電
2019-09,進榜,6153,嘉聯益
2019-09,退榜,3017,奇鋐
2019-09,退榜,6230,尼得科超眾
2019-09,退榜,6278,台表科
2019-09,退榜,6669,緯穎
2019-09,退榜,2383,台光電
2019-10,進榜,6278,台表科
2019-10,進榜,3661,世芯-KY
2019-10,進榜,4968,立積
2019-10,退榜,2379,瑞昱
2019-10,退榜,6153,嘉聯益
2019-10,退榜,2345,智邦
2019-11,進榜,2448,晶電
2019-11,進榜,2345,智邦
2019-11,進榜,6669,緯穎
2019-11,進榜,6269,台郡
2019-11,進榜,3653,健策
2019-11,退榜,2367,燿華
2019-11,退榜,3338,泰碩
2019-11,退榜,4943,康控-KY
2019-11,退榜,2408,南亞科
2019-11,退榜,2308,台達電
2019-12,進榜,2456,奇力新
2019-12,進榜,3481,群創
2019-12,進榜,6230,尼得科超眾
2019-12,進榜,2408,南亞科
2019-12,進榜,2303,聯電
2019-12,進榜,3019,亞光
2019-12,退榜,2345,智邦
2019-12,退榜,3037,欣興
2019-12,退榜,6669,緯穎
2019-12,退榜,2313,華通
2019-12,退榜,6269,台郡
2019-12,退榜,3653,健策
2020-01,進榜,2313,華通
2020-01,進榜,6269,台郡
2020-01,進榜,3037,欣興
2020-01,進榜,2049,上銀
2020-01,退榜,6230,尼得科超眾
2020-01,退榜,6278,台表科
2020-01,退榜,2448,晶電
2020-01,退榜,2303,聯電
2020-02,進榜,2345,智邦
2020-02,進榜,2478,大毅
2020-02,進榜,6669,緯穎
2020-02,進榜,2409,友達
2020-02,退榜,2313,華通
2020-02,退榜,6269,台郡
2020-02,退榜,4968,立積
2020-02,退榜,3019,亞光
2020-03,進榜,0056,元大高股息
2020-03,進榜,2412,中華電
2020-03,進榜,2884,玉山金
2020-03,進榜,2303,聯電
2020-03,進榜,0050,元大台灣50
2020-03,進榜,2891,中信金
2020-03,進榜,5269,祥碩
2020-03,進榜,2368,金像電
2020-03,退榜,3034,聯詠
2020-03,退榜,2478,大毅
2020-03,退榜,2456,奇力新
2020-03,退榜,3481,群創
2020-03,退榜,2049,上銀
2020-03,退榜,2474,可成
2020-03,退榜,2408,南亞科
2020-03,退榜,2409,友達
2020-04,進榜,4968,立積
2020-04,進榜,2478,大毅
2020-04,進榜,2448,晶電
2020-04,進榜,2474,可成
2020-04,進榜,2408,南亞科
2020-04,進榜,2313,華通
2020-04,退榜,0056,元大高股息
2020-04,退榜,2412,中華電
2020-04,退榜,2884,玉山金
2020-04,退榜,6669,緯穎
2020-04,退榜,0050,元大台灣50
2020-04,退榜,2891,中信金
2020-05,進榜,6278,台表科
2020-05,進榜,4142,國光生
2020-05,進榜,6669,緯穎
2020-05,進榜,6415,矽力*-KY
2020-05,進榜,1760,寶齡富錦
2020-05,退榜,4968,立積
2020-05,退榜,2478,大毅
2020-05,退榜,2474,可成
2020-05,退榜,2408,南亞科
2020-05,退榜,2303,聯電
2020-06,進榜,2458,義隆
2020-06,進榜,4968,立積
2020-06,進榜,8046,南電
2020-06,進榜,4133,亞諾法
2020-06,進榜,2308,台達電
2020-06,進榜,1325,恆大
2020-06,退榜,2448,晶電
2020-06,退榜,2345,智邦
2020-06,退榜,6415,矽力*-KY
2020-06,退榜,2313,華通
2020-06,退榜,2337,旺宏
2020-06,退榜,5269,祥碩
2020-07,進榜,3034,聯詠
2020-07,進榜,3443,創意
2020-07,進榜,6456,GIS-KY
2020-07,進榜,2448,晶電
2020-07,進榜,2303,聯電
2020-07,進榜,6531,愛普*
2020-07,進榜,5269,祥碩
2020-07,退榜,8046,南電
2020-07,退榜,2492,華新科
2020-07,退榜,4133,亞諾法
2020-07,退榜,6278,台表科
2020-07,退榜,6669,緯穎
2020-07,退榜,1325,恆大
2020-07,退榜,1760,寶齡富錦
2020-08,進榜,8046,南電
2020-08,進榜,3017,奇鋐
2020-08,進榜,2379,瑞昱
2020-08,進榜,2474,可成
2020-08,進榜,2313,華通
2020-08,進榜,1325,恆大
2020-08,退榜,2458,義隆
2020-08,退榜,3443,創意
2020-08,退榜,6456,GIS-KY
2020-08,退榜,2448,晶電
2020-08,退榜,2308,台達電
2020-08,退榜,6531,愛普*
2020-09,進榜,3708,上緯投控
2020-09,進榜,2417,圓剛
2020-09,進榜,9958,世紀鋼
2020-09,進榜,3481,群創
2020-09,進榜,2603,長榮
2020-09,進榜,2409,友達
2020-09,進榜,3669,圓展
2020-09,進榜,1513,中興電
2020-09,退榜,3034,聯詠
2020-09,退榜,4968,立積
2020-09,退榜,3017,奇鋐
2020-09,退榜,2474,可成
2020-09,退榜,4142,國光生
2020-09,退榜,2313,華通
2020-09,退榜,1325,恆大
2020-09,退榜,2368,金像電
2020-10,進榜,3576,聯合再生
2020-10,進榜,9103,美德醫療-DR
2020-10,進榜,2337,旺宏
2020-10,進榜,2344,華邦電
2020-10,退榜,9958,世紀鋼
2020-10,退榜,3669,圓展
2020-10,退榜,2379,瑞昱
2020-10,退榜,2409,友達
2020-11,進榜,4968,立積
2020-11,進榜,2492,華新科
2020-11,進榜,2456,奇力新
2020-11,進榜,3711,日月光投控
2020-11,進榜,3189,景碩
2020-11,進榜,6531,愛普*
2020-11,退榜,3708,上緯投控
2020-11,退榜,2417,圓剛
2020-11,退榜,3576,聯合再生
2020-11,退榜,2344,華邦電
2020-11,退榜,3481,群創
2020-11,退榜,9103,美德醫療-DR
2020-12,進榜,3006,晶豪科
2020-12,進榜,2609,陽明
2020-12,進榜,2344,華邦電
2020-12,進榜,3481,群創
2020-12,進榜,2409,友達
2020-12,進榜,2308,台達電
2020-12,進榜,2615,萬海
2020-12,退榜,2456,奇力新
2020-12,退榜,3711,日月光投控
2020-12,退榜,3189,景碩
2020-12,退榜,3008,大立光
2020-12,退榜,6531,愛普*
2020-12,退榜,5269,祥碩
2020-12,退榜,1513,中興電
2021-01,進榜,2328,廣宇
2021-01,進榜,4938,和碩
2021-01,進榜,3443,創意
2021-01,進榜,3711,日月光投控
2021-01,進榜,3008,大立光
2021-01,進榜,6531,愛普*
2021-01,退榜,3006,晶豪科
2021-01,退榜,3661,世芯-KY
2021-01,退榜,2409,友達
2021-01,退榜,2615,萬海
2021-01,退榜,2337,旺宏
2021-01,退榜,3406,玉晶光
2021-02,進榜,3034,聯詠
2021-02,進榜,2337,旺宏
2021-02,進榜,4961,天鈺
2021-02,進榜,2409,友達
2021-02,退榜,2328,廣宇
2021-02,退榜,4938,和碩
2021-02,退榜,4968,立積
2021-02,退榜,3443,創意
2021-03,進榜,2328,廣宇
2021-03,進榜,4968,立積
2021-03,進榜,3545,敦泰
2021-03,進榜,3006,晶豪科
2021-03,進榜,3661,世芯-KY
2021-03,進榜,2610,華航
2021-03,退榜,2492,華新科
2021-03,退榜,2344,華邦電
2021-03,退榜,3711,日月光投控
