peak_date,peak_value,trough_date,trough_value,recovery_date,recovery_value,drawdown_pct,recovery_pct,decline_days,recovery_days,total_days,tier,is_open,parent_macro_idx,parent_macro_tier
2008-01-02,8323.05,2008-01-07,7883.37,2008-01-15,8428.84,5.28,6.92,5,8,13,D,False,,D
2008-01-15,8428.84,2008-01-23,7408.4,2008-02-27,8462.08,12.11,14.22,8,35,43,C,False,,C
2008-03-06,8658.64,2008-03-17,8005.46,2008-03-24,8865.35,7.54,10.74,11,7,18,D,False,,D
2008-03-24,8865.35,2008-04-01,8419.72,2008-04-11,8909.58,5.03,5.82,8,10,18,D,False,,D
2008-05-19,9295.2,2008-10-27,4366.87,2008-11-03,4995.06,53.02,14.39,161,7,168,A-sub,False,4,A
2008-05-19,9295.2,2008-11-20,4089.93,2014-06-19,9316.81,56.0,127.8,185,2037,2222,A,False,,A
2009-01-07,4789.84,2009-01-20,4242.61,2009-06-01,6954.1,11.42,63.91,13,132,145,C-sub,False,4,A
2009-06-01,6954.1,2009-06-18,6144.53,2010-01-15,8356.89,11.64,36.01,17,211,228,C-sub,False,4,A
2010-01-15,8356.89,2010-02-08,7215.88,2010-04-15,8171.94,13.65,13.25,24,66,90,C-sub,False,4,A
2010-04-15,8171.94,2010-06-09,7071.67,2011-01-28,9145.35,13.46,29.32,55,233,288,C-sub,False,4,A
2011-01-28,9145.35,2011-09-26,6877.12,2011-11-01,7622.01,24.8,10.83,241,36,277,B-sub,False,4,A
2011-11-01,7622.01,2011-12-19,6633.33,2012-03-02,8144.04,12.97,22.77,48,74,122,C-sub,False,4,A
2012-03-02,8144.04,2012-06-04,6894.66,2014-06-19,9316.81,15.34,35.13,94,745,839,C-sub,False,4,A
2014-07-15,9569.17,2014-10-17,8512.88,2015-02-24,9629.37,11.04,13.12,94,130,224,C,False,,C
2015-04-27,9973.12,2015-08-24,7410.34,2017-05-11,10001.48,25.7,34.97,119,626,745,B,False,,B
2015-11-04,8857.02,2016-01-21,7664.01,2017-05-11,10001.48,13.47,30.5,78,476,554,C-sub,False,6,B
2018-01-23,11253.11,2019-01-04,9382.51,2019-10-22,11271.25,16.62,20.13,346,291,637,C,False,,C
2020-01-14,12179.81,2020-03-19,8681.34,2020-07-09,12192.69,28.72,40.45,65,112,177,B,False,,B
2020-09-16,12976.76,2020-09-25,12232.91,2020-11-09,13127.47,5.73,7.31,9,45,54,D,False,,D
2021-01-21,16153.77,2021-01-29,15138.31,2021-02-17,16362.29,6.29,8.09,8,19,27,D,False,,D
2021-04-27,17595.9,2021-05-17,15353.89,2021-06-29,17598.19,12.74,14.62,20,43,63,C,False,,C
2021-07-15,18034.19,2021-08-20,16341.94,2021-12-27,18048.94,9.38,10.45,36,129,165,D,False,,D
2022-01-04,18526.35,2022-07-12,13950.62,2022-08-17,15465.45,24.7,10.86,189,36,225,B-sub,False,13,A
2022-01-04,18526.35,2022-10-25,12666.12,2024-02-15,18644.57,31.63,47.2,294,478,772,A,False,,A
2024-04-09,20796.2,2024-04-22,19411.22,2024-05-13,20857.71,6.66,7.45,13,21,34,D,False,,D
2024-07-11,24390.03,2024-08-05,19830.88,2025-02-21,23730.25,18.69,19.66,25,200,225,C-sub,False,15,B
2024-07-11,24390.03,2025-04-09,17391.76,2025-08-18,24482.52,28.69,40.77,272,131,403,B,False,,B
2025-11-03,28334.59,2025-11-21,26434.94,2025-12-10,28400.73,6.7,7.44,18,19,37,D,False,,D
2026-02-26,35414.49,2026-03-31,31722.99,2026-04-10,35417.83,10.42,11.65,33,10,43,C,False,,C
