trough_date,tier,parent_tier,drawdown_pct,dist_250ma,z_125ma,vol_5_60,vix,vix_pct,econ_score,econ_color,blue_streak
2008-01-23,C,C,12.11,,,,,,28,綠,0
2008-10-27,A-sub,A,53.02,-42.60933301075303,,0.6732490840443514,,,12,藍,5
2008-11-20,A,A,56.0,-44.45054365716557,,0.8987205329556156,,,12,藍,5
2009-01-20,C-sub,A,11.42,-38.100541582947365,,0.7400843535076939,,,11,藍,7
2009-06-18,C-sub,A,11.64,7.404636859537801,0.6594785879294638,0.6157004021030322,,,11,藍,12
2010-02-08,C-sub,A,13.65,5.867596683195195,-0.7108665985786286,0.7542309420398382,,,37,黃紅,0
2010-06-09,C-sub,A,13.46,-5.279535385155769,-1.456580314828302,0.7466727033009012,,,39,紅,0
2011-09-26,B-sub,A,24.8,-19.076313980512833,-2.7766623105564747,0.9723874963521782,,,20,黃藍,1
2011-12-19,C-sub,A,12.97,-19.409244355586676,-1.6494125762728389,0.7845182065890514,,,19,黃藍,3
2012-06-04,C-sub,A,15.34,-10.395341265780994,-1.0159420323955883,1.1328510352777228,,,14,藍,9
2014-10-17,C,C,11.04,-3.800845230141132,-3.0468150438851724,1.1168384491662002,,,29,綠,0
2015-08-24,B,B,25.7,-19.614251853339105,-4.2506775380178246,1.2617480095770257,,,16,藍,4
2016-01-21,C-sub,B,13.47,-13.78971719644525,-1.195745773564535,1.0099964259798773,,,15,藍,9
2019-01-04,C,C,16.62,-11.561018292805985,-2.1648325256882055,0.7703139970145632,20.45,78.0,17,黃藍,3
2020-03-19,B,B,28.72,-21.32362993308798,-5.503640849687802,1.8585227515862115,51.14,100.0,25,綠,0
2021-05-17,C,C,12.74,10.88104729769888,-0.1917624946122206,1.4655238027461883,38.67,99.6,40,紅,0
2022-07-12,B-sub,A,24.7,-18.53307753428304,-3.1359744548147575,0.9659101507697532,28.14,99.2,28,綠,0
2022-10-25,A,A,31.63,-22.318209712351944,-2.216071698413386,0.9250734107786424,27.62,98.4,17,黃藍,1
2024-08-05,C-sub,B,18.69,4.75458780646389,-0.9376187242200502,0.906508291558334,48.05,100.0,38,紅,0
2025-04-09,B,B,28.69,-21.821190923294868,-3.920105844900757,1.209090471511017,46.93,99.6,37,黃紅,0
2026-03-31,C,C,10.42,22.066484190522555,0.8284759198271412,0.7878315313084945,37.0,95.0,41,紅,0
