trough_date,tier,parent_tier,dist_250ma,blue_streak,cond_A,cond_B,mode2_AND,mode2_OR
2008-01-23,C,C,,0,False,False,False,False
2008-10-27,A-sub,A,-42.6,5,True,True,True,True
2008-11-20,A,A,-44.5,5,True,True,True,True
2009-01-20,C-sub,A,-38.1,7,True,True,True,True
2009-06-18,C-sub,A,7.4,12,False,True,False,True
2010-02-08,C-sub,A,5.9,0,False,False,False,False
2010-06-09,C-sub,A,-5.3,0,True,False,False,True
2011-09-26,B-sub,A,-19.1,1,True,False,False,True
2011-12-19,C-sub,A,-19.4,3,True,True,True,True
2012-06-04,C-sub,A,-10.4,9,True,True,True,True
2014-10-17,C,C,-3.8,0,True,False,False,True
2015-08-24,B,B,-19.6,4,True,True,True,True
2016-01-21,C-sub,B,-13.8,9,True,True,True,True
2019-01-04,C,C,-11.6,3,True,True,True,True
2020-03-19,B,B,-21.3,0,True,False,False,True
2021-05-17,C,C,10.9,0,False,False,False,False
2022-07-12,B-sub,A,-18.5,0,True,False,False,True
2022-10-25,A,A,-22.3,1,True,False,False,True
2024-08-05,C-sub,B,4.8,0,False,False,False,False
2025-04-09,B,B,-21.8,0,True,False,False,True
2026-03-31,C,C,22.1,0,False,False,False,False
