date,emin,mfe,reL4,pnl_fixed,entry,dl_09:05,cut_09:05,dl_09:10,cut_09:10,dl_09:15,cut_09:15,pnl_mgmt
2025-06-04,545,203.0,1,123.02723764715483,21330.0,0.011515899459897158,0.0,0.0426929482165274,21.0,0.10000980091006044,45.0,123.02723764715483
2025-06-05,548,59.0,0,0.0,21618.0,-0.1096488820121098,-20.0,-0.10132997983776416,2.0,-0.14493828449030555,0.0,0.0
2025-06-10,545,317.0,1,100.60171879728296,21919.0,0.0690302288403728,0.0,0.00915187700291072,0.0,0.07084205132214594,-9.0,100.60171879728296
2025-06-11,540,34.0,0,-63.14588200971775,22321.0,-0.09291348172682898,-53.0,-0.16267596157646796,-69.0,-0.09301604818393161,-46.0,-46.0
2025-06-17,540,41.0,0,0.0,22219.0,0.13448865377319477,34.0,0.009527309656573179,-36.0,-0.01865311080937052,-62.0,-62.0
2025-06-24,542,131.0,0,96.07843514190972,21835.0,-0.013070768037592074,34.0,0.14270988505740656,62.0,0.10123346161276885,45.0,96.07843514190972
2025-07-01,538,355.0,1,107.08188670810341,22238.0,0.36537225744245666,155.0,0.3964462575580912,191.0,0.2905930801382788,208.0,107.08188670810341
2025-07-03,538,79.0,0,0.0,22637.0,-0.11983782973614772,-47.0,-0.11316281685330466,-20.0,-0.26489081633260003,-31.0,-31.0
2025-07-17,541,158.0,0,0.0,22992.0,0.17766241526944002,1.0,0.12399167496842957,2.0,0.10820518782708642,16.0,0.0
2025-08-05,540,66.0,0,0.0,23518.0,0.1047783946780022,-16.0,0.16017802667486936,15.0,-0.020862608748564587,-74.0,-74.0
2025-08-07,540,225.0,1,-7.383277677559818,23829.0,0.1666104328573084,25.0,0.14821702286013141,51.0,0.07926393782928533,57.0,-7.383277677559818
2025-08-19,540,23.0,0,-59.988350399569754,24424.0,0.10432413166183022,13.0,0.09622588652549126,-5.0,-0.12051426781337586,-58.0,-58.0
2025-08-22,539,61.0,0,0.0,23921.0,-0.18526047090968809,-81.0,-0.2553913221483938,-119.0,-0.1698631708156756,-69.0,-69.0
2025-08-27,539,110.0,0,0.0,24386.0,-0.07060437342989136,1.0,-0.08279957681624757,-13.0,-0.10357031826126971,23.0,23.0
2025-09-04,540,118.0,0,0.0,24247.0,-0.004499653759005584,17.0,-0.0042997917604992615,54.0,-0.08190130809631063,-29.0,-29.0
2025-09-08,546,3.0,0,0.0,24671.0,-0.11310133182821154,-53.0,-0.17349404834649043,-49.0,-0.17096953757893302,-68.0,-68.0
2025-09-10,539,232.0,1,113.28867778000858,25012.0,0.03602815704127942,-6.0,-0.01279549081352834,-10.0,-0.0008912191066593673,7.0,7.0
2025-09-11,540,64.0,0,-59.003262973346864,25400.0,-0.09588918580176115,-15.0,-0.23998704573202512,-57.0,-0.1479049130606343,-46.0,-46.0
2025-09-12,546,35.0,0,-60.2410474520766,25431.0,-0.023442274440912892,-8.0,-0.09007692979395868,-11.0,-0.07900528041115386,-15.0,-15.0
2025-09-23,544,222.0,1,-56.47856143218087,26106.0,0.03353630072537697,-16.0,-0.005583196438124216,-41.0,-0.06824677919321294,-9.0,-9.0
2025-10-01,541,253.0,1,124.12787079642294,26122.0,0.07359618316782802,13.0,0.12355501091339177,8.0,0.15349074026115064,57.0,124.12787079642294
2025-10-02,540,13.0,0,-67.82331299196449,26514.0,0.004500474387747167,-104.0,-0.01870227324678563,-94.0,-0.03800359062729894,-80.0,-80.0
2025-10-21,540,107.0,0,0.0,27929.0,0.049855624279100716,38.0,0.07882148622746121,66.0,0.04689814226787174,62.0,0.0
2025-10-29,540,173.0,0,0.0,28273.0,0.06771759639428841,45.0,0.01666626282281771,36.0,-0.05662578779710426,6.0,6.0
2025-10-30,540,87.0,0,0.0,28465.0,0.13450378031069377,44.0,0.20883861326534234,63.0,0.09659780400496762,11.0,0.0
2025-11-11,545,5.0,0,-79.9012960985383,28175.0,0.18315541435608312,0.0,-0.017268150569949795,-57.0,0.07886185409726505,-35.0,-79.9012960985383
2025-11-20,544,93.0,0,0.0,27399.0,-0.03455686120293852,-12.0,0.05122585082250575,31.0,-0.09834351973360453,-5.0,-5.0
2025-11-25,538,17.0,0,-77.94261394347632,27088.0,-0.04347875900439272,-44.0,-0.08557231034661304,-62.0,-0.21640365800114694,-76.0,-76.0
2025-11-26,538,180.0,0,152.038623192846,27204.0,0.10752067870577785,75.0,0.038786114721498156,77.0,0.011330806466398786,85.0,152.038623192846
2025-11-27,539,102.0,0,0.0,27547.0,-0.021607908835005372,10.0,-0.03471239447084261,-20.0,0.048079562739998166,16.0,0.0
2025-12-19,548,119.0,0,0.0,27864.0,-0.1035606946829871,-57.0,0.019247498487361375,19.0,-0.03823988917104237,28.0,28.0
2025-12-23,546,48.0,0,6.0,28407.0,-0.07222819630989848,-16.0,-0.07446813026216785,-29.0,-0.08455853080209332,-26.0,-26.0
2025-12-26,540,49.0,0,-57.85268856638868,28665.0,-0.021467331808095125,-48.0,0.015303747899748987,-73.0,-0.08426882804555628,-94.0,-94.0
2025-12-29,551,232.0,1,0.0,28766.0,-0.1052872812890953,-28.0,-0.09572972138559063,-27.0,0.019598217646994102,18.0,0.0
2026-01-02,539,390.0,1,0.0,29110.0,-0.06806808954724973,-28.0,-0.17170174097565397,-35.0,-0.04986792402205872,-8.0,-8.0
2026-01-05,542,541.0,1,0.0,29946.0,0.011637303222770453,25.0,0.01464724018991689,0.0,0.025093331012128527,37.0,0.0
