trade_date,n_weight,thrust,breadth,confirm,up_full,dn_full,ema20,active,up_L3_full,dn_L3_full,up_L3_pre,dn_L3_pre,up_L3_fwd,dn_L3_fwd,up_L4_full,dn_L4_full,up_L4_pre,dn_L4_pre,up_L4_fwd,dn_L4_fwd,yr
2025-06-02,0,0.0,-0.7109144542772862,-0.0,103.0,259.0,271.72161172237895,1017,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-06-03,21,0.2672679478342443,0.38923395445134573,0.38923395445134573,209.0,266.0,270.51002965358094,966,1,1,0,0,1,1,0,1,0,0,0,1,2025
2025-06-04,21,0.11969976663371241,0.6598150051387461,0.6598150051387461,272.0,73.0,270.0805030199066,973,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-06-05,21,0.014244157856664219,0.3154639175257732,0.3154639175257732,126.0,165.0,270.26331225610596,970,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-06-06,21,0.12253548618754252,0.2553846153846154,0.2553846153846154,103.0,117.0,260.23823489838156,975,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-06-09,21,0.06058782074084137,-0.23795180722891565,-0.23795180722891565,130.0,162.0,246.59649824139285,996,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-06-10,21,0.1763161001041543,0.5040160642570282,0.5040160642570282,386.0,195.0,238.53968888506972,996,1,1,1,0,0,1,1,0,0,0,1,0,2025
2025-06-11,21,-0.3181914100554918,0.06402439024390244,-0.06402439024390244,165.0,143.0,252.5835280388726,984,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-06-12,21,-0.12633770887237877,0.11351909184726522,-0.11351909184726522,102.0,115.0,244.24223965421805,969,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-06-13,21,-0.11447465952061389,-0.6832174776564052,0.6832174776564052,246.0,205.0,231.93345492524492,1007,1,1,0,0,1,1,1,0,0,0,1,0,2025
2025-06-16,21,0.019792671873999922,-0.3384301732925586,-0.3384301732925586,174.0,193.0,233.2731258847454,981,1,1,0,1,1,0,0,0,0,0,0,0,2025
2025-06-17,21,0.016261248693291427,0.4377551020408163,0.4377551020408163,130.0,199.0,229.43759008619824,980,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-06-18,21,0.2113642569355598,0.12159329140461216,0.12159329140461216,268.0,115.0,226.5387719827508,954,1,0,1,0,0,0,1,0,0,0,1,0,2025
2025-06-19,21,-0.2704119002146332,-0.6090819348469891,0.6090819348469891,80.0,182.0,230.48746036534595,1013,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-06-20,21,-0.059052593131750396,-0.520618556701031,0.520618556701031,194.0,273.0,225.86960699721777,970,1,1,0,1,1,0,0,1,0,0,0,1,2025
2025-06-23,21,-0.2153719962697045,-0.794,0.794,279.0,193.0,230.3582158546256,1000,1,1,1,1,0,0,1,0,0,0,1,0,2025
2025-06-24,21,0.0411694666412372,0.826,0.826,202.0,145.0,234.99076672561364,1000,1,0,1,0,0,0,0,0,0,0,0,0,2025
2025-06-25,21,-0.0669808600904695,0.17087967644084934,-0.17087967644084934,151.0,132.0,231.84878894222186,989,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-06-26,21,-0.1053754065774907,0.6394891944990176,-0.6394891944990176,124.0,185.0,224.14890428105787,1018,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-06-27,21,-0.15252731231895605,0.24809885931558937,-0.24809885931558937,139.0,232.0,220.4204372066714,1052,0,1,0,1,0,0,0,1,0,0,0,1,2025
2025-06-30,21,-0.0810280986705049,-0.601593625498008,0.601593625498008,103.0,171.0,221.52325271079795,1004,0,1,0,1,0,0,0,0,0,0,0,0,2025
2025-07-01,21,0.4104143982254772,0.6984282907662083,0.6984282907662083,402.0,307.0,216.7115143573886,1018,1,1,1,0,0,1,1,1,1,0,0,1,2025
2025-07-02,21,0.17978923830012913,0.06806282722513089,0.06806282722513089,193.0,91.0,234.35803679954208,955,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-07-03,21,-0.20906460712937674,0.5806451612903226,-0.5806451612903226,169.0,79.0,230.41917615196664,992,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-07-04,21,-0.06785953077881997,-0.5128733264675592,0.5128733264675592,50.0,331.0,224.5697308041603,971,0,1,0,0,0,1,0,1,0,0,0,1,2025
2025-07-07,21,0.023201489776138937,-0.4586312563840654,-0.4586312563840654,180.0,262.0,234.7059469180498,979,1,1,1,1,0,0,0,1,0,1,0,0,2025
2025-07-08,21,-0.12825422746990683,-0.4963579604578564,0.4963579604578564,174.0,256.0,237.3053805449022,961,1,1,0,1,1,0,0,1,0,0,0,1,2025
2025-07-09,21,0.2553204619284875,0.1283138918345705,0.1283138918345705,327.0,109.0,239.08582049300674,943,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-07-10,21,0.0819458228909024,0.020958083832335328,0.020958083832335328,237.0,106.0,247.45859949367275,1002,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-07-11,21,0.06395134611238627,0.3558974358974359,0.3558974358974359,286.0,87.0,246.46254239903726,975,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-07-14,21,-0.2646882486746719,-0.2730125523012552,0.2730125523012552,89.0,175.0,250.22801455150992,956,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-07-15,21,0.10909310526591486,0.36077235772357724,0.36077235772357724,370.0,169.0,243.0634417370804,984,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-07-16,21,0.09401861034088241,0.1981891348088531,0.1981891348088531,297.0,126.0,255.15263776212038,994,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-07-17,21,-0.14501401823172294,0.6036772216547498,-0.6036772216547498,284.0,163.0,259.1381008323946,979,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-07-18,21,-0.016377642360270474,0.19642857142857142,-0.19642857142857142,80.0,169.0,261.50590075311896,1008,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-07-21,21,0.016664684686557043,0.05723204994797086,0.05723204994797086,108.0,129.0,252.69581496710762,961,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-07-22,21,0.236475405050764,-0.12857142857142856,-0.12857142857142856,201.0,429.0,240.91526116071643,980,1,1,1,0,0,1,0,1,0,0,0,1,2025
2025-07-23,21,-0.20043127594383991,0.7285570131180625,-0.7285570131180625,258.0,122.0,258.8280934311244,991,1,0,1,0,0,0,1,0,0,0,1,0,2025
2025-07-24,21,-0.016625970012211538,-0.22401614530776992,0.22401614530776992,103.0,179.0,258.7492273900649,991,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-07-25,21,-0.2946220170086886,-0.09723643807574207,0.09723643807574207,109.0,121.0,251.1540628767254,977,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-07-28,21,-0.31340227615807964,-0.017119838872104734,0.017119838872104734,193.0,218.0,238.7584378408468,993,1,1,0,1,1,0,0,0,0,0,0,0,2025
2025-07-29,21,-0.20529194517423283,0.21933471933471935,-0.21933471933471935,188.0,332.0,236.78144376076614,962,1,1,0,0,1,1,0,1,0,0,0,1,2025
2025-07-30,20,-0.07196841464177553,-0.21256544502617802,0.21256544502617802,223.0,148.0,245.8498776883122,955,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-07-31,21,-0.08281778594049488,-0.40386571719226855,0.40386571719226855,266.0,156.0,243.6736988608539,983,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-08-01,21,0.26652277539587826,-0.3879728419010669,-0.3879728419010669,394.0,128.0,245.8000132550583,1031,1,0,1,0,0,0,1,0,1,0,0,0,2025
2025-08-04,21,-0.1430330757950623,-0.38147410358565736,0.38147410358565736,268.0,125.0,259.9142977069575,1004,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-08-05,21,0.06397042970787452,0.27353815659068387,0.27353815659068387,163.0,125.0,260.68436459200916,1009,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-08-06,21,0.08783677057532316,0.0068694798822374874,0.0068694798822374874,102.0,91.0,251.38109177372257,1019,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-08-07,21,0.464427861076598,0.21669980119284293,0.21669980119284293,401.0,99.0,237.15432112860614,1006,1,0,1,0,0,0,1,0,1,0,0,0,2025
2025-08-08,21,-0.0894361086969258,-0.0029910269192422734,0.0029910269192422734,86.0,148.0,252.75867149731033,1003,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-08-11,21,-0.042496369202492786,-0.27663734115347016,0.27663734115347016,390.0,152.0,242.78165516423317,1023,1,0,0,0,1,0,1,0,0,0,1,0,2025
