d,dir,L1,L2,L3
2021-01-04,bull,546.0,549.0,551.0
2021-01-04,bear,559.0,,
2021-01-05,bull,635.0,807.0,818.0
2021-01-05,bear,575.0,,
2021-01-06,bull,564.0,565.0,630.0
2021-01-06,bear,570.0,570.0,576.0
2021-01-07,bull,634.0,654.0,660.0
2021-01-07,bear,,,
2021-01-08,bull,625.0,706.0,707.0
2021-01-08,bear,549.0,595.0,603.0
2021-01-11,bull,560.0,569.0,799.0
2021-01-11,bear,602.0,605.0,
2021-01-12,bull,552.0,,
2021-01-12,bear,561.0,566.0,694.0
2021-01-13,bull,569.0,581.0,587.0
2021-01-13,bear,,,
2021-01-14,bull,666.0,757.0,
2021-01-14,bear,,,
2021-01-15,bull,656.0,,
2021-01-15,bear,548.0,578.0,584.0
2021-01-18,bull,561.0,564.0,571.0
2021-01-18,bear,546.0,552.0,554.0
2021-01-19,bull,573.0,700.0,744.0
2021-01-19,bear,,,
2021-01-20,bull,611.0,,
2021-01-20,bear,570.0,663.0,666.0
2021-01-22,bull,604.0,,
2021-01-22,bear,707.0,,
2021-01-25,bull,618.0,624.0,725.0
2021-01-25,bear,573.0,577.0,579.0
2021-01-26,bull,,,
2021-01-26,bear,585.0,620.0,636.0
2021-01-27,bull,579.0,,
2021-01-27,bear,605.0,654.0,659.0
2021-01-28,bull,559.0,,
2021-01-28,bear,642.0,653.0,
2021-01-29,bull,,,
2021-01-29,bear,628.0,688.0,705.0
2021-02-01,bull,587.0,684.0,694.0
2021-02-01,bear,,,
2021-02-02,bull,552.0,558.0,573.0
2021-02-02,bear,,,
2021-02-03,bull,,,
2021-02-03,bear,568.0,,
2021-02-04,bull,575.0,585.0,603.0
2021-02-04,bear,546.0,,
2021-02-05,bull,593.0,597.0,615.0
2021-02-05,bear,642.0,642.0,645.0
2021-02-17,bull,574.0,574.0,580.0
2021-02-17,bear,582.0,582.0,582.0
2021-02-19,bull,744.0,798.0,
2021-02-19,bear,616.0,653.0,
2021-02-22,bull,555.0,,
2021-02-22,bear,588.0,633.0,645.0
2021-02-23,bull,579.0,623.0,635.0
2021-02-23,bear,,,
2021-02-24,bull,586.0,,
2021-02-24,bear,650.0,680.0,726.0
2021-02-25,bull,813.0,,
2021-02-25,bear,593.0,,
2021-02-26,bull,612.0,,
2021-02-26,bear,573.0,584.0,586.0
2021-03-02,bull,,,
2021-03-02,bear,578.0,643.0,684.0
2021-03-03,bull,646.0,657.0,671.0
2021-03-03,bear,565.0,,
2021-03-04,bull,759.0,765.0,
2021-03-04,bear,590.0,623.0,634.0
2021-03-05,bull,583.0,638.0,674.0
2021-03-05,bear,,,
2021-03-08,bull,600.0,,
2021-03-08,bear,622.0,630.0,645.0
2021-03-09,bull,654.0,673.0,
2021-03-09,bear,579.0,598.0,
2021-03-10,bull,,,
2021-03-10,bear,617.0,,
2021-03-11,bull,561.0,577.0,587.0
2021-03-11,bear,,,
2021-03-12,bull,,,
2021-03-12,bear,,,
2021-03-15,bull,,,
2021-03-15,bear,,,
