date,side,reentry_idx,is_reset,group,entry_min,entry,ema,mfe_L,mae_L,reach_L3,reach_L4,reach_L5
2021-01-29,short,1,0,A_first_single,606,15411.0,245.5,1.417,0.077,1,1,1
2021-02-01,long,1,0,A_first_single,591,15232.0,267.5,0.621,0.292,1,1,0
2021-02-02,long,1,0,A_first_single,562,15661.0,271.3,0.586,0.066,1,1,1
2021-02-03,short,1,0,A_first_single,566,15745.0,279.9,0.104,0.322,0,0,0
2021-02-04,short,1,0,A_first_single,554,15564.0,268.4,0.082,0.794,0,0,0
2021-02-04,long,1,0,A_first_single,579,15665.0,268.4,0.417,0.149,1,0,0
2021-02-05,long,1,0,A_first_single,602,15919.0,265.2,0.245,0.584,1,0,0
2021-02-05,short,1,0,A_first_single,653,15820.0,265.2,0.17,0.147,1,0,0
2021-02-17,short,1,0,A_first_single,587,16276.0,262.1,0.16,0.599,0,0,0
2021-02-17,long,1,0,A_first_single,614,16332.0,262.1,0.385,0.084,1,0,0
2021-02-18,long,1,0,A_first_single,664,16489.0,261.4,0.138,0.761,1,0,0
2021-02-19,short,1,0,A_first_single,594,16240.0,259.1,0.424,0.32,1,0,0
2021-02-22,long,1,0,A_first_single,569,16514.0,253.3,0.095,0.703,0,0,0
2021-02-22,short,1,0,A_first_single,594,16432.0,253.3,0.379,0.13,1,0,0
2021-02-23,long,1,0,A_first_single,585,16339.0,250.9,0.446,0.187,1,1,0
2021-02-24,long,1,0,A_first_single,564,16407.0,252.6,0.111,1.085,0,0,0
2021-02-24,short,1,0,A_first_single,655,16264.0,252.6,0.519,0.234,1,1,0
2021-02-25,short,1,0,A_first_single,598,16288.0,257.3,0.175,0.427,0,0,0
2021-02-26,short,1,0,A_first_single,578,15973.0,249.9,0.484,0.324,1,1,0
2021-02-26,long,1,0,A_first_single,598,15968.0,249.9,0.344,0.36,1,0,0
2021-03-02,short,1,0,A_first_single,568,16175.0,251.4,1.221,0.06,1,1,1
2021-03-03,short,1,0,A_first_single,568,15903.0,266.4,0.068,1.1,0,0,0
2021-03-03,long,1,0,A_first_single,653,16062.0,266.4,0.503,0.053,1,1,0
2021-03-04,short,1,0,A_first_single,587,15930.0,270.7,0.643,0.211,1,1,0
2021-03-05,long,1,0,A_first_single,572,15709.0,274.4,0.747,0.087,1,1,1
2021-03-08,long,1,0,A_first_single,609,16088.0,281.0,0.018,1.142,1,0,0
