yr,rule,N,exposure,win_pct,avg_pts,avg_ret,total_pts,total_ret,sharpe,sharpe_252,maxDD_ret,maxDD_pts,streak
2021,baseline,57,1.0,42.1,-3.0,-0.021,-172.0,-1.2,-0.4,-0.83,-3.49,-564.0,4
2021,A_wf_sharpe,57,1.0,42.1,-3.0,-0.021,-172.0,-1.2,-0.4,-0.83,-3.49,-564.0,4
2021,B_scale_0.5,57,0.65,42.1,-0.9,-0.007,-51.0,-0.4,-0.16,-0.33,-2.88,-460.0,4
2022,baseline,120,1.0,40.8,-0.9,-0.007,-109.0,-0.8,-0.25,-0.36,-2.71,-359.0,9
2022,A_wf_sharpe,120,1.0,40.8,-0.9,-0.007,-109.0,-0.8,-0.25,-0.36,-2.71,-359.0,9
2022,B_scale_0.5,120,0.54,40.8,-0.8,-0.006,-98.0,-0.7,-0.42,-0.61,-1.52,-202.0,9
2023,baseline,106,1.0,45.3,3.2,0.021,340.0,2.2,0.79,1.2,-2.47,-415.0,6
2023,A_wf_sharpe,30,0.28,60.0,15.0,0.09,449.0,2.7,0.93,2.67,-0.91,-144.0,4
2023,B_scale_0.5,106,0.69,45.3,3.2,0.02,341.0,2.1,1.02,1.57,-1.48,-250.0,6
2024,baseline,99,1.0,47.5,0.1,0.003,7.0,0.3,0.09,0.14,-2.5,-555.0,9
2024,A_wf_sharpe,6,0.06,50.0,13.7,0.059,82.0,0.4,0.23,1.5,-0.17,-31.0,2
2024,B_scale_0.5,99,0.6,47.5,-1.2,-0.004,-115.0,-0.4,-0.25,-0.39,-1.7,-386.0,9
2025,baseline,99,1.0,46.5,11.0,0.047,1092.0,4.7,1.26,2.01,-2.92,-648.0,8
2025,A_wf_sharpe,14,0.14,64.3,53.9,0.222,755.0,3.1,0.73,3.11,-0.16,-38.0,2
2025,B_scale_0.5,99,0.63,46.5,10.1,0.042,1004.0,4.2,1.7,2.71,-1.46,-324.0,8
2026,baseline,43,1.0,46.5,-8.7,0.01,-374.0,0.4,0.15,0.27,-6.01,-2583.0,6
2026,A_wf_sharpe,23,0.53,52.2,54.6,0.144,1255.0,3.3,1.24,3.03,-2.0,-809.0,5
2026,B_scale_0.5,43,0.81,46.5,16.7,0.063,720.0,2.7,1.16,2.06,-3.01,-1248.0,6
