lookback,thr,split,N,exposure,win_pct,avg_pts,avg_ret,total_pts,total_ret,sharpe,sharpe_252,maxDD_ret,maxDD_pts,streak
125,0.65,IS,93,0.33,47.3,5.9,0.034,546.0,3.2,0.3,0.85,-2.75,-416.0,6
125,0.65,OOS,112,0.46,48.2,24.5,0.078,2745.0,8.8,0.94,2.25,-2.57,-842.0,9
125,0.7,IS,84,0.3,46.4,6.2,0.036,518.0,3.0,0.28,0.83,-2.87,-439.0,6
125,0.7,OOS,100,0.41,47.0,26.1,0.081,2607.0,8.1,0.84,2.15,-2.27,-842.0,9
125,0.75,IS,70,0.25,47.1,7.1,0.04,495.0,2.8,0.24,0.8,-2.99,-460.0,6
125,0.75,OOS,86,0.36,47.7,28.3,0.085,2431.0,7.3,0.74,2.02,-1.86,-777.0,9
125,0.8,IS,60,0.21,50.0,9.5,0.055,570.0,3.3,0.28,0.97,-2.67,-408.0,5
125,0.8,OOS,72,0.3,48.6,31.0,0.093,2230.0,6.7,0.64,1.92,-2.0,-809.0,9
125,0.85,IS,54,0.19,48.1,7.6,0.04,408.0,2.2,0.18,0.66,-3.39,-503.0,4
125,0.85,OOS,51,0.21,47.1,30.8,0.096,1569.0,4.9,0.45,1.62,-1.59,-639.0,7
125,0.9,IS,40,0.14,52.5,10.5,0.06,420.0,2.4,0.18,0.78,-2.69,-408.0,4
125,0.9,OOS,41,0.17,43.9,30.0,0.084,1231.0,3.4,0.31,1.21,-1.24,-497.0,6
250,0.65,IS,105,0.37,46.7,3.7,0.021,393.0,2.3,0.22,0.59,-2.71,-427.0,5
250,0.65,OOS,112,0.46,47.3,20.3,0.063,2277.0,7.0,0.73,1.75,-3.44,-927.0,9
250,0.7,IS,93,0.33,48.4,5.6,0.033,524.0,3.1,0.29,0.83,-2.99,-472.0,5
250,0.7,OOS,96,0.4,50.0,25.5,0.079,2444.0,7.6,0.74,1.93,-2.96,-927.0,7
250,0.75,IS,78,0.28,44.9,4.4,0.024,340.0,1.9,0.17,0.53,-3.01,-459.0,6
250,0.75,OOS,83,0.34,50.6,33.3,0.102,2762.0,8.4,0.83,2.32,-2.02,-842.0,7
250,0.8,IS,66,0.23,43.9,4.9,0.027,324.0,1.8,0.16,0.52,-2.92,-450.0,5
250,0.8,OOS,72,0.3,50.0,34.6,0.105,2494.0,7.6,0.72,2.15,-2.02,-842.0,6
250,0.85,IS,50,0.18,52.0,9.7,0.056,487.0,2.8,0.22,0.87,-2.56,-404.0,4
250,0.85,OOS,62,0.26,53.2,41.5,0.129,2573.0,8.0,0.73,2.35,-2.02,-842.0,6
250,0.9,IS,39,0.14,53.8,15.1,0.089,589.0,3.5,0.25,1.11,-2.56,-404.0,5
250,0.9,OOS,43,0.18,55.8,48.7,0.157,2092.0,6.8,0.57,2.22,-2.0,-809.0,5
375,0.65,IS,108,0.38,45.4,1.4,0.007,154.0,0.8,0.08,0.21,-3.38,-534.0,5
375,0.65,OOS,124,0.51,48.4,18.1,0.06,2241.0,7.4,0.76,1.73,-3.53,-927.0,9
375,0.7,IS,90,0.32,46.7,1.7,0.009,157.0,0.8,0.07,0.22,-2.78,-440.0,6
375,0.7,OOS,114,0.47,47.4,18.0,0.061,2047.0,6.9,0.68,1.62,-3.11,-927.0,9
375,0.75,IS,76,0.27,51.3,5.8,0.033,437.0,2.5,0.23,0.73,-2.58,-408.0,4
375,0.75,OOS,96,0.4,52.1,30.4,0.103,2918.0,9.9,0.98,2.55,-2.21,-927.0,8
375,0.8,IS,60,0.21,50.0,7.2,0.041,429.0,2.5,0.21,0.74,-2.89,-459.0,4
375,0.8,OOS,80,0.33,52.5,34.1,0.113,2727.0,9.0,0.87,2.49,-2.21,-927.0,7
375,0.85,IS,43,0.15,48.8,8.3,0.048,359.0,2.1,0.16,0.67,-2.56,-404.0,5
375,0.85,OOS,67,0.28,50.7,35.9,0.108,2404.0,7.2,0.68,2.13,-2.02,-842.0,7
375,0.9,IS,33,0.12,60.6,16.4,0.095,541.0,3.2,0.22,1.04,-2.56,-404.0,3
375,0.9,OOS,55,0.23,52.7,42.7,0.128,2349.0,7.0,0.62,2.14,-1.86,-777.0,5
