scope,split,rule,N,exposure,win_pct,avg_pts,avg_ret,total_pts,total_ret,sharpe,sharpe_252,maxDD_ret,maxDD_pts,streak
LAG=1,Full,baseline,524,1.0,44.7,1.5,0.011,784.0,5.6,0.3,0.49,-6.01,-2583.0,9
LAG=1,Full,H079_only,483,0.92,44.5,1.1,0.007,522.0,3.6,0.19,0.33,-6.01,-2583.0,12
LAG=1,Full,A_fixed,138,0.26,47.1,20.4,0.068,2818.0,9.3,0.42,1.35,-2.92,-842.0,6
LAG=1,Full,A_wf,250,0.48,46.0,9.0,0.03,2260.0,7.5,0.39,0.93,-4.11,-809.0,9
LAG=1,Full,A_wf_sharpe,250,0.48,46.0,9.0,0.03,2260.0,7.5,0.39,0.93,-4.11,-809.0,9
LAG=1,Full,B_scale_0.5,524,0.63,44.7,3.4,0.014,1801.0,7.5,0.55,0.9,-3.47,-1248.0,9
LAG=1,Full,B_scale_0.33,524,0.51,44.7,4.1,0.015,2147.0,8.1,0.65,1.07,-3.27,-842.0,9
LAG=1,Full,C_combo,134,0.26,47.8,21.3,0.071,2858.0,9.5,0.43,1.38,-2.83,-842.0,6
LAG=1,IS 2021-2023,baseline,283,1.0,42.8,0.2,0.001,59.0,0.2,0.03,0.04,-4.11,-651.0,9
LAG=1,IS 2021-2023,H079_only,244,0.86,41.8,-0.9,-0.008,-229.0,-1.9,-0.22,-0.39,-5.06,-749.0,12
LAG=1,IS 2021-2023,A_fixed,66,0.23,43.9,4.9,0.027,324.0,1.8,0.16,0.52,-2.92,-450.0,5
LAG=1,IS 2021-2023,A_wf,207,0.73,44.0,0.8,0.004,168.0,0.7,0.08,0.15,-4.11,-651.0,9
LAG=1,IS 2021-2023,A_wf_sharpe,207,0.73,44.0,0.8,0.004,168.0,0.7,0.08,0.15,-4.11,-651.0,9
LAG=1,IS 2021-2023,B_scale_0.5,283,0.62,42.8,0.7,0.004,192.0,1.0,0.15,0.25,-3.47,-532.0,9
LAG=1,IS 2021-2023,B_scale_0.33,283,0.49,42.8,0.8,0.004,237.0,1.3,0.21,0.34,-3.27,-501.0,9
LAG=1,IS 2021-2023,C_combo,64,0.23,43.8,5.3,0.029,338.0,1.9,0.16,0.55,-2.83,-436.0,5
LAG=1,OOS 2024-2026,baseline,241,1.0,46.9,3.0,0.022,725.0,5.4,0.55,0.91,-6.01,-2583.0,9
LAG=1,OOS 2024-2026,H079_only,239,0.99,47.3,3.1,0.023,751.0,5.5,0.56,0.93,-6.01,-2583.0,9
LAG=1,OOS 2024-2026,A_fixed,72,0.3,50.0,34.6,0.105,2494.0,7.6,0.72,2.15,-2.02,-842.0,6
LAG=1,OOS 2024-2026,A_wf,43,0.18,55.8,48.7,0.157,2092.0,6.8,0.57,2.22,-2.0,-809.0,5
LAG=1,OOS 2024-2026,A_wf_sharpe,43,0.18,55.8,48.7,0.157,2092.0,6.8,0.57,2.22,-2.0,-809.0,5
LAG=1,OOS 2024-2026,B_scale_0.5,241,0.65,46.9,6.7,0.027,1610.0,6.5,0.93,1.52,-3.01,-1248.0,9
LAG=1,OOS 2024-2026,B_scale_0.33,241,0.53,46.9,7.9,0.028,1910.0,6.8,1.08,1.77,-2.1,-842.0,9
LAG=1,OOS 2024-2026,C_combo,70,0.29,51.4,36.0,0.11,2520.0,7.7,0.72,2.19,-2.02,-842.0,6
