scope,split,rule,N,exposure,win_pct,avg_pts,avg_ret,total_pts,total_ret,sharpe,sharpe_252,maxDD_ret,maxDD_pts,streak
LAG=0,Full,baseline,524,1.0,44.7,1.5,0.011,784.0,5.6,0.3,0.49,-6.01,-2583.0,9
LAG=0,Full,H079_only,485,0.93,44.1,0.8,0.006,397.0,2.8,0.15,0.26,-6.14,-2583.0,12
LAG=0,Full,A_fixed,138,0.26,52.9,22.9,0.083,3159.0,11.5,0.52,1.65,-2.56,-777.0,5
LAG=0,Full,A_wf,263,0.5,46.0,6.3,0.025,1655.0,6.5,0.35,0.82,-4.11,-667.0,9
LAG=0,Full,A_wf_sharpe,288,0.55,45.8,7.0,0.025,2009.0,7.2,0.39,0.85,-4.11,-777.0,9
LAG=0,Full,B_scale_0.5,524,0.63,44.7,3.8,0.016,1972.0,8.5,0.63,1.02,-3.21,-1215.0,9
LAG=0,Full,B_scale_0.33,524,0.51,44.7,4.5,0.018,2375.0,9.5,0.77,1.26,-2.93,-798.0,9
LAG=0,Full,C_combo,136,0.26,52.9,22.9,0.082,3109.0,11.1,0.5,1.61,-2.6,-777.0,5
LAG=0,IS 2021-2023,baseline,283,1.0,42.8,0.2,0.001,59.0,0.2,0.03,0.04,-4.11,-651.0,9
LAG=0,IS 2021-2023,H079_only,246,0.87,41.1,-1.4,-0.011,-354.0,-2.7,-0.31,-0.54,-5.81,-874.0,12
LAG=0,IS 2021-2023,A_fixed,66,0.23,51.5,8.4,0.048,556.0,3.2,0.28,0.94,-2.56,-404.0,5
LAG=0,IS 2021-2023,A_wf,226,0.8,44.7,1.5,0.008,348.0,1.9,0.2,0.36,-4.11,-651.0,9
LAG=0,IS 2021-2023,A_wf_sharpe,226,0.8,44.7,1.5,0.008,348.0,1.9,0.2,0.36,-4.11,-651.0,9
LAG=0,IS 2021-2023,B_scale_0.5,283,0.62,42.8,1.1,0.006,308.0,1.7,0.26,0.43,-3.21,-490.0,9
LAG=0,IS 2021-2023,B_scale_0.33,283,0.49,42.8,1.4,0.008,392.0,2.2,0.37,0.6,-2.93,-445.0,9
LAG=0,IS 2021-2023,C_combo,65,0.23,50.8,7.6,0.043,495.0,2.8,0.24,0.83,-2.6,-404.0,5
LAG=0,OOS 2024-2026,baseline,241,1.0,46.9,3.0,0.022,725.0,5.4,0.55,0.91,-6.01,-2583.0,9
LAG=0,OOS 2024-2026,H079_only,239,0.99,47.3,3.1,0.023,751.0,5.5,0.56,0.93,-6.01,-2583.0,9
LAG=0,OOS 2024-2026,A_fixed,72,0.3,54.2,36.2,0.115,2603.0,8.3,0.79,2.36,-1.86,-777.0,5
LAG=0,OOS 2024-2026,A_wf,37,0.15,54.1,35.3,0.126,1307.0,4.7,0.42,1.78,-1.65,-667.0,4
LAG=0,OOS 2024-2026,A_wf_sharpe,62,0.26,50.0,26.8,0.086,1661.0,5.3,0.51,1.65,-1.86,-777.0,6
LAG=0,OOS 2024-2026,B_scale_0.5,241,0.65,46.9,6.9,0.028,1664.0,6.8,0.98,1.61,-2.93,-1215.0,9
LAG=0,OOS 2024-2026,B_scale_0.33,241,0.53,46.9,8.2,0.03,1983.0,7.3,1.16,1.9,-2.42,-798.0,9
LAG=0,OOS 2024-2026,C_combo,71,0.29,54.9,36.8,0.117,2614.0,8.3,0.79,2.38,-1.86,-777.0,5
