metric,bucket,N,mean,total,win_pct,maxDD,max_streak
ma7 絕對值,"(0.00566, 0.0236]",104,5.9,610.0,45.2,-320.0,5
ma7 絕對值,"(0.0236, 0.0336]",103,-2.0,-201.0,41.7,-456.0,7
ma7 絕對值,"(0.0336, 0.0413]",104,-3.0,-316.0,39.4,-615.0,7
ma7 絕對值,"(0.0413, 0.0578]",103,-5.8,-600.0,45.6,-921.0,9
ma7 絕對值,"(0.0578, 0.152]",104,12.1,1262.0,51.0,-1798.0,6
pct1y 相對溫度,"(-0.001, 0.198]",104,-5.0,-519.0,37.5,-552.0,6
pct1y 相對溫度,"(0.198, 0.41]",105,-6.6,-694.0,41.9,-731.0,7
pct1y 相對溫度,"(0.41, 0.651]",103,-1.6,-164.0,50.5,-1322.0,4
pct1y 相對溫度,"(0.651, 0.855]",103,-1.0,-105.0,40.8,-1076.0,6
pct1y 相對溫度,"(0.855, 1.0]",103,21.7,2237.0,52.4,-809.0,5
