test,key,N_hot,N_cold,mean_hot,mean_cold,total_hot,total_cold,maxDD_hot,streak_hot,p_hot
by_year,2021,13,38,2.5,-6.2,33.0,-234.0,,,
by_year,2022,7,113,-10.1,-0.3,-71.0,-38.0,,,
by_year,2023,43,63,11.4,-2.4,490.0,-150.0,,,
by_year,2024,20,79,-6.2,1.7,-124.0,131.0,,,
by_year,2025,27,72,43.8,-1.2,1182.0,-90.0,,,
by_year,2026,25,18,61.8,-106.6,1545.0,-1919.0,,,
LOO,排除2021,122,345,24.8,-6.0,3022.0,-2066.0,,,
LOO,排除2022,128,270,24.4,-8.4,3126.0,-2262.0,,,
LOO,排除2023,92,320,27.9,-6.7,2565.0,-2150.0,,,
LOO,排除2024,115,304,27.6,-8.0,3179.0,-2431.0,,,
LOO,排除2025,108,311,17.3,-7.1,1873.0,-2210.0,,,
LOO,排除2026,110,365,13.7,-1.0,1510.0,-381.0,,,
thr_scan,p65,208,310,12.0,-5.6,2490.0,-1735.0,-1066.0,9.0,
thr_scan,p70,183,335,15.2,-6.1,2783.0,-2028.0,-862.0,7.0,
thr_scan,p75,159,359,18.2,-6.0,2897.0,-2142.0,-777.0,6.0,
thr_scan,p80,135,383,22.6,-6.0,3055.0,-2300.0,-777.0,5.0,
thr_scan,p85,108,410,24.1,-4.5,2599.0,-1844.0,-777.0,5.0,
thr_scan,p90,78,440,20.4,-1.9,1592.0,-837.0,-667.0,4.0,
lookback,125d,126,392,15.5,-3.0,1949.0,-1194.0,,,
lookback,250d,135,383,22.6,-6.0,3055.0,-2300.0,,,
lookback,375d,138,380,23.9,-6.7,3299.0,-2544.0,,,
is_oos,IS 2021-2023,63,214,7.2,-2.0,452.0,-422.0,,,0.3779
is_oos,OOS 2024-2026,72,169,36.2,-11.1,2603.0,-1878.0,,,0.0272
