date,strategy,strategy_raw,direction,entry_time,entry_price,exit_strategy,exit_time,exit_price,pnl
2026-03-02,exhaustion,放棄，bb<0.25後反向突破,B,09:03,35027,滿足最大預估振幅,09:36,35381,354
2026-03-03,reversal,關鍵價轉折,S,09:14,35230,滿足最大預估振幅,09:54,34853,377
2026-03-04,reversal,關鍵價轉折,S,09:44,33508,,,,
2026-03-05,reversal,關鍵價轉折,S,09:15,34200,滿足最大預估振幅,09:58,33775,425
2026-03-06,reversal,關鍵價轉折,B,09:23,33477,,,,
2026-03-09,skip,放棄，無訊號,,,,,,,
2026-03-10,reversal,關鍵價轉折,S,09:15,33084,1R停損,09:58,33250,-166
2026-03-11,esthl,開盤區間突破新高/低,B,09:11,33476,滿足最大預估振幅,10:24,33825,349
2026-03-12,reversal,關鍵價轉折,B,09:56,33694,移動停損,10:02,33607,-87
2026-03-13,exhaustion,放棄，bb<0.25後反向突破,B,08:59,32870,滿足最大預估振幅,09:12,33012,142
2026-03-16,esthl,開盤區間突破新高/低,B,09:00,33701,1R停損,09:05,33522,-179
2026-03-17,esthl,開盤區間突破新高/低,B,09:05,33814,滿足最大預估振幅,09:38,33948,134
2026-03-18,esthl,開盤區間突破新高/低,B,08:58,34360,1R停損,09:30,34189,-171
2026-03-19,reversal,關鍵價轉折,B,09:33,33855,移動停損,,33903,48
2026-03-20,skip,放棄，無訊號,,,,,,,
2026-03-23,exhaustion,放棄，bb<0.25後反向突破,B,09:01,32539,滿足最大預估振幅,09:40,32713,174
2026-03-23,reversal,關鍵價轉折,S,09:40,32713,1R停損,10:07,32870,-157
2026-03-24,skip,放棄，無訊號,,,,,,,
2026-03-25,exhaustion,放棄，bb>0.75後反向突破,S,09:00,33704,移動停損,09:35,33653,51
2026-03-25,reversal,關鍵價轉折,B,09:35,33653,移動停損,10:58,33469,-184
2026-03-26,skip,放棄，無訊號,,,,,,,
2026-02-02,esthl,開盤區間突破新高/低,S,09:04,31801,移動停損,09:26,31801,0
2026-02-03,reversal,關鍵價轉折,B,09:34,32338,1R停損,,32246,-92
2026-02-04,skip,放棄，無訊號,,,,,,,
2026-02-26,reversal,關鍵價轉折,B,09:30,35404,,,,
2026-01-02,esthl,開盤區間突破新高/低,B,08:59,29110,滿足最大預估振幅,09:37,29177,67
2026-01-05,esthl,開盤區間突破新高/低,B,09:02,29946,滿足最大預估振幅,09:41,30140,194
2026-01-06,reversal,關鍵價轉折,B,09:41,30323,滿足最大預估振幅,,30381,58
2026-01-07,reversal,關鍵價轉折,B,09:23,30511,滿足最大預估振幅,11:32,30653,142
2026-01-08,reversal,關鍵價轉折,B,09:38,30435,滿足最大預估振幅,09:52,30591,156
2026-01-09,esthl,開盤區間突破新高/低,S,09:01,30354,滿足最大預估振幅,09:32,30078,276
2026-01-12,esthl,開盤區間突破新高/低,B,09:05,30741,1R停損,09:15,30658,-83
2026-01-12,reversal,關鍵價轉折,B,09:16,30664,移動停損,,30603,-61
2026-01-13,exhaustion,放棄，bb>0.75後反向突破,S,09:02,31007,滿足最大預估振幅,09:48,30804,203
2026-01-14,skip,放棄，無訊號,,,,,,,
2026-01-15,reversal,關鍵價轉折,S,09:32,30887,滿足最大預估振幅,10:48,30782,105
2026-01-16,reversal,關鍵價轉折,B,09:26,31213,滿足最大預估振幅,11:33,31430,217
2026-01-19,reversal,關鍵價轉折,B,09:58,31378,滿足最大預估振幅,10:27,31447,69
2026-01-20,reversal,關鍵價轉折,B,09:41,31490,滿足最大預估振幅,10:18,31608,118
2026-01-21,exhaustion,放棄，bb<0.25後反向突破,B,09:01,31572,滿足最大預估振幅,09:28,31669,97
2026-01-22,skip,放棄，無訊號,,,,,,,
2026-01-23,skip,放棄，無訊號,,,,,,,
2026-01-26,esthl,開盤區間突破新高/低,B,09:04,32201,1R停損,09:50,32113,-88
2026-01-26,reversal,關鍵價轉折,B,09:53,32143,移動停損,10:45,32123,-20
2026-01-27,exhaustion,放棄，bb>0.75後反向突破,S,09:58,32293,移動停損,,32293,0
2026-01-27,reversal,關鍵價轉折,B,09:24,32248,滿足最大預估振幅,10:18,32483,235
2026-01-28,reversal,關鍵價轉折,B,09:41,32732,滿足最大預估振幅,13:15,32877,145
2026-01-29,skip,放棄，無訊號,,,,,,,
2026-01-30,esthl,開盤區間突破新高/低,S,09:02,32423,滿足最大預估振幅,09:44,32237,186
2025-12-01,reversal,關鍵價轉折,B,09:28,27564,移動停損,,27591,27
2025-12-02,reversal,關鍵價轉折,B,09:35,27727,1R停損,10:02,27652,-75
2025-12-03,reversal,關鍵價轉折,B,09:18,27784,移動停損,09:57,27775,-9
2025-12-04,skip,放棄，無訊號,,,,,,,
2025-12-05,esthl,開盤區間突破新高/低,B,08:58,27820,滿足最大預估振幅,09:07,27905,85
2025-12-08,skip,放棄，無訊號,,,,,,,
2025-12-09,reversal,關鍵價轉折,S,09:22,28283,滿足最大預估振幅,09:53,28273,10
2025-12-10,esthl,開盤區間突破新高/低,B,08:59,28294,滿足最大預估振幅,12:18,28406,112
2025-12-10,reversal,關鍵價轉折,B,09:32,28328,1R停損,09:46,28263,-65
2025-12-11,exhaustion,放棄，bb>0.75後反向突破,S,09:01,28505,滿足最大預估振幅,09:31,28467,38
2025-12-12,skip,放棄，無訊號,,,,,,,
2025-12-15,esthl_costline,開盤區間突破成本線,B,09:14,27867,滿足最大預估振幅,10:03,27912,45
2025-12-16,exhaustion,放棄，bb<0.25後反向突破,B,09:04,27647,1R停損,09:35,27580,-67
2025-12-17,reversal,關鍵價轉折,B,09:20,27741,滿足最大預估振幅,11:06,27832,91
2025-12-18,reversal,關鍵價轉折,B,09:13,27527,移動停損,10:03,27577,50
2025-12-19,reversal,關鍵價轉折,B,09:37,27867,移動停損,,27857,-10
2025-12-22,reversal,關鍵價轉折,B,09:30,28198,滿足最大預估振幅,11:02,28346,148
2025-12-23,reversal,關鍵價轉折,B,09:36,28385,移動停損,10:27,28420,35
2025-12-24,exhaustion,放棄，bb>0.75後反向突破,S,09:03,28516,滿足最大預估振幅,,28499,17
2025-12-26,reversal,關鍵價轉折,B,09:40,28554,滿足最大預估振幅,10:56,28643,89
2025-12-29,esthl,開盤區間突破新高/低,B,09:11,28766,滿足最大預估振幅,09:45,28894,128
2025-12-30,reversal,關鍵價轉折,B,09:26,28721,滿足最大預估振幅,09:47,28813,92
2025-12-31,reversal,關鍵價轉折,B,09:27,28850,滿足最大預估振幅,09:50,28925,75
2025-11-03,skip,放棄，無訊號,,,,,,,
2025-11-04,reversal,關鍵價轉折,S,09:29,28570,滿足最大預估振幅,10:47,28241,329
2025-11-05,esthl,開盤區間突破新高/低,S,09:01,27578,1R停損,09:11,27658,-80
2025-11-06,reversal,關鍵價轉折,S,09:19,28005,移動停損,09:56,28005,0
2025-11-07,reversal,關鍵價轉折,B,09:37,27719,移動停損,10:02,27686,-33
2025-11-10,reversal,關鍵價轉折,S,09:52,27825,移動停損,10:02,27868,-43
2025-11-11,exhaustion,放棄，bb>0.75後反向突破,S,09:09,28129,滿足最大預估振幅,10:17,28045,84
2025-11-12,reversal,關鍵價轉折,B,09:35,27895,移動停損,10:47,28002,107
2025-11-13,reversal,關鍵價轉折,S,09:45,27951,保本,10:15,27980,-29
2025-11-14,esthl,開盤區間突破新高/低,S,08:59,27440,1R停損,,27520,-80
2025-11-17,reversal,關鍵價轉折,S,09:32,27668,移動停損,10:50,27613,55
2025-11-18,esthl,開盤區間突破新高/低,S,09:02,27127,1R停損,09:45,27208,-81
2025-11-19,reversal,關鍵價轉折,S,09:24,26892,滿足最大預估振幅,11:22,26668,224
2025-11-20,reversal,關鍵價轉折,S,09:32,27438,滿足最大預估振幅,10:27,27221,217
2025-11-21,reversal,關鍵價轉折,S,09:31,26673,滿足最大預估振幅,11:35,26505,168
2025-11-24,reversal,關鍵價轉折,S,09:56,26614,滿足最大預估振幅,10:15,26593,21
2025-11-25,exhaustion,放棄，bb>0.75後反向突破,S,09:04,27046,滿足最大預估振幅,09:40,26919,127
2025-11-26,esthl,開盤區間突破新高/低,B,09:01,27219,,,,
2025-11-27,esthl_costline,開盤區間突破成本線,B,09:28,27552,滿足最大預估振幅,09:59,27610,58
2025-11-28,skip,放棄，無訊號,,,,,,,
2025-10-01,esthl,開盤區間突破新高/低,B,09:01,26122,滿足最大預估振幅,09:47,26343,221
2025-10-02,esthl,拉回買進 - 開盤區間突破新高/低,B,09:02,26487,1R停損,,26459,-28
2025-10-03,esthl_costline,開盤區間突破成本線,B,09:04,26511,滿足最大預估振幅,10:31,26689,178
2025-10-07,esthl,開盤區間突破新高/低,B,09:02,27116,滿足最大預估振幅,10:09,27333,217
2025-10-08,reversal,關鍵價轉折,B,09:12,27024,1R停損,10:11,26960,-64
2025-10-08,reversal,關鍵價轉折,B,09:38,26995,移動停損,10:11,27042,47
2025-10-09,exhaustion,放棄，bb>0.75後反向突破,S,09:02,27436,移動停損,09:29,27417,19
2025-10-13,exhaustion,放棄，bb<0.25後反向突破,B,09:03,26744,,,,
2025-10-14,skip,放棄，有行情但無策略,,,,,,,
2025-10-15,reversal,關鍵價轉折,B,09:11,26862,滿足最大預估振幅,10:24,27134,272
2025-10-16,esthl,開盤區間突破新高/低,B,09:01,27512,滿足最大預估振幅,10:08,27708,196
2025-10-17,reversal,關鍵價轉折,B,09:33,27471,移動停損,09:52,27422,-49
2025-10-20,skip,放棄，有行情但無策略,,,,,,,
2025-10-21,esthl,開盤區間突破新高/低,B,09:00,27929,移動停損,10:44,27965,36
2025-10-22,reversal,關鍵價轉折,S,09:12,27692,移動停損,,27653,39
2025-10-23,exhaustion,放棄，bb<0.25後反向突破,B,09:02,27436,滿足最大預估振幅,,27546,110
2025-10-27,exhaustion,放棄，bb>0.75後反向突破,S,09:01,28201,移動停損,09:33,28164,37
2025-10-28,exhaustion,放棄，bb>0.75後反向突破,S,09:03,28104,移動停損,09:25,28129,-25
2025-10-29,esthl,開盤區間突破新高/低,B,09:00,28273,移動停損,11:45,28433,160
2025-10-30,esthl,開盤區間突破新高/低,B,09:00,28465,移動停損,09:16,28465,0
2025-10-31,reversal,關鍵價轉折,B,09:20,28445,移動停損,10:28,28509,64
2025-09-30,skip,放棄，無訊號,,,,,,,
2025-09-26,esthl,開盤區間突破新高/低,S,09:01,25926,滿足最大預估振幅,10:00,25565,361
2025-09-25,skip,放棄，無行情也無策略,,,,,,,
2025-09-24,exhaustion,放棄，bb>0.75後反向突破,S,09:01,26355,移動停損,10:23,26195,160
2025-09-23,esthl,開盤區間突破新高/低,B,09:04,26106,1R停損,09:10,26056,-50
2025-09-22,reversal,關鍵價轉折,B,09:41,25742,滿足最大預估振幅,10:57,25897,155
2025-09-19,exhaustion,放棄，bb>0.75後反向突破,S,08:58,25828,滿足最大預估振幅,09:48,25688,140
2025-09-18,exhaustion,放棄，bb>0.75後反向突破,S,09:01,25628,,,,
2025-09-17,skip,放棄，無訊號,,,,,,,
2025-09-16,esthl,開盤區間突破新高/低,B,08:59,25450,滿足最大預估振幅,10:00,25570,120
2025-09-15,skip,放棄，無行情也無策略,,,,,,,
2025-09-12,esthl,開盤區間突破新高/低,B,09:04,25475,移動停損,09:28,25441,-34
2025-09-12,reversal,關鍵價轉折,B,09:33,25378,移動停損,10:49,25476,98
2025-09-11,esthl,開盤區間突破新高/低,B,09:00,25410,1R停損,09:09,25360,-50
2025-09-10,esthl,開盤區間突破新高/低,B,08:58,25013,滿足最大預估振幅,11:06,25219,206
2025-09-09,exhaustion,放棄，bb>0.75後反向突破,S,09:00,24746,移動停損,09:32,24762,-16
2025-09-08,esthl,開盤區間突破新高/低,B,09:08,24653,1R停損,09:10,24613,-40
2025-09-05,exhaustion,放棄，bb>0.75後反向突破,S,09:06,24385,移動停損,10:07,24426,-41
2025-09-04,esthl,開盤區間突破新高/低,B,09:01,24302,移動停損,10:31,24365,63
2025-09-03,reversal,關鍵價轉折,S,09:54,24127,移動停損,11:00,24092,35
2025-09-02,reversal,關鍵價轉折,S,09:10,24246,移動停損,10:13,24120,126
2025-09-01,reversal,關鍵價轉折,S,09:36,24275,滿足最大預估振幅,10:25,23992,283
2025-08-01,exhaustion,放棄，bb<0.25後反向突破,B,09:00,23166,滿足最大預估振幅,09:38,23399,233
2025-08-04,exhaustion,放棄，bb<0.25後反向突破,B,09:24,23127,滿足最大預估振幅,10:16,23257,130
2025-08-05,esthl,開盤區間突破新高/低,B,08:59,23480,1R停損,09:17,23418,-62
2025-08-06,reversal,關鍵價轉折,B,09:35,23357,移動停損,10:54,23405,48
2025-08-07,esthl,開盤區間突破新高/低,B,08:58,23725,滿足最大預估振幅,09:46,23950,225
2025-08-08,skip,放棄，無訊號,,,,,,,
2025-08-11,esthl,開盤區間突破,S,08:58,,,,,
2025-08-12,esthl,開盤區間突破新高/低,B,09:00,24163,1R停損,,24101,-62
2025-08-13,skip,放棄，無訊號,,,,,,,
2025-08-14,skip,放棄，有行情但無策略,,,,,,,
2025-08-15,skip,放棄，無訊號,,,,,,,
2025-08-18,skip,放棄，有行情但無策略,,,,,,,
2025-08-19,esthl,開盤區間突破新高/低,B,08:59,24415,1R停損,09:14,24358,-57
2025-08-20,esthl,開盤區間突破新高/低,S,08:58,24070,移動停損,09:44,23857,213
2025-08-21,skip,放棄，有行情但無策略,,,,,,,
2025-08-22,esthl,開盤區間突破新高/低,B,08:58,23962,1R停損,,23898,-64
2025-08-25,reversal,關鍵價轉折,B,09:38,24111,滿足最大預估振幅,10:22,24291,180
2025-08-26,reversal,關鍵價轉折,B,09:30,24119,移動停損,10:35,24172,53
2025-08-27,esthl,開盤區間突破新高/低,B,08:59,24441,移動停損,11:00,24528,87
2025-08-28,reversal,關鍵價轉折,B,09:23,24363,移動停損,09:42,24395,32
2025-08-29,skip,放棄，有行情但無策略,,,,,,,
2025-07-01,esthl,開盤區間突破新高/低,B,08:58,22238,滿足最大預估振幅,09:45,22560,322
2025-07-02,reversal,關鍵價轉折,B,09:58,22272,滿足最大預估振幅,10:45,22352,80
2025-07-03,reversal,關鍵價轉折,B,09:48,22648,移動停損,10:30,22672,24
2025-07-04,exhaustion,放棄，bb>0.75後反向突破,S,09:00,22710,滿足最大預估振幅,09:38,22616,94
2025-07-07,esthl,開盤區間突破新高/低,S,09:00,22413,移動停損,11:48,22318,95
2025-07-08,esthl,開盤區間突破新高/低,S,08:58,22295,滿足最大預估振幅,09:50,22167,128
2025-07-09,skip,放棄，有行情但無策略,,,,,,,
2025-07-10,esthl_costline,開盤區間突破成本線,B,09:07,22412,移動停損,11:00,22542,130
2025-07-11,esthl,開盤區間突破新高/低,B,08:58,22419,滿足最大預估振幅,09:59,22695,276
2025-07-14,reversal,關鍵價轉折,B,09:16,22432,移動停損,10:05,22451,19
2025-07-15,skip,放棄，有行情但無策略,,,,,,,
2025-07-16,esthl,開盤區間突破新高/低,B,08:59,22749,移動停損,10:53,22947,198
2025-07-17,esthl,開盤區間突破新高/低,B,09:00,22983,移動停損,09:33,22918,-65
2025-07-18,exhaustion,放棄，bb>0.75後反向突破,S,09:03,23332,,,,
2025-07-21,reversal,關鍵價轉折,B,09:15,23207,移動停損,09:37,23210,3
2025-07-22,skip,放棄，無訊號,,,,,,,
2025-07-23,exhaustion,放棄，bb<0.25後反向突破,B,09:06,23128,滿足最大預估振幅,10:25,23222,94
2025-07-24,exhaustion,放棄，bb>0.75後反向突破,S,09:05,23300,移動停損,09:57,23265,35
2025-07-25,reversal,關鍵價轉折,B,09:15,23226,,,,
2025-07-28,exhaustion,放棄，bb>0.75後反向突破,S,08:58,23375,1R停損,,23380,-5
2025-07-29,reversal,關鍵價轉折,B,09:40,23304,移動停損,09:55,23291,-13
2025-07-30,skip,放棄，無訊號,,,,,,,
2025-07-31,skip,放棄，有行情但無策略,,,,,,,
2025-06-02,reversal,關鍵價轉折,S,09:10,21033,滿足最大預估振幅,09:57,20889,144
2025-06-03,reversal,關鍵價轉折,S,09:37,21191,移動停損,10:17,21020,171
2025-06-04,esthl,開盤區間突破新高/低,B,09:05,21330,滿足最大預估振幅,10:35,21516,186
2025-06-05,esthl,開盤區間突破新高/低,B,09:04,21589,移動停損,10:03,21635,46
2025-06-06,skip,放棄，無訊號,,,,,,,
2025-06-09,exhaustion,放棄，bb>0.75後反向突破,S,09:06,21719,滿足最大預估振幅,10:00,21646,73
2025-06-10,esthl,開盤區間突破新高/低,B,09:04,21892,滿足最大預估振幅,09:58,22131,239
2025-06-11,esthl,開盤區間突破新高/低,B,09:00,22321,1R停損,09:01,22271,-50
2025-06-12,skip,放棄，無訊號,,,,,,,
2025-06-13,exhaustion,放棄，bb<0.25後反向突破,B,09:43,22049,,,,
2025-06-16,reversal,關鍵價轉折,S,09:35,21957,滿足最大預估振幅,10:29,21901,56
2025-06-17,esthl,開盤區間突破新高/低,B,09:00,22219,1R停損,,22169,-50
2025-06-18,reversal,關鍵價轉折,B,09:31,22190,移動停損,10:59,22321,131
2025-06-19,esthl,開盤區間突破新高/低,S,09:04,21791,移動停損,10:05,21739,52
2025-06-20,esthl,開盤區間突破新高/低,S,09:04,21733,滿足最大預估振幅,09:59,21522,211
2025-06-23,esthl,開盤區間突破新高/低,S,09:00,21244,1R停損,09:01,21294,-50
2025-06-24,esthl,開盤區間突破新高/低,B,09:01,21829,移動停損,09:28,21868,39
2025-06-25,skip,放棄，有行情但無策略,,,,,,,
2025-06-26,reversal,關鍵價轉折,B,09:51,22157,移動停損,10:35,22184,27
2025-06-27,exhaustion,放棄，bb>0.75後反向突破,S,09:00,22169,滿足最大預估振幅,09:36,22073,96
2025-06-30,esthl,開盤區間突破新高/低,S,09:00,22196,移動停損,09:30,22111,85
2025-05-02,esthl,開盤區間突破新高/低,B,08:59,20552,1R停損,09:31,20517,-35
2025-05-05,exhaustion,放棄，bb>0.75後反向突破,S,09:02,20745,,,,
2025-05-06,exhaustion,放棄，bb<0.25後反向突破,B,09:00,20241,移動停損,09:43,20340,99
2025-05-07,skip,放棄，無訊號,,,,,,,
2025-05-08,esthl,開盤區間突破新高/低,B,08:59,20539,移動停損,,20530,-9
2025-05-09,esthl,開盤區間突破新高/低,B,09:00,20683,1R停損,,20633,-50
2025-05-12,reversal,關鍵價轉折,B,09:37,21065,移動停損,,21099,34
2025-05-13,esthl,開盤區間突破新高/低,B,08:59,21498,1R停損,,21448,-50
2025-05-14,skip,放棄，有行情但無策略,,,,,,,
2025-05-15,reversal,關鍵價轉折,B,09:30,21700,移動停損,,21705,5
2025-05-16,skip,放棄，無訊號,,,,,,,
2025-05-19,esthl_costline,開盤區間突破成本線,S,09:10,21691,移動停損,10:18,21690,1
2025-05-20,skip,放棄，無訊號,,,,,,,
2025-05-21,reversal,關鍵價轉折,B,09:39,21633,移動停損,,21758,125
2025-05-22,esthl,開盤區間突破新高/低,S,09:18,21492,移動停損,,21415,77
2025-05-23,skip,放棄，無訊號,,,,,,,
2025-05-26,reversal,關鍵價轉折,S,09:15,21469,移動停損,09:58,21413,56
2025-05-27,esthl,開盤區間突破新高/低,S,08:58,21410,滿足最大預估振幅,10:00,21201,209
