date,leading_index,mom_change_pct,last_working_day,taiex
2026/2,103.63,-1.80,2026/3/31,31722.99
2026/1,105.50,2.03,2026/2/27,35095.09
2025/12,103.36,1.61,2026/1/30,32063.75
2025/11,101.70,0.51,2025/12/31,28963.60
2025/10,101.18,0.95,2025/11/28,27626.48
2025/9,100.22,0.63,2025/10/31,28233.35
2025/8,99.59,0.63,2025/9/30,25820.54
2025/7,98.96,-0.61,2025/8/29,24233.10
2025/6,99.56,-0.18,2025/7/31,23542.52
2025/5,99.74,-0.63,2025/6/30,22256.02
2025/4,100.37,-1.76,2025/5/30,21002.71
2025/3,102.14,-1.18,2025/4/30,20235.03
2025/2,103.35,0.95,2025/3/31,20695.90
2025/1,102.37,1.90,2025/2/28,22756.25
2024/12,100.43,-1.15,2025/1/31,22694.71
2024/11,101.58,-0.26,2024/12/31,23035.10
2024/10,101.84,-1.48,2024/11/29,22262.50
2024/9,103.35,-0.72,2024/10/31,22780.08
2024/8,104.09,-0.98,2024/9/30,22224.54
2024/7,105.11,1.45,2024/8/30,22268.09
2024/6,103.59,0.18,2024/7/31,22199.35
2024/5,103.40,1.27,2024/6/28,23032.25
2024/4,102.09,0.58,2024/5/31,21174.22
2024/3,101.50,-0.18,2024/4/30,20396.60
2024/2,101.68,0.30,2024/3/29,20294.45
2024/1,101.37,1.31,2024/2/29,18966.77
2023/12,100.04,1.73,2024/1/31,17889.56
2023/11,98.31,0.68,2023/12/29,17930.81
2023/10,97.64,-0.25,2023/11/30,17433.85
2023/9,97.88,-1.21,2023/10/31,16001.27
2023/8,99.06,-0.03,2023/9/29,16557.31
2023/7,99.09,0.53,2023/8/31,16634.51
2023/6,98.56,-0.91,2023/7/31,17145.43
2023/5,99.46,-0.62,2023/6/30,16915.54
2023/4,100.08,-0.62,2023/5/31,16578.96
2023/3,100.70,-0.25,2023/4/28,15579.18
2023/2,100.95,1.69,2023/3/31,15868.06
2023/1,99.24,3.05,2023/2/28,15598.49
2022/12,96.21,0.53,2023/1/31,15265.20
2022/11,95.70,0.07,2022/12/30,14137.69
2022/10,95.63,-0.45,2022/11/30,14879.55
2022/9,96.06,-0.33,2022/10/31,12949.75
2022/8,96.38,0.51,2022/9/30,13424.58
2022/7,95.89,-1.43,2022/8/31,15095.44
2022/6,97.26,-1.82,2022/7/29,15000.07
2022/5,99.03,-1.17,2022/6/30,14825.73
2022/4,100.19,-0.06,2022/5/31,16807.77
2022/3,100.25,-0.40,2022/4/29,16592.18
2022/2,100.65,-1.42,2022/3/31,17693.47
2022/1,102.08,-0.23,2022/2/28,17898.25
2021/12,102.31,-0.78,2022/1/31,17900.30
2021/11,103.11,-0.66,2021/12/31,18270.51
2021/10,103.79,1.58,2021/11/30,17427.76
2021/9,102.15,0.99,2021/10/29,16987.41
2021/8,101.14,0.66,2021/9/30,16934.77
2021/7,100.47,1.13,2021/8/31,17490.29
2021/6,99.33,-3.61,2021/7/30,17247.41
2021/5,102.92,-1.75,2021/6/30,17755.46
2021/4,104.72,-0.60,2021/5/31,17068.43
2021/3,105.35,-1.27,2021/4/30,17222.35
2021/2,106.69,-0.36,2021/3/31,16431.13
2021/1,107.07,-0.24,2021/2/26,15953.80
2020/12,107.33,-0.11,2021/1/29,15138.31
2020/11,107.45,0.49,2020/12/31,14732.53
2020/10,106.92,1.08,2020/11/30,13722.89
2020/9,105.77,1.04,2020/10/30,12546.34
2020/8,104.67,2.18,2020/9/30,12515.61
2020/7,102.39,2.32,2020/8/31,12591.45
2020/6,100.01,2.56,2020/7/31,12664.80
2020/5,97.45,1.42,2020/6/30,11621.24
2020/4,96.07,-1.60,2020/5/29,10942.16
2020/3,97.61,-3.81,2020/4/30,10992.14
2020/2,101.33,-0.30,2020/3/31,9708.06
2020/1,101.63,-0.51,2020/2/28,11170.46
2019/12,102.15,-0.46,2020/1/31,11495.10
2019/11,102.62,0.47,2019/12/31,11997.14
2019/10,102.14,0.16,2019/11/29,11489.57
2019/9,101.98,0.30,2019/10/31,11358.71
2019/8,101.67,-0.33,2019/9/30,10967.65
2019/7,102.01,-0.40,2019/8/30,10618.05
2019/6,102.42,0.00,2019/7/31,10823.81
2019/5,102.42,-0.05,2019/6/28,10730.83
2019/4,102.47,0.87,2019/5/31,10498.49
2019/3,101.58,1.77,2019/4/30,10967.73
2019/2,99.78,1.09,2019/3/29,10641.04
2019/1,98.69,0.20,2019/2/28,10349.88
2018/12,98.49,-1.11,2019/1/29,9931.59
2018/11,99.58,-0.39,2018/12/31,9554.14
2018/10,99.97,-1.29,2018/11/30,9888.03
2018/9,101.26,-0.13,2018/10/31,9802.13
2018/8,101.39,-0.44,2018/9/28,11006.34
