strategy,weekday,wd_idx,year,base_N,base_PF,nvf_N,nvf_PF,delta
EstHL,Mon,0,2024,8,10.90625,5,6.21875,-4.6875
EstHL,Tue,1,2025,9,1.5449591280653951,6,0.28716216216216217,-1.2577969659032329
EstHL,Thu,3,2025,14,0.8036912751677853,9,0.6539379474940334,-0.14975332767375182
EstHL,Fri,4,2024,7,0.9130434782608695,5,0.3939393939393939,-0.5191040843214756
EstHL,Fri,4,2025,8,0.38440111420612816,5,0.35,-0.03440111420612818
Reversal,Mon,0,2021,10,0.7849462365591398,5,0.25572519083969464,-0.5292210457194451
Reversal,Mon,0,2022,20,0.3671586715867159,13,0.16933638443935928,-0.1978222871473566
Reversal,Tue,1,2022,20,2.671361502347418,7,1.7402597402597402,-0.9311017620876778
Reversal,Wed,2,2021,11,0.47653429602888087,6,0.21189591078066913,-0.2646383852482117
Reversal,Wed,2,2024,21,2.5787781350482315,15,1.7236842105263157,-0.8550939245219158
Reversal,Thu,3,2022,23,1.7872340425531914,14,1.4101123595505618,-0.3771216830026296
Reversal,Thu,3,2024,15,0.8978978978978979,11,0.8321678321678322,-0.06573006573006568
Reversal,Thu,3,2025,23,1.1729957805907174,15,0.751412429378531,-0.4215833512121864
Reversal,Fri,4,2023,27,0.8894009216589862,21,0.8779840848806366,-0.011416836778349593
Reversal,Fri,4,2025,18,1.8858131487889274,13,1.6866359447004609,-0.1991772040884665
Exhaustion,Mon,0,2022,6,1.24822695035461,5,0.8156028368794326,-0.4326241134751774
Exhaustion,Tue,1,2025,9,2.8733333333333335,8,2.046666666666667,-0.8266666666666667
Exhaustion,Wed,2,2022,7,1.3805970149253732,5,0.7910447761194029,-0.5895522388059703
Exhaustion,Fri,4,2022,8,4.63768115942029,7,3.3768115942028984,-1.2608695652173916
