label,threshold,base_N,base_PF,nvf_N,nvf_PF,delta,WR
EstHL Mon OOS,0.7,16,3.735632183908046,12,3.391304347826087,-0.34432783608195905,0.6666666666666666
EstHL Mon OOS,0.85,16,3.735632183908046,9,3.6218487394957983,-0.11378344441224764,0.6666666666666666
EstHL Mon OOS,1.0,16,3.735632183908046,8,3.30672268907563,-0.4289094948324159,0.625
EstHL Mon OOS,1.15,16,3.735632183908046,6,4.494252873563219,0.7586206896551726,0.6666666666666666
EstHL Tue OOS,0.7,22,2.1430722891566263,15,1.2661596958174905,-0.8769125933391357,0.4666666666666667
EstHL Tue OOS,0.85,22,2.1430722891566263,12,0.9011406844106464,-1.2419316047459799,0.4166666666666667
EstHL Tue OOS,1.0,22,2.1430722891566263,7,0.5140562248995983,-1.629016064257028,0.42857142857142855
EstHL Tue OOS,1.15,22,2.1430722891566263,5,0.2891566265060241,-1.8539156626506021,0.2
EstHL Fri 2024-26,0.7,18,0.8548601864181092,13,0.4772727272727273,-0.37758745914538194,0.3076923076923077
EstHL Fri 2024-26,0.85,18,0.8548601864181092,11,0.2903225806451613,-0.5645376057729479,0.2727272727272727
EstHL Fri 2024-26,1.0,18,0.8548601864181092,6,0.4025423728813559,-0.4523178135367533,0.3333333333333333
EstHL Fri 2024-26,1.15,18,0.8548601864181092,4,0.6724137931034483,-0.18244639331466095,0.25
Exhaustion Thu OOS,0.7,10,1.2,9,0.4023809523809524,-0.7976190476190476,0.3333333333333333
Exhaustion Thu OOS,0.85,10,1.2,9,0.4023809523809524,-0.7976190476190476,0.3333333333333333
Exhaustion Thu OOS,1.0,10,1.2,5,0.12757201646090535,-1.0724279835390946,0.2
Exhaustion Thu OOS,1.15,10,1.2,4,0.1409090909090909,-1.059090909090909,0.25
Reversal Mon 2024-26,0.7,43,1.020684168655529,28,1.0808080808080809,0.06012391215255186,0.4642857142857143
Reversal Mon 2024-26,0.85,43,1.020684168655529,25,1.3393602225312935,0.3186760538757645,0.52
Reversal Mon 2024-26,1.0,43,1.020684168655529,20,1.0470588235294118,0.026374654873882797,0.45
Reversal Mon 2024-26,1.15,43,1.020684168655529,16,1.073943661971831,0.053259493316301976,0.4375
Reversal Wed 2024-26,0.7,40,1.9085714285714286,33,2.0563002680965146,0.14772883952508598,0.5151515151515151
Reversal Wed 2024-26,0.85,40,1.9085714285714286,26,1.7837037037037038,-0.1248677248677248,0.46153846153846156
Reversal Wed 2024-26,1.0,40,1.9085714285714286,18,1.8225108225108224,-0.08606060606060617,0.4444444444444444
Reversal Wed 2024-26,1.15,40,1.9085714285714286,7,1.332129963898917,-0.5764414646725116,0.42857142857142855
Reversal Wed OOS,0.7,40,1.9085714285714286,33,2.0563002680965146,0.14772883952508598,0.5151515151515151
Reversal Wed OOS,0.85,40,1.9085714285714286,26,1.7837037037037038,-0.1248677248677248,0.46153846153846156
Reversal Wed OOS,1.0,40,1.9085714285714286,18,1.8225108225108224,-0.08606060606060617,0.4444444444444444
Reversal Wed OOS,1.15,40,1.9085714285714286,7,1.332129963898917,-0.5764414646725116,0.42857142857142855
Reversal Thu 2024-26,0.7,40,1.6195786864931847,30,1.6445427728613569,0.024964086368172156,0.5666666666666667
Reversal Thu 2024-26,0.85,40,1.6195786864931847,27,1.453125,-0.1664536864931847,0.5555555555555556
Reversal Thu 2024-26,1.0,40,1.6195786864931847,16,1.384133611691023,-0.2354450748021617,0.4375
Reversal Thu 2024-26,1.15,40,1.6195786864931847,9,2.382978723404255,0.7634000369110705,0.5555555555555556
Reversal Fri 2024-26,0.7,43,1.4759519038076152,37,1.5381903642773207,0.06223846046970549,0.4864864864864865
Reversal Fri 2024-26,0.85,43,1.4759519038076152,30,1.5824324324324324,0.10648052862481716,0.5
Reversal Fri 2024-26,1.0,43,1.4759519038076152,21,1.4943639291465378,0.01841202533892261,0.42857142857142855
Reversal Fri 2024-26,1.15,43,1.4759519038076152,17,1.814,0.33804809619238485,0.47058823529411764
