Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,night_norm
1,12718,12768,16197.0,16161.0,,,-36.0,0.0,-0.0022226338210780128,2021-03-12 10:01:00,2021-03-12 10:51:00,0 days 00:50:00,,2021-03-12,4,2021,0.6003244997295836
1,13596,13661,16265.0,16304.0,,,39.0,0.0,0.0023977866584690144,2021-03-17 09:36:00,2021-03-17 10:41:00,0 days 01:05:00,,2021-03-17,2,2021,0.43246279135074417
1,15986,16047,16369.0,16430.0,,,61.0,0.0,0.0037265562954365006,2021-03-29 09:18:00,2021-03-29 10:19:00,0 days 01:01:00,,2021-03-29,0,2021,1.0092744135297327
1,20532,20567,17206.0,17171.0,,,-35.0,0.0,-0.002034174125305155,2021-04-21 09:49:00,2021-04-21 10:24:00,0 days 00:35:00,,2021-04-21,2,2021,0.9293504030346136
1,22303,22374,17624.0,17673.0,,,49.0,0.0,0.0027802995914660844,2021-04-29 09:14:00,2021-04-29 10:25:00,0 days 01:11:00,,2021-04-29,3,2021,0.944206008583691
-1,24416,24471,16943.0,16697.0,,,246.0,0.0,0.014519270495189751,2021-05-11 09:20:00,2021-05-11 10:15:00,0 days 00:55:00,,2021-05-11,1,2021,1.7996604414261461
-1,25610,25637,15467.0,15674.0,,,-207.0,0.0,-0.013383332255770375,2021-05-17 09:10:00,2021-05-17 09:37:00,0 days 00:27:00,,2021-05-17,0,2021,1.7216321967579653
1,26228,26271,16129.0,15993.0,,,-136.0,0.0,-0.00843201686403372,2021-05-19 09:26:00,2021-05-19 10:09:00,0 days 00:43:00,,2021-05-19,2,2021,0.9339347306977979
1,26868,26897,16163.0,16102.0,,,-61.0,0.0,-0.0037740518468105666,2021-05-21 10:04:00,2021-05-21 10:33:00,0 days 00:29:00,,2021-05-21,4,2021,1.3563627127254254
1,28645,28688,16925.0,17064.0,,,139.0,0.0,0.008212703101920127,2021-05-31 09:35:00,2021-05-31 10:18:00,0 days 00:43:00,,2021-05-31,0,2021,0.6599326599326599
-1,29863,29893,17121.0,17146.0,,,-25.0,0.0,-0.001460195082062965,2021-06-04 09:49:00,2021-06-04 10:19:00,0 days 00:30:00,,2021-06-04,4,2021,0.6057781919850885
1,31646,31780,17343.0,17368.0,,,25.0,0.0,0.0014415037767399053,2021-06-15 09:26:00,2021-06-15 11:40:00,0 days 02:14:00,,2021-06-15,1,2021,0.4601877081441114
-1,32579,32629,17293.0,17297.0,,,-4.0,0.0,-0.00023130746544852698,2021-06-18 09:56:00,2021-06-18 10:46:00,0 days 00:50:00,,2021-06-18,4,2021,0.5856905158069884
1,37674,37724,17960.0,17993.0,,,33.0,0.0,0.001837416481069054,2021-07-13 09:34:00,2021-07-13 10:24:00,0 days 00:50:00,,2021-07-13,1,2021,1.1106401017380245
1,41605,41618,17278.0,17226.0,,,-52.0,0.0,-0.003009607593471464,2021-07-30 09:52:00,2021-07-30 10:05:00,0 days 00:13:00,,2021-07-30,4,2021,0.7293796864349013
1,42193,42216,17411.0,17381.0,,,-30.0,0.0,-0.0017230486474067996,2021-08-03 09:38:00,2021-08-03 10:01:00,0 days 00:23:00,,2021-08-03,1,2021,0.9463512162612462
1,42800,42879,17546.0,17558.0,,,12.0,0.0,0.0006839165621794763,2021-08-05 09:43:00,2021-08-05 11:02:00,0 days 01:19:00,,2021-08-05,3,2021,0.4740638955685331
-1,43395,43420,17301.0,17376.0,,,-75.0,0.0,-0.0043350095370209285,2021-08-09 09:36:00,2021-08-09 10:01:00,0 days 00:25:00,,2021-08-09,0,2021,0.4453306746427385
1,46723,46754,16759.0,16732.0,,,-27.0,0.0,-0.001611074646458599,2021-08-24 09:53:00,2021-08-24 10:24:00,0 days 00:31:00,,2021-08-24,1,2021,1.1540983606557378
1,47917,48014,17237.0,17255.0,,,18.0,0.0,0.0010442652433717559,2021-08-30 09:43:00,2021-08-30 11:20:00,0 days 01:37:00,,2021-08-30,0,2021,0.8229598893499309
1,48208,48219,17242.0,17203.0,,,-39.0,0.0,-0.002261918570931498,2021-08-31 09:33:00,2021-08-31 09:44:00,0 days 00:11:00,,2021-08-31,1,2021,0.5851251321818823
