strategy,cutoff,method,diff_pct,total_N,hi_PF,lo_PF,thr
EstHL,2025-12-01,"SMA, fixed 0.85",11.87011795718142,218,1.9809746328437918,1.7707808564231737,0.85
EstHL,2025-12-01,"SMA, median",6.951035167278681,218,1.9521785334750266,1.8253012048192772,0.8727018773754789
EstHL,2025-12-01,"EMA, median (H066)",75.90150545461545,225,2.356974921630094,1.3399401645474944,0.8938120932735697
EstHL,2025-12-08,"SMA, fixed 0.85",11.87011795718142,218,1.9809746328437918,1.7707808564231737,0.85
EstHL,2025-12-08,"SMA, median",6.951035167278681,218,1.9521785334750266,1.8253012048192772,0.8727018773754789
EstHL,2025-12-08,"EMA, median (H066)",75.90150545461545,225,2.356974921630094,1.3399401645474944,0.8938120932735697
EstHL,2025-12-15,"SMA, fixed 0.85",11.87011795718142,218,1.9809746328437918,1.7707808564231737,0.85
EstHL,2025-12-15,"SMA, median",6.951035167278681,218,1.9521785334750266,1.8253012048192772,0.8727018773754789
EstHL,2025-12-15,"EMA, median (H066)",75.90150545461545,225,2.356974921630094,1.3399401645474944,0.8938120932735697
EstHL,2025-12-22,"SMA, fixed 0.85",12.190554689324989,219,1.9866488651535381,1.7707808564231737,0.85
EstHL,2025-12-22,"SMA, median",7.280951261969977,219,1.9582004959263195,1.8253012048192772,0.8728179551122195
EstHL,2025-12-22,"EMA, median (H066)",71.61590360824076,226,2.3393416927899686,1.3631264023934182,0.8951543228239702
EstHL,2025-12-29,"SMA, fixed 0.85",15.63822412814051,220,1.9866488651535381,1.7179863147605083,0.85
EstHL,2025-12-29,"SMA, median",10.31345266464847,220,1.9582004959263195,1.775123929698062,0.8727018773754789
EstHL,2025-12-29,"EMA, median (H066)",80.42270316900517,227,2.3636363636363638,1.3100548446069469,0.8938120932735697
EstHL,2026-01-05,"SMA, fixed 0.85",12.019561568220317,222,2.0854472630173566,1.8616813294232648,0.85
EstHL,2026-01-05,"SMA, median",8.148256379061706,222,2.063053489195891,1.907616043262731,0.8727018773754789
EstHL,2026-01-05,"EMA, median (H066)",74.92316636251246,229,2.479623824451411,1.4175502742230348,0.8938120932735697
EstHL,2026-01-12,"SMA, fixed 0.85",8.261485954318731,223,2.015483870967742,1.8616813294232648,0.85
EstHL,2026-01-12,"SMA, median",4.305612489952576,223,1.9897505978817902,1.907616043262731,0.8728179551122195
EstHL,2026-01-12,"EMA, median (H066)",63.80745755298422,230,2.3591867469879517,1.440219378427788,0.8951543228239702
EstHL,2026-01-19,"SMA, fixed 0.85",8.261485954318731,223,2.015483870967742,1.8616813294232648,0.85
EstHL,2026-01-19,"SMA, median",4.305612489952576,223,1.9897505978817902,1.907616043262731,0.8728179551122195
EstHL,2026-01-19,"EMA, median (H066)",63.80745755298422,230,2.3591867469879517,1.440219378427788,0.8951543228239702
EstHL,2026-01-26,"SMA, fixed 0.85",7.420240391749515,226,1.9419254658385092,1.8077835785476981,0.85
EstHL,2026-01-26,"SMA, median",6.405365024746133,226,1.9397670549084858,1.822997416020672,0.8741401736103638
EstHL,2026-01-26,"EMA, median (H066)",60.34983790997144,233,2.259005763688761,1.4087982832618027,0.8964965523743708
EstHL,2026-02-02,"SMA, fixed 0.85",10.938036588726595,227,1.9419254658385092,1.7504595588235294,0.85
EstHL,2026-02-02,"SMA, median",6.158885236887619,227,1.9130292090580898,1.802043422733078,0.8728179551122195
EstHL,2026-02-02,"EMA, median (H066)",64.30696910302868,234,2.259005763688761,1.374869109947644,0.8951543228239702
EstHL,2026-02-09,"SMA, fixed 0.85",10.938036588726595,227,1.9419254658385092,1.7504595588235294,0.85
EstHL,2026-02-09,"SMA, median",6.158885236887619,227,1.9130292090580898,1.802043422733078,0.8728179551122195
EstHL,2026-02-09,"EMA, median (H066)",64.30696910302868,234,2.259005763688761,1.374869109947644,0.8951543228239702
EstHL,2026-02-16,"SMA, fixed 0.85",7.197989386690955,229,1.95527950310559,1.8239889705882353,0.85
EstHL,2026-02-16,"SMA, median",3.0470126901025694,229,1.9271414506071545,1.8701575138356747,0.8728179551122195
EstHL,2026-02-16,"EMA, median (H066)",58.97609454193158,236,2.2744956772334293,1.4307155322862128,0.8951543228239702
EstHL,2026-02-23,"SMA, fixed 0.85",7.197989386690955,229,1.95527950310559,1.8239889705882353,0.85
EstHL,2026-02-23,"SMA, median",3.0470126901025694,229,1.9271414506071545,1.8701575138356747,0.8728179551122195
EstHL,2026-02-23,"EMA, median (H066)",58.97609454193158,236,2.2744956772334293,1.4307155322862128,0.8951543228239702
EstHL,2026-03-02,"SMA, fixed 0.85",10.80757861000394,230,2.0211180124223604,1.8239889705882353,0.85
