trade_date,nh,nl,nb,night_range,sma20,ema20,norm_sma,norm_ema,norm_sma_exp_med,norm_ema_exp_med
2020-12-31,14704.0,14641.0,840,63.0,,63.0,,1.0,,
2021-01-04,14691.0,14630.0,840,61.0,,62.80952380952381,,0.9711902956785443,,
2021-01-05,14970.0,14781.0,840,189.0,,74.82766439909297,,2.5258038122367346,,
2021-01-06,15048.0,14953.0,840,95.0,,76.74883921822698,,1.23780373706862,,
2021-01-07,15060.0,14858.0,840,202.0,,88.67752119744345,,2.2779166272616065,,
2021-01-08,15401.0,15226.0,840,175.0,,96.89870965482979,,1.8060096014010993,,
2021-01-11,15526.0,15335.0,840,191.0,,105.86073730675076,,1.8042572237763914,,
2021-01-12,15560.0,15453.0,840,107.0,,105.96923851563164,,1.0097269877448096,,
2021-01-13,15555.0,15486.0,840,69.0,,102.44835865700006,,0.6735100581846695,,
2021-01-14,15814.0,15673.0,840,141.0,,106.11994354680958,,1.3286852149313932,,
2021-01-15,16061.0,15742.0,840,319.0,,126.39423463758962,,2.523849295141263,,
2021-01-18,15739.0,15570.0,840,169.0,,130.4519265768668,,1.295496390391899,,
2021-01-19,15665.0,15570.0,840,95.0,,127.07555261716521,,0.7475867548355443,,
2021-01-20,15932.0,15842.0,840,90.0,,123.54454760600662,,0.7284821689340525,,
2021-01-22,16145.0,16053.0,840,92.0,,120.54030497686313,,0.7632301910772398,,
2021-01-25,15977.0,15808.0,840,169.0,,125.15551402668568,,1.3503200503332662,,
2021-01-26,15927.0,15765.0,840,162.0,,128.66451269081085,,1.2590884355913776,,
2021-01-27,15729.0,15613.0,840,116.0,,127.45836862501935,,0.9101010883111983,,
2021-01-28,15680.0,15421.0,840,259.0,,139.98614304168416,,1.8501831279320031,,
2021-01-29,15585.0,15225.0,840,360.0,156.2,160.9398437043809,2.304737516005122,2.236860628877326,,
2021-02-01,15230.0,15037.0,840,193.0,162.7,163.9931919230113,1.1862323294406885,1.1768781236394639,,
2021-02-02,15470.0,15315.0,840,155.0,167.4,163.13669745415308,0.9259259259259259,0.9501234389249558,,
2021-02-03,15884.0,15732.0,840,152.0,165.55,162.07605960137658,0.9181516158260343,0.9378312896663549,,
2021-02-04,15820.0,15687.0,840,133.0,167.45,159.30691106791215,0.794266945356823,0.8348664794793643,,
2021-02-05,15817.0,15730.0,840,87.0,161.7,152.42053858525387,0.5380333951762524,0.570789217828003,,
2021-02-17,15817.0,15737.0,840,80.0,156.95,145.5233444342773,0.5097164702134438,0.5497399768470164,,
2021-02-19,16368.0,16233.0,840,135.0,154.15,144.5211211548223,0.8757703535517353,0.9341195177650017,,
2021-02-22,16489.0,16343.0,840,146.0,156.1,144.66196675912494,0.9352978859705318,1.0092493781942216,,
2021-02-23,16392.0,16242.0,840,150.0,160.15,145.17035087730352,0.9366219169528567,1.0332688396322638,,
2021-02-24,16423.0,16203.0,840,220.0,164.1,152.29698412708413,1.340645947592931,1.4445460050372443,,
