strategy,year,method,N,PF,total
EstHL,2021,SMA + 0.85,18,1.5587188612099645,314.0
EstHL,2021,SMA + exp_med,17,1.416370106761566,234.0
EstHL,2021,EMA + exp_med,11,1.9666666666666666,319.0
EstHL,2021,EMA + 0.85,16,1.809090909090909,356.0
EstHL,2022,SMA + 0.85,13,2.700440528634361,386.0
EstHL,2022,SMA + exp_med,12,2.3480176211453743,306.0
EstHL,2022,EMA + exp_med,13,2.700440528634361,386.0
EstHL,2022,EMA + 0.85,15,2.8361344537815127,437.0
EstHL,2023,SMA + 0.85,28,3.5117845117845117,746.0
EstHL,2023,SMA + exp_med,23,4.961538461538462,721.0
EstHL,2023,EMA + exp_med,23,4.769230769230769,686.0
EstHL,2023,EMA + 0.85,25,4.3561643835616435,735.0
EstHL,2024,SMA + 0.85,24,2.398753894080997,898.0
EstHL,2024,SMA + exp_med,21,3.9588688946015425,1151.0
EstHL,2024,EMA + exp_med,21,3.4070796460176993,1088.0
EstHL,2024,EMA + 0.85,26,2.5576323987538943,1000.0
EstHL,2025,SMA + 0.85,29,1.3273056057866184,362.0
EstHL,2025,SMA + exp_med,23,1.328782707622298,289.0
EstHL,2025,EMA + exp_med,24,1.7273869346733668,579.0
EstHL,2025,EMA + 0.85,31,1.5425330812854443,574.0
EstHL,2026,SMA + 0.85,8,3.5714285714285716,576.0
EstHL,2026,SMA + exp_med,8,3.5714285714285716,576.0
EstHL,2026,EMA + exp_med,5,5.346153846153846,452.0
EstHL,2026,EMA + 0.85,8,3.5714285714285716,576.0
Reversal,2021,SMA + 0.85,22,0.2767857142857143,-486.0
Reversal,2021,SMA + exp_med,21,0.2888198757763975,-458.0
Reversal,2021,EMA + exp_med,18,0.3241106719367589,-342.0
Reversal,2021,EMA + 0.85,21,0.34701492537313433,-350.0
Reversal,2022,SMA + 0.85,64,0.9099923722349351,-118.0
Reversal,2022,SMA + exp_med,57,1.170755642787046,174.0
Reversal,2022,EMA + exp_med,60,1.1361626878868258,154.0
Reversal,2022,EMA + 0.85,69,1.0307116104868914,41.0
Reversal,2023,SMA + 0.85,65,1.2535519125683061,232.0
Reversal,2023,SMA + exp_med,57,1.38996138996139,303.0
Reversal,2023,EMA + exp_med,53,1.7391304347826086,459.0
Reversal,2023,EMA + 0.85,67,1.2413793103448276,224.0
Reversal,2024,SMA + 0.85,58,1.1186327077747988,177.0
Reversal,2024,SMA + exp_med,51,1.07710100231303,100.0
Reversal,2024,EMA + exp_med,48,1.1805084745762713,213.0
Reversal,2024,EMA + 0.85,58,1.2285714285714286,328.0
Reversal,2025,SMA + 0.85,66,1.6366498740554156,1011.0
Reversal,2025,SMA + exp_med,56,1.5447443181818181,767.0
Reversal,2025,EMA + exp_med,54,1.8821202531645569,1115.0
Reversal,2025,EMA + 0.85,66,1.698586118251928,1087.0
Reversal,2026,SMA + 0.85,12,3.792233009708738,1438.0
Reversal,2026,SMA + exp_med,10,3.566990291262136,1322.0
Reversal,2026,EMA + exp_med,11,3.6388349514563108,1359.0
Reversal,2026,EMA + 0.85,11,3.6388349514563108,1359.0
