strategy,method,N,max_loss_streak,avg_loss_streak,n_streaks,worst_streak_pnl,max_dd,total
EstHL,NO_NVF,221,6,1.8703703703703705,54,-278.0,-356.0,4734.0
EstHL,SMA + 0.85,120,9,1.6666666666666667,30,-378.0,-378.0,3282.0
EstHL,SMA + exp_med,104,8,1.9523809523809523,21,-326.0,-326.0,3277.0
EstHL,EMA + exp_med,97,7,1.8,20,-270.0,-270.0,3510.0
EstHL,EMA + 0.85,121,6,1.6,30,-278.0,-367.0,3678.0
Reversal,NO_NVF,477,10,2.088,125,-404.0,-885.0,2505.0
Reversal,SMA + 0.85,287,7,2.323529411764706,68,-404.0,-565.0,2254.0
Reversal,SMA + exp_med,252,7,2.305084745762712,59,-404.0,-564.0,2208.0
Reversal,EMA + exp_med,244,7,2.1166666666666667,60,-338.0,-472.0,2958.0
Reversal,EMA + 0.85,292,8,2.2714285714285714,70,-302.0,-466.0,2689.0
