pct,consec,skip_n,split,logic,ma,n_events,n_avoided,base_total,def_total,delta_total,base_dd,def_dd,base_sharpe,def_sharpe,avoided_total,avoided_avg,recall_full,caught_full,recall_oos,caught_oos
0.1,3,10,Full,RATIO,7,76,211,-4277.0,658.0,4935.0,-9522.0,-4683.0,-0.5,-0.05,-4935.0,-0.141,0.3888888888888889,7/18,,
0.1,3,10,IS,RATIO,7,76,144,-5926.0,-3265.0,2661.0,-6992.0,-4507.0,-1.07,-0.68,-2661.0,-0.129,,,,
0.1,3,10,OOS,RATIO,7,76,67,1649.0,3923.0,2274.0,-5333.0,-3310.0,0.14,0.59,-2274.0,-0.167,,,0.2222222222222222,2/9
0.1,3,20,Full,RATIO,7,76,345,-4277.0,112.0,4389.0,-9522.0,-4672.0,-0.5,-0.12,-4389.0,-0.077,0.3888888888888889,7/18,,
0.1,3,20,IS,RATIO,7,76,224,-5926.0,-3481.0,2445.0,-6992.0,-4547.0,-1.07,-0.83,-2445.0,-0.078,,,,
0.1,3,20,OOS,RATIO,7,76,121,1649.0,3593.0,1944.0,-5333.0,-3127.0,0.14,0.56,-1944.0,-0.077,,,0.2222222222222222,2/9
0.1,3,30,Full,RATIO,7,76,455,-4277.0,-1028.0,3249.0,-9522.0,-5184.0,-0.5,-0.26,-3249.0,-0.047,0.3888888888888889,7/18,,
0.1,3,30,IS,RATIO,7,76,284,-5926.0,-3486.0,2440.0,-6992.0,-4501.0,-1.07,-0.93,-2440.0,-0.061,,,,
0.1,3,30,OOS,RATIO,7,76,171,1649.0,2458.0,809.0,-5333.0,-3647.0,0.14,0.38,-809.0,-0.024,,,0.2222222222222222,2/9
0.1,3,40,Full,RATIO,7,76,549,-4277.0,-91.0,4186.0,-9522.0,-4199.0,-0.5,-0.15,-4186.0,-0.049,0.4444444444444444,8/18,,
0.1,3,40,IS,RATIO,7,76,334,-5926.0,-2628.0,3298.0,-6992.0,-3643.0,-1.07,-0.77,-3298.0,-0.067,,,,
0.1,3,40,OOS,RATIO,7,76,215,1649.0,2537.0,888.0,-5333.0,-3132.0,0.14,0.43,-888.0,-0.02,,,0.3333333333333333,3/9
0.1,3,50,Full,RATIO,7,76,622,-4277.0,-308.0,3969.0,-9522.0,-4486.0,-0.5,-0.18,-3969.0,-0.042,0.5555555555555556,10/18,,
0.1,3,50,IS,RATIO,7,76,377,-5926.0,-2027.0,3899.0,-6992.0,-3112.0,-1.07,-0.71,-3899.0,-0.068,,,,
0.1,3,50,OOS,RATIO,7,76,245,1649.0,1719.0,70.0,-5333.0,-3722.0,0.14,0.26,-70.0,-0.002,,,0.3333333333333333,3/9
0.1,3,60,Full,RATIO,7,76,692,-4277.0,-176.0,4101.0,-9522.0,-4284.0,-0.5,-0.18,-4101.0,-0.039,0.5555555555555556,10/18,,
0.1,3,60,IS,RATIO,7,76,417,-5926.0,-1912.0,4014.0,-6992.0,-2970.0,-1.07,-0.73,-4014.0,-0.063,,,,
0.1,3,60,OOS,RATIO,7,76,275,1649.0,1736.0,87.0,-5333.0,-3611.0,0.14,0.28,-87.0,-0.002,,,0.3333333333333333,3/9
0.1,5,10,Full,RATIO,7,49,121,-4277.0,-1480.0,2797.0,-9522.0,-6767.0,-0.5,-0.22,-2797.0,-0.159,0.2222222222222222,4/18,,
0.1,5,10,IS,RATIO,7,49,109,-5926.0,-3411.0,2515.0,-6992.0,-4519.0,-1.07,-0.66,-2515.0,-0.161,,,,
0.1,5,10,OOS,RATIO,7,49,12,1649.0,1931.0,282.0,-5333.0,-5333.0,0.14,0.19,-282.0,-0.134,,,0.0,0/9
0.1,5,20,Full,RATIO,7,49,193,-4277.0,-1912.0,2365.0,-9522.0,-7157.0,-0.5,-0.28,-2365.0,-0.087,0.2222222222222222,4/18,,
0.1,5,20,IS,RATIO,7,49,171,-5926.0,-3711.0,2215.0,-6992.0,-4777.0,-1.07,-0.8,-2215.0,-0.093,,,,
0.1,5,20,OOS,RATIO,7,49,22,1649.0,1799.0,150.0,-5333.0,-5333.0,0.14,0.17,-150.0,-0.04,,,0.0,0/9
0.1,5,30,Full,RATIO,7,49,247,-4277.0,-1762.0,2515.0,-9522.0,-7007.0,-0.5,-0.28,-2515.0,-0.071,0.2777777777777778,5/18,,
0.1,5,30,IS,RATIO,7,49,215,-5926.0,-3574.0,2352.0,-6992.0,-4640.0,-1.07,-0.83,-2352.0,-0.077,,,,
0.1,5,30,OOS,RATIO,7,49,32,1649.0,1812.0,163.0,-5333.0,-5333.0,0.14,0.17,-163.0,-0.029,,,0.0,0/9
0.1,5,40,Full,RATIO,7,49,289,-4277.0,-2212.0,2065.0,-9522.0,-7457.0,-0.5,-0.33,-2065.0,-0.053,0.2777777777777778,5/18,,
0.1,5,40,IS,RATIO,7,49,247,-5926.0,-3636.0,2290.0,-6992.0,-4702.0,-1.07,-0.91,-2290.0,-0.066,,,,
0.1,5,40,OOS,RATIO,7,49,42,1649.0,1424.0,-225.0,-5333.0,-5333.0,0.14,0.11,225.0,0.026,,,0.0,0/9
0.1,5,50,Full,RATIO,7,49,324,-4277.0,-1469.0,2808.0,-9522.0,-6714.0,-0.5,-0.26,-2808.0,-0.06,0.3888888888888889,7/18,,
0.1,5,50,IS,RATIO,7,49,272,-5926.0,-2665.0,3261.0,-6992.0,-3731.0,-1.07,-0.75,-3261.0,-0.08,,,,
0.1,5,50,OOS,RATIO,7,49,52,1649.0,1196.0,-453.0,-5333.0,-5333.0,0.14,0.07,453.0,0.043,,,0.0,0/9
0.1,5,60,Full,RATIO,7,49,354,-4277.0,-1604.0,2673.0,-9522.0,-6849.0,-0.5,-0.28,-2673.0,-0.054,0.3888888888888889,7/18,,
0.1,5,60,IS,RATIO,7,49,292,-5926.0,-2706.0,3220.0,-6992.0,-3772.0,-1.07,-0.79,-3220.0,-0.074,,,,
0.1,5,60,OOS,RATIO,7,49,62,1649.0,1102.0,-547.0,-5333.0,-5333.0,0.14,0.05,547.0,0.043,,,0.0,0/9
0.15,3,10,Full,RATIO,7,127,314,-4277.0,1598.0,5875.0,-9522.0,-4518.0,-0.5,0.02,-5875.0,-0.106,0.5555555555555556,10/18,,
0.15,3,10,IS,RATIO,7,127,212,-5926.0,-3276.0,2650.0,-6992.0,-4518.0,-1.07,-0.8,-2650.0,-0.083,,,,
0.15,3,10,OOS,RATIO,7,127,102,1649.0,4874.0,3225.0,-5333.0,-2387.0,0.14,0.9,-3225.0,-0.154,,,0.5555555555555556,5/9
0.15,3,20,Full,RATIO,7,127,503,-4277.0,918.0,5195.0,-9522.0,-4904.0,-0.5,-0.09,-5195.0,-0.058,0.5555555555555556,10/18,,
0.15,3,20,IS,RATIO,7,127,327,-5926.0,-3816.0,2110.0,-6992.0,-4904.0,-1.07,-1.17,-2110.0,-0.044,,,,
0.15,3,20,OOS,RATIO,7,127,176,1649.0,4734.0,3085.0,-5333.0,-2345.0,0.14,0.99,-3085.0,-0.084,,,0.5555555555555556,5/9
