pct,consec,hold_n,split,ovl_n,ovl_win,ovl_avg_pct,ovl_total_pct,ovl_sharpe,ovl_dd,seq_n,seq_win,seq_total_pct,seq_sharpe
0.1,3,10,Full,76,0.382,-0.174,-13.2,-0.2,-15540.0,17,0.235,-18.4,-1.14
0.1,3,10,IS,63,0.429,0.196,12.4,0.22,-10555.0,11,0.273,-5.1,-0.52
0.1,3,10,OOS,13,0.154,-1.968,-25.6,-2.59,-5068.0,6,0.167,-13.3,-2.03
0.1,3,20,Full,76,0.474,-0.763,-58.0,-0.42,-28283.0,14,0.286,-22.1,-0.81
0.1,3,20,IS,63,0.556,-0.013,-0.8,-0.01,-18250.0,9,0.333,-17.8,-1.07
0.1,3,20,OOS,13,0.077,-4.398,-57.2,-2.42,-10346.0,5,0.2,-4.3,-0.37
0.1,3,30,Full,76,0.434,-2.154,-163.7,-0.88,-44089.0,12,0.417,-18.5,-0.76
0.1,3,30,IS,63,0.492,-1.185,-74.6,-0.51,-27345.0,7,0.429,-8.1,-0.65
0.1,3,30,OOS,13,0.154,-6.853,-89.1,-2.88,-15541.0,5,0.4,-10.4,-0.82
0.1,3,40,Full,76,0.25,-3.491,-265.3,-1.3,-54237.0,12,0.25,-65.5,-1.68
0.1,3,40,IS,63,0.27,-2.353,-148.2,-0.95,-32157.0,7,0.286,-21.3,-1.03
0.1,3,40,OOS,13,0.154,-9.006,-117.1,-3.4,-19817.0,5,0.2,-44.1,-2.55
0.1,3,50,Full,76,0.224,-3.909,-297.1,-1.22,-58402.0,11,0.273,-30.6,-0.67
0.1,3,50,IS,63,0.238,-3.011,-189.7,-1.11,-38807.0,7,0.286,-18.2,-0.89
0.1,3,50,OOS,13,0.154,-8.259,-107.4,-1.8,-17293.0,4,0.25,-12.4,-0.49
0.1,3,60,Full,76,0.276,-4.289,-326.0,-1.2,-59748.0,10,0.3,-42.3,-0.89
0.1,3,60,IS,63,0.302,-3.132,-197.3,-1.03,-35758.0,6,0.333,-22.6,-1.04
0.1,3,60,OOS,13,0.154,-9.896,-128.6,-2.06,-21194.0,4,0.25,-19.7,-0.73
0.1,5,10,Full,49,0.429,0.344,16.9,0.39,-9278.0,10,0.3,-1.0,-0.14
0.1,5,10,IS,46,0.457,0.456,21.0,0.5,-8534.0,9,0.333,-0.9,-0.13
0.1,5,10,OOS,3,0.0,-1.376,-4.1,-5.94,-729.0,1,0.0,-0.1,0.0
0.1,5,20,Full,49,0.571,0.163,8.0,0.09,-16304.0,8,0.375,-15.3,-1.04
0.1,5,20,IS,46,0.609,0.527,24.3,0.3,-13356.0,7,0.429,-10.9,-0.8
