trade_date,entry_price,exit_price,side,pnl_points,ret_pct
2024-01-23,17799.0,17870.0,S,-77.0,-0.4326085735153661
2024-01-30,18129.0,18081.0,S,42.0,0.23167301009432403
2024-01-31,17990.0,17920.0,S,64.0,0.3557531962201223
2024-02-02,18100.0,18084.0,S,10.0,0.05524861878453039
2024-03-08,19930.0,19791.0,S,133.0,0.6673356748620171
2024-03-15,19828.0,19730.0,S,92.0,0.4639903167238249
2024-03-21,20048.0,20264.0,S,-222.0,-1.1073423782920988
2024-03-22,20226.0,20242.0,S,-22.0,-0.10877088895481063
2024-03-28,20238.0,20203.0,S,29.0,0.14329479197549164
2024-04-03,20370.0,20349.0,S,15.0,0.07363770250368189
2024-04-08,20404.0,20450.0,S,-52.0,-0.25485198980592044
2024-05-13,20942.0,20883.0,S,53.0,0.2530799350587336
2024-05-15,21184.0,21143.0,S,35.0,0.16521903323262838
2024-05-24,21448.0,21565.0,S,-123.0,-0.5734800447594182
2024-06-07,21839.0,21897.0,S,-64.0,-0.29305371125051516
2024-09-25,22835.0,22792.0,S,37.0,0.16203196846945478
2024-10-09,22770.0,22702.0,S,62.0,0.2722880983750549
2024-11-01,22397.0,22753.0,S,-362.0,-1.616287895700317
2024-11-08,23772.0,23781.0,S,-15.0,-0.06309944472488642
2024-11-15,22710.0,22759.0,S,-55.0,-0.24218405988551298
2024-12-02,22530.0,22827.0,S,-303.0,-1.3448735019973368
2024-12-09,23193.0,23249.0,S,-62.0,-0.2673220368214547
2024-12-10,23228.0,23090.0,S,132.0,0.5682796624763218
2024-12-19,22747.0,22849.0,S,-108.0,-0.47478788411658684
2025-01-17,23277.0,23190.0,S,81.0,0.34798298749838896
2025-01-21,23426.0,23365.0,S,55.0,0.23478186630239906
2025-02-03,22680.0,22598.0,S,76.0,0.3350970017636684
2025-02-24,23549.0,23558.0,S,-15.0,-0.06369697227058474
2025-02-25,23231.0,23299.0,S,-74.0,-0.3185398820541518
2025-02-27,23374.0,23196.0,S,172.0,0.7358603576623599
2025-03-19,22244.0,22034.0,S,204.0,0.9171012407840317
2025-03-21,22323.0,22177.0,S,140.0,0.6271558482282847
2025-03-24,22302.0,22160.0,S,136.0,0.6098107793023048
2025-03-25,22330.0,22298.0,S,26.0,0.11643528884908196
2025-03-26,22409.0,22305.0,S,98.0,0.4373242893480298
2025-05-19,21682.0,21538.0,S,138.0,0.6364726501245273
2025-05-21,21472.0,21672.0,S,-206.0,-0.9593889716840536
2025-05-23,21558.0,21470.0,S,82.0,0.3803692364783375
2025-06-10,21879.0,22113.0,S,-240.0,-1.0969422734128618
2025-06-12,22315.0,22252.0,S,57.0,0.2554335648666816
2025-06-13,21954.0,21940.0,S,8.0,0.036439828732804956
2025-06-17,22150.0,22159.0,S,-15.0,-0.06772009029345372
2025-06-24,21770.0,21959.0,S,-195.0,-0.8957280661460726
2025-06-26,22161.0,22117.0,S,38.0,0.171472406479852
2025-07-11,22519.0,22764.0,S,-251.0,-1.1146143256805363
2025-07-16,22704.0,22920.0,S,-222.0,-0.9778012684989429
2025-07-22,23241.0,22990.0,S,245.0,1.0541715072501183
2025-07-28,23368.0,23392.0,S,-30.0,-0.1283806915439918
2025-07-29,23326.0,23163.0,S,157.0,0.6730686787276001
2025-08-01,23064.0,23344.0,S,-286.0,-1.240027748872702
2025-08-11,23973.0,24162.0,S,-195.0,-0.8134150919784758
2025-09-03,23966.0,23997.0,S,-37.0,-0.1543853792873237
2025-09-10,24970.0,25178.0,S,-214.0,-0.8570284341209451
2025-09-11,25386.0,25240.0,S,140.0,0.5514850705113055
2025-09-16,25420.0,25629.0,S,-215.0,-0.8457907159716758
2025-10-02,26459.0,26431.0,S,22.0,0.08314751124381119
2025-10-03,26480.0,26745.0,S,-271.0,-1.0234138972809668
2025-10-07,27202.0,27322.0,S,-126.0,-0.46320123520329387
2025-10-17,27251.0,27328.0,S,-83.0,-0.304575978863161
2025-10-20,27444.0,27783.0,S,-345.0,-1.2571053782247485
2025-10-29,28225.0,28412.0,S,-193.0,-0.6837909654561559
2025-10-30,28430.0,28398.0,S,26.0,0.0914526908195568
2025-11-03,28380.0,28340.0,S,34.0,0.11980267794221282
2025-11-21,26750.0,26486.0,S,258.0,0.9644859813084112
2025-12-01,27650.0,27404.0,S,240.0,0.867992766726944
2025-12-26,28595.0,28673.0,S,-84.0,-0.2937576499388005
2026-01-30,32456.0,32247.0,S,203.0,0.6254621641607099
2026-02-02,31888.0,31610.0,S,272.0,0.8529854490717512
