trade_date,entry_price,exit_price,side,pnl_points,ret_pct
2024-01-02,17838.0,17798.0,L,-46.0,-0.2578764435474829
2024-01-03,17658.0,17546.0,L,-118.0,-0.6682523502095367
2024-01-04,17525.0,17546.0,L,15.0,0.08559201141226819
2024-01-05,17577.0,17519.0,L,-64.0,-0.36411219206918133
2024-01-08,17572.0,17595.0,L,17.0,0.09674482130662417
2024-01-09,17770.0,17545.0,L,-231.0,-1.2999437253798536
2024-01-10,17509.0,17458.0,L,-57.0,-0.32554686161402707
2024-01-11,17490.0,17575.0,L,79.0,0.45168667810177243
2024-01-12,17466.0,17489.0,L,17.0,0.09733195923508531
2024-01-15,17580.0,17559.0,L,-27.0,-0.15358361774744025
2024-01-16,17480.0,17333.0,L,-153.0,-0.8752860411899313
2024-01-17,17313.0,17167.0,L,-152.0,-0.8779529833073414
2024-01-18,17240.0,17280.0,L,34.0,0.19721577726218098
2024-01-19,17541.0,17678.0,L,131.0,0.7468217319423066
2024-01-22,17816.0,17817.0,L,-5.0,-0.028064660978895376
2024-01-23,17799.0,17870.0,L,65.0,0.3651890555649194
2024-01-24,17903.0,17903.0,L,-6.0,-0.03351393621180808
2024-01-25,18016.0,17995.0,L,-27.0,-0.14986678507992895
2024-01-26,17951.0,17999.0,L,42.0,0.23397025235362934
2024-01-29,18011.0,18125.0,L,108.0,0.5996335572705569
2024-01-30,18129.0,18081.0,L,-54.0,-0.29786529869270234
2024-01-31,17990.0,17920.0,L,-76.0,-0.4224569205113952
2024-02-01,17956.0,17986.0,L,24.0,0.13366005791935842
2024-02-02,18100.0,18084.0,L,-22.0,-0.12154696132596686
2024-02-05,18008.0,18086.0,L,72.0,0.3998223011994669
2024-02-15,18590.0,18667.0,L,71.0,0.3819257665411511
2024-02-16,18683.0,18634.0,L,-55.0,-0.29438527003157955
2024-02-19,18680.0,18671.0,L,-15.0,-0.08029978586723768
2024-02-20,18634.0,18753.0,L,113.0,0.6064183750134163
2024-02-21,18755.0,18692.0,L,-69.0,-0.36790189282857905
2024-02-22,18887.0,18889.0,L,-4.0,-0.021178588447080003
2024-02-23,18990.0,18913.0,L,-83.0,-0.4370721432332807
2024-02-26,18907.0,18963.0,L,50.0,0.26445231924683976
2024-02-27,18950.0,18867.0,L,-89.0,-0.46965699208443273
2024-02-29,18808.0,18966.0,L,152.0,0.8081667375584858
2024-03-01,18968.0,18961.0,L,-13.0,-0.06853648249683678
2024-03-04,19144.0,19314.0,L,164.0,0.8566652737150021
2024-03-05,19362.0,19389.0,L,21.0,0.10845986984815618
2024-03-06,19282.0,19509.0,L,221.0,1.1461466652836843
2024-03-07,19688.0,19709.0,L,15.0,0.076188541243397
2024-03-08,19930.0,19791.0,L,-145.0,-0.7275464124435524
2024-03-11,19691.0,19715.0,L,18.0,0.09141232034939821
2024-03-12,19714.0,19955.0,L,235.0,1.1920462615400225
2024-03-13,19994.0,19927.0,L,-73.0,-0.3651095328598579
2024-03-14,19897.0,19939.0,L,36.0,0.18093179876363272
2024-03-15,19828.0,19730.0,L,-104.0,-0.5245107928182369
2024-03-18,19778.0,19919.0,L,135.0,0.6825766002629183
2024-03-19,19816.0,19867.0,L,45.0,0.2270892208316512
2024-03-20,19860.0,19747.0,L,-119.0,-0.5991943605236656
2024-03-21,20048.0,20264.0,L,210.0,1.047486033519553
2024-03-22,20226.0,20242.0,L,10.0,0.04944131316127757
2024-03-25,20256.0,20231.0,L,-31.0,-0.15304107424960506
2024-03-26,20280.0,20187.0,L,-99.0,-0.4881656804733727
2024-03-27,20185.0,20261.0,L,70.0,0.3467921724052514
2024-03-28,20238.0,20203.0,L,-41.0,-0.20258918865500544
2024-03-29,20226.0,20280.0,L,48.0,0.23731830317413233
2024-04-01,20393.0,20288.0,L,-111.0,-0.5443044181827098
2024-04-02,20350.0,20523.0,L,167.0,0.8206388206388207
2024-04-03,20370.0,20349.0,L,-27.0,-0.1325478645066274
2024-04-08,20404.0,20450.0,L,40.0,0.1960399921584003
2024-04-09,20538.0,20874.0,L,330.0,1.6067776803973124
2024-04-10,20822.0,20851.0,L,23.0,0.11046009028911727
2024-04-11,20706.0,20753.0,L,41.0,0.19801023857818992
2024-04-12,20745.0,20755.0,L,4.0,0.01928175463967221
2024-04-15,20544.0,20508.0,L,-42.0,-0.20443925233644858
2024-04-16,20278.0,19953.0,L,-331.0,-1.6323108787848901
2024-04-17,19979.0,20185.0,L,200.0,1.0010511036588419
2024-04-18,20070.0,20358.0,L,282.0,1.4050822122571
2024-04-19,19840.0,19546.0,L,-300.0,-1.5120967741935485
2024-04-22,19620.0,19524.0,L,-102.0,-0.5198776758409785
2024-04-23,19651.0,19677.0,L,20.0,0.10177599104371278
2024-04-24,19930.0,20170.0,L,234.0,1.1741093828399398
2024-04-25,19940.0,19885.0,L,-61.0,-0.3059177532597793
2024-04-26,20126.0,20178.0,L,46.0,0.2285600715492398
2024-04-29,20350.0,20552.0,L,196.0,0.9631449631449631
2024-04-30,20518.0,20413.0,L,-111.0,-0.5409884004288916
2024-05-02,20250.0,20291.0,L,35.0,0.17283950617283952
2024-05-03,20548.0,20382.0,L,-172.0,-0.8370644344948414
2024-05-06,20685.0,20602.0,L,-89.0,-0.43026347594875514
2024-05-07,20733.0,20650.0,L,-89.0,-0.4292673515651377
2024-05-08,20618.0,20725.0,L,101.0,0.4898632263071103
2024-05-09,20707.0,20612.0,L,-101.0,-0.48775776307528856
2024-05-10,20738.0,20809.0,L,65.0,0.3134342752435143
2024-05-13,20942.0,20883.0,L,-65.0,-0.3103810524305224
2024-05-14,20892.0,21013.0,L,115.0,0.5504499329887038
2024-05-15,21184.0,21143.0,L,-47.0,-0.2218655589123867
2024-05-16,21465.0,21370.0,L,-101.0,-0.4705334265082693
2024-05-17,21303.0,21336.0,L,27.0,0.12674271229404308
2024-05-20,21435.0,21302.0,L,-139.0,-0.6484721250291579
2024-05-21,21324.0,21277.0,L,-53.0,-0.24854623897955355
2024-05-22,21293.0,21583.0,L,284.0,1.3337716620485605
2024-05-23,21630.0,21604.0,L,-32.0,-0.14794267221451687
2024-05-24,21448.0,21565.0,L,111.0,0.5175307720999627
2024-05-27,21670.0,21875.0,L,199.0,0.9183202584217812
2024-05-28,21892.0,21954.0,L,56.0,0.2558012059199708
2024-05-29,21865.0,21722.0,L,-149.0,-0.6814543791447519
2024-05-30,21512.0,21391.0,L,-127.0,-0.5903681666046857
2024-05-31,21505.0,21285.0,L,-226.0,-1.0509183910718438
2024-06-03,21469.0,21654.0,L,179.0,0.8337603055568495
2024-06-04,21560.0,21320.0,L,-246.0,-1.1410018552875696
2024-06-05,21350.0,21463.0,L,107.0,0.5011709601873536
2024-06-06,21825.0,21875.0,L,44.0,0.2016036655211913
2024-06-07,21839.0,21897.0,L,52.0,0.23810614039104352
2024-06-11,21920.0,21798.0,L,-128.0,-0.583941605839416
2024-06-12,21829.0,22046.0,L,211.0,0.9666040588208348
2024-06-13,22308.0,22323.0,L,9.0,0.04034427111350188
2024-06-14,22274.0,22511.0,L,231.0,1.03708359522313
2024-06-17,22430.0,22477.0,L,41.0,0.1827909050378957
2024-06-18,22726.0,22786.0,L,54.0,0.23761330634515535
2024-06-19,22956.0,23225.0,L,263.0,1.14566997734797
2024-06-20,23153.0,23378.0,L,219.0,0.945881743186628
2024-06-21,23034.0,23210.0,L,170.0,0.7380394199878441
2024-06-24,23050.0,22746.0,L,-310.0,-1.3449023861171365
2024-06-25,22608.0,22743.0,L,129.0,0.5705944798301485
2024-06-26,22806.0,22872.0,L,60.0,0.26308866087871613
2024-06-27,22614.0,22793.0,L,173.0,0.7650128239143893
2024-06-28,22908.0,22983.0,L,69.0,0.30120481927710846
2024-07-01,22960.0,22991.0,L,25.0,0.10888501742160278
2024-07-02,22838.0,22831.0,L,-13.0,-0.05692267273841843
2024-07-03,23073.0,23185.0,L,106.0,0.4594114332769904
2024-07-04,23487.0,23624.0,L,131.0,0.5577553540256311
2024-07-05,23659.0,23570.0,L,-95.0,-0.40153852656494354
2024-07-08,23545.0,23913.0,L,362.0,1.537481418560204
2024-07-09,23945.0,23878.0,L,-73.0,-0.30486531634996866
2024-07-10,23759.0,24000.0,L,235.0,0.9890988677974663
2024-07-11,24251.0,24367.0,L,110.0,0.45358954269927015
2024-07-12,24038.0,23808.0,L,-236.0,-0.981778850153923
2024-07-15,24091.0,23853.0,L,-244.0,-1.0128263666929558
2024-07-16,23830.0,24002.0,L,166.0,0.6966009232060427
2024-07-17,23980.0,23679.0,L,-307.0,-1.28023352793995
