trade_date,entry_price,exit_price,side,pnl_points,ret_pct
2024-01-23,17799.0,17870.0,L,65.0,0.3651890555649194
2024-01-30,18129.0,18081.0,L,-54.0,-0.29786529869270234
2024-01-31,17990.0,17920.0,L,-76.0,-0.4224569205113952
2024-02-02,18100.0,18084.0,L,-22.0,-0.12154696132596686
2024-03-08,19930.0,19791.0,L,-145.0,-0.7275464124435524
2024-03-15,19828.0,19730.0,L,-104.0,-0.5245107928182369
2024-03-21,20048.0,20264.0,L,210.0,1.047486033519553
2024-03-22,20226.0,20242.0,L,10.0,0.04944131316127757
2024-03-28,20238.0,20203.0,L,-41.0,-0.20258918865500544
2024-04-03,20370.0,20349.0,L,-27.0,-0.1325478645066274
2024-04-08,20404.0,20450.0,L,40.0,0.1960399921584003
2024-05-13,20942.0,20883.0,L,-65.0,-0.3103810524305224
2024-05-15,21184.0,21143.0,L,-47.0,-0.2218655589123867
2024-05-24,21448.0,21565.0,L,111.0,0.5175307720999627
2024-06-07,21839.0,21897.0,L,52.0,0.23810614039104352
2024-09-25,22835.0,22792.0,L,-49.0,-0.2145828771622509
2024-10-09,22770.0,22702.0,L,-74.0,-0.32498902064119456
2024-11-01,22397.0,22753.0,L,350.0,1.5627092914229583
2024-11-08,23772.0,23781.0,L,3.0,0.012619888944977283
2024-11-15,22710.0,22759.0,L,43.0,0.18934390136503743
2024-12-02,22530.0,22827.0,L,291.0,1.2916111850865513
2024-12-09,23193.0,23249.0,L,50.0,0.2155822877592377
2024-12-10,23228.0,23090.0,L,-144.0,-0.6199414499741691
2024-12-19,22747.0,22849.0,L,96.0,0.4220336747702994
2025-01-17,23277.0,23190.0,L,-93.0,-0.3995360226833355
2025-01-21,23426.0,23365.0,L,-67.0,-0.286007000768377
2025-02-03,22680.0,22598.0,L,-88.0,-0.3880070546737213
2025-02-24,23549.0,23558.0,L,3.0,0.012739394454116948
2025-02-25,23231.0,23299.0,L,62.0,0.2668847660453704
2025-02-27,23374.0,23196.0,L,-184.0,-0.7871994523829896
2025-03-19,22244.0,22034.0,L,-216.0,-0.9710483725948571
2025-03-21,22323.0,22177.0,L,-152.0,-0.6809120637907091
2025-03-24,22302.0,22160.0,L,-148.0,-0.6636176127701552
2025-03-25,22330.0,22298.0,L,-38.0,-0.1701746529332736
2025-03-26,22409.0,22305.0,L,-110.0,-0.4908742023294212
2025-05-19,21682.0,21538.0,L,-150.0,-0.6918180979614427
2025-05-21,21472.0,21672.0,L,194.0,0.9035022354694486
2025-05-23,21558.0,21470.0,L,-94.0,-0.4360330271824845
2025-06-10,21879.0,22113.0,L,228.0,1.0420951597422186
2025-06-12,22315.0,22252.0,L,-69.0,-0.3092090522070356
2025-06-13,21954.0,21940.0,L,-20.0,-0.0910995718320124
2025-06-17,22150.0,22159.0,L,3.0,0.013544018058690745
2025-06-24,21770.0,21959.0,L,183.0,0.8406063389986219
2025-06-26,22161.0,22117.0,L,-50.0,-0.22562158747348945
