trade_date,entry_price,exit_price,side,pnl_points,ret_pct
2025-07-01,22197.0,22353.0,L,150.0,0.6757669955399379
2025-07-02,22298.0,22396.0,L,92.0,0.4125930576733339
2025-07-03,22568.0,22675.0,L,101.0,0.4475363346331088
2025-07-04,22739.0,22435.0,L,-310.0,-1.3632965389858833
2025-07-07,22349.0,22336.0,L,-19.0,-0.08501498948498815
2025-07-08,22353.0,22251.0,L,-108.0,-0.483156623272044
2025-07-09,22250.0,22434.0,L,178.0,0.8
2025-07-10,22470.0,22611.0,L,135.0,0.6008010680907877
2025-07-11,22519.0,22764.0,L,239.0,1.0613259913850526
2025-07-14,22670.0,22551.0,L,-125.0,-0.5513895015438905
2025-07-15,22529.0,22810.0,L,275.0,1.2206489413644634
2025-07-16,22704.0,22920.0,L,210.0,0.9249471458773785
2025-07-17,22958.0,23148.0,L,184.0,0.8014635421203937
2025-07-18,23350.0,23262.0,L,-94.0,-0.4025695931477516
2025-07-21,23234.0,23228.0,L,-12.0,-0.05164844624257554
2025-07-22,23241.0,22990.0,L,-257.0,-1.1058043974011444
2025-07-23,23006.0,23186.0,L,174.0,0.7563244371033643
2025-07-24,23400.0,23310.0,L,-96.0,-0.41025641025641024
2025-07-25,23264.0,23238.0,L,-32.0,-0.1375515818431912
2025-07-28,23368.0,23392.0,L,18.0,0.07702841492639508
2025-07-29,23326.0,23163.0,L,-169.0,-0.724513418502958
2025-07-30,23213.0,23361.0,L,142.0,0.6117261879119459
2025-07-31,23497.0,23589.0,L,86.0,0.36600417074520153
2025-08-01,23064.0,23344.0,L,274.0,1.1879986125563649
2025-08-04,23108.0,23260.0,L,146.0,0.6318158213605677
2025-08-05,23446.0,23575.0,L,123.0,0.5246097415337371
2025-08-06,23423.0,23425.0,L,-4.0,-0.017077231780728345
2025-08-07,23660.0,23997.0,L,331.0,1.3989856297548606
2025-08-08,24091.0,23949.0,L,-148.0,-0.6143373043875305
2025-08-11,23973.0,24162.0,L,183.0,0.7633587786259541
2025-08-12,24155.0,24135.0,L,-26.0,-0.10763817015110742
2025-08-13,24298.0,24347.0,L,43.0,0.17696929788459956
2025-08-14,24337.0,24250.0,L,-93.0,-0.3821341989563216
2025-08-15,24282.0,24312.0,L,24.0,0.09883864591055103
2025-08-18,24199.0,24426.0,L,221.0,0.9132608785487004
2025-08-19,24380.0,24342.0,L,-44.0,-0.1804757998359311
2025-08-20,24100.0,23667.0,L,-439.0,-1.821576763485477
2025-08-21,23729.0,23852.0,L,117.0,0.4930675544692149
2025-08-22,23877.0,23750.0,L,-133.0,-0.5570214013485781
2025-08-25,24120.0,24251.0,L,125.0,0.5182421227197347
2025-08-26,24143.0,24253.0,L,104.0,0.43076668185395356
2025-08-27,24350.0,24463.0,L,107.0,0.4394250513347023
2025-08-28,24358.0,24228.0,L,-136.0,-0.5583381229986042
2025-08-29,24401.0,24267.0,L,-140.0,-0.573746977582886
2025-09-01,24120.0,24008.0,L,-118.0,-0.4892205638474295
2025-09-02,24083.0,23965.0,L,-124.0,-0.5148860191836566
2025-09-03,23966.0,23997.0,L,25.0,0.1043144454644079
2025-09-04,24195.0,24132.0,L,-69.0,-0.2851828890266584
2025-09-05,24363.0,24419.0,L,50.0,0.20522924106226656
2025-09-08,24588.0,24551.0,L,-43.0,-0.17488205628761996
2025-09-09,24725.0,24802.0,L,71.0,0.2871587462082912
2025-09-10,24970.0,25178.0,L,202.0,0.8089707649179014
2025-09-11,25386.0,25240.0,L,-152.0,-0.5987552194122745
2025-09-12,25418.0,25459.0,L,35.0,0.1376976945471713
2025-09-15,25404.0,25353.0,L,-57.0,-0.22437411431270668
2025-09-16,25420.0,25629.0,L,203.0,0.7985837922895358
2025-09-17,25575.0,25470.0,L,-111.0,-0.4340175953079179
2025-09-18,25623.0,25709.0,L,80.0,0.31221949030168206
2025-09-19,25850.0,25671.0,L,-185.0,-0.7156673114119922
2025-09-22,25756.0,25891.0,L,129.0,0.5008541699021587
2025-09-23,26058.0,26273.0,L,209.0,0.8020569498810346
2025-09-24,26376.0,26237.0,L,-145.0,-0.5497421898695785
2025-09-25,26191.0,26097.0,L,-100.0,-0.3818105456072697
2025-09-26,25944.0,25669.0,L,-281.0,-1.0831020659882824
2025-09-30,25800.0,25954.0,L,148.0,0.5736434108527132
2025-10-01,26094.0,26045.0,L,-55.0,-0.21077642369893462
2025-10-02,26459.0,26431.0,L,-34.0,-0.12850069919498092
2025-10-03,26480.0,26745.0,L,259.0,0.97809667673716
2025-10-07,27202.0,27322.0,L,114.0,0.4190868318505992
2025-10-08,27061.0,27093.0,L,26.0,0.09607922840988876
2025-10-09,27440.0,27335.0,L,-111.0,-0.4045189504373178
2025-10-13,26450.0,26904.0,L,448.0,1.6937618147448013
2025-10-14,27269.0,26718.0,L,-557.0,-2.0426124903736844
2025-10-15,26878.0,27288.0,L,404.0,1.5030880273829899
2025-10-16,27545.0,27822.0,L,271.0,0.983844617897985
2025-10-17,27251.0,27328.0,L,71.0,0.26054089758174015
2025-10-20,27444.0,27783.0,L,333.0,1.2133799737647575
2025-10-21,27900.0,27833.0,L,-73.0,-0.2616487455197133
2025-10-22,27690.0,27704.0,L,8.0,0.0288912964969303
2025-10-23,27385.0,27556.0,L,165.0,0.6025196275333212
2025-10-27,28284.0,28225.0,L,-65.0,-0.22981190779239147
2025-10-28,28233.0,28002.0,L,-237.0,-0.8394432047603867
2025-10-29,28225.0,28412.0,L,181.0,0.6412754650132861
2025-10-30,28430.0,28398.0,L,-38.0,-0.13366162504396764
2025-10-31,28478.0,28431.0,L,-53.0,-0.18610857504038203
2025-11-03,28380.0,28340.0,L,-46.0,-0.1620859760394644
2025-11-04,28410.0,28117.0,L,-299.0,-1.052446321717705
2025-11-05,27710.0,27805.0,L,89.0,0.32118368819920606
2025-11-06,28010.0,28034.0,L,18.0,0.06426276329882184
2025-11-07,27777.0,27730.0,L,-53.0,-0.1908053425495914
2025-11-10,27777.0,28016.0,L,233.0,0.8388234870576377
2025-11-11,28149.0,27780.0,L,-375.0,-1.3321965256314612
2025-11-12,27889.0,28054.0,L,159.0,0.5701172505288824
2025-11-13,28038.0,27980.0,L,-64.0,-0.22826164491047862
2025-11-14,27510.0,27401.0,L,-115.0,-0.41802980734278444
2025-11-17,27570.0,27479.0,L,-97.0,-0.3518317011244106
2025-11-18,27142.0,26805.0,L,-343.0,-1.263724117603714
2025-11-19,26801.0,26595.0,L,-212.0,-0.7910152606246036
2025-11-20,27308.0,27482.0,L,168.0,0.6152043357257947
2025-11-21,26750.0,26486.0,L,-270.0,-1.0093457943925233
2025-11-24,26705.0,26615.0,L,-96.0,-0.35948324283841976
2025-11-25,27055.0,26933.0,L,-128.0,-0.4731103308076141
