N,quintile,n,share_mean,dev_pct_mean,tx_dir_mean,tx_range_mean,p_up,p_down
1,1,239,4.996739748953975,-44.03631338912134,0.0004350196784734669,0.00931270616024571,0.5230125523012552,0.47280334728033474
1,2,238,7.357870588235293,-19.86507100840336,0.0001898681518588701,0.01079678647259609,0.5294117647058824,0.46638655462184875
1,3,238,8.858349159663865,-4.4235508403361345,-0.0005309173824258501,0.012196917710729718,0.47058823529411764,0.5168067226890757
1,4,238,10.440374789915968,14.187290756302522,0.0018606592879441277,0.012449047074112436,0.5756302521008403,0.42436974789915966
1,5,238,13.4174756302521,60.62205336134454,-0.0015617339909923152,0.0141951186551008,0.48739495798319327,0.5042016806722689
5,1,239,15.395219665271966,-27.20308117154812,0.000247911355362229,0.009719460065688959,0.49372384937238495,0.497907949790795
5,2,238,18.145081932773113,-11.822825210084035,0.0005933303442052426,0.010778075628045385,0.5588235294117647,0.4369747899159664
5,3,238,20.17957731092437,-1.985818907563025,0.0005166594410581093,0.011230010959719892,0.5126050420168067,0.47478991596638653
5,4,238,22.727108403361342,10.31407605042017,-0.0010106348640365804,0.012350207951696517,0.47058823529411764,0.5294117647058824
5,5,238,26.923849159663863,33.956616806722685,4.6415637694136295e-05,0.014871112417611129,0.5504201680672269,0.44537815126050423
10,1,239,23.026209623430965,-22.760350627615068,0.00020917952296446195,0.009810157539108827,0.502092050209205,0.4895397489539749
10,2,238,26.745249159663867,-9.377623529411764,0.0003628619268850691,0.010855583085692799,0.5168067226890757,0.47478991596638653
10,3,238,29.011236554621853,-0.7340130252100839,7.99975784097381e-05,0.011352780700683024,0.5168067226890757,0.4831932773109244
10,4,238,32.10941344537815,8.745820168067228,0.00021376286973359658,0.011877478945857464,0.542016806722689,0.453781512605042
10,5,238,35.74490126050419,26.594679831932773,-0.00047195724491814214,0.015052485669598674,0.5084033613445378,0.4831932773109244
20,1,239,33.23538786610879,-17.592574476987448,0.0006819901974264802,0.009329472776165512,0.5230125523012552,0.4686192468619247
20,2,238,37.64874495798319,-6.934631092436975,-0.0005366059787840691,0.010980417516851635,0.4495798319327731,0.5462184873949579
20,3,238,40.30745588235295,-0.40676218487394955,-0.0002698030362363622,0.011230563821056819,0.5252100840336135,0.46638655462184875
20,4,238,43.463579831932776,7.1661134453781505,0.0005934554699173561,0.012384829797647948,0.5378151260504201,0.4579831932773109
20,5,238,46.24263571428571,20.037302100840336,-7.717859872121062e-05,0.015025221713096788,0.5504201680672269,0.44537815126050423
