weekday,quintile,n,p_up,range_mean,dir_mean
Mon,1,57,0.5087719298245614,0.009589994702943468,0.00040469137739842576
Mon,2,42,0.42857142857142855,0.011476915719427976,-0.0006148597085364126
Mon,3,46,0.4782608695652174,0.010780899371872918,-0.00022202861316868784
Mon,4,43,0.5348837209302325,0.011624616254333527,0.0005058698485948614
Mon,5,45,0.4888888888888889,0.01672711948624649,-0.0017528903826556504
Tue,1,52,0.5384615384615384,0.009684569328200065,0.0005606422100399675
Tue,2,45,0.3333333333333333,0.01265815798129726,-0.0009034103924756389
Tue,3,52,0.4230769230769231,0.011348220721118029,-0.0019365684728124698
Tue,4,47,0.574468085106383,0.013626145362241167,0.0008601730674927447
Tue,5,49,0.5102040816326531,0.016120224652015167,-0.0003034636680294163
Wed,1,43,0.5581395348837209,0.008814438082835807,0.0014541259474576335
Wed,2,46,0.5217391304347826,0.00949566542517072,-0.00011841320277791794
Wed,3,52,0.5769230769230769,0.010994427208279962,0.0007868675025044345
Wed,4,52,0.5384615384615384,0.012254513416161534,0.001100865241941044
Wed,5,50,0.52,0.016626360765903944,-0.001535597547027705
Thu,1,48,0.5208333333333334,0.009006138493241002,0.0008391653553531065
Thu,2,54,0.3888888888888889,0.011643626483805757,-0.002111027909217612
Thu,3,48,0.5416666666666666,0.01225956826828846,0.00011699521787999611
Thu,4,45,0.5333333333333333,0.01271027285135988,0.0009286501795120037
Thu,5,43,0.5813953488372093,0.011959534081149047,0.001374960103945577
Fri,1,39,0.48717948717948717,0.009441056541842777,0.00020429489624391862
Fri,2,51,0.5686274509803921,0.009728144312803411,0.001141330723428626
Fri,3,40,0.625,0.010666896227470666,4.221839482086362e-06
Fri,4,51,0.5098039215686274,0.011727552645626273,-0.0003916154211839547
Fri,5,51,0.6470588235294118,0.013486536845148904,0.0018242720262553525
