c_bucket,weekday,n,p_up_pct,p_dn_pct,p_crash_pct,p_rally_pct,mean_dir_pct,mean_up_pct,mean_dn_pct,mean_crash_loss_pct,mean_rally_gain_pct,range_mean_pct
c_low,Mon,89,47.19101123595505,51.68539325842697,11.235955056179774,4.49438202247191,-0.010935102028650624,0.4695780906799598,-0.44990225845887427,-1.056888646240938,1.1598964468852175,1.0441031086307382
c_low,Tue,82,46.34146341463415,53.65853658536586,12.195121951219512,9.75609756097561,-0.03201935645657373,0.5631371225544285,-0.5460181337842575,-1.1656219510112176,1.0089258787303061,1.07406862465883
c_low,Wed,80,53.75,46.25,3.75,8.75,0.06924850880557526,0.4499230372234159,-0.37315702422056385,-0.8013882198600287,1.083445918249917,0.8961080587096927
c_low,Thu,73,47.94520547945205,49.31506849315068,12.32876712328767,6.8493150684931505,-0.04139062812327897,0.4917714566730114,-0.5620421343487434,-1.3385517263163038,1.0622915281870977,0.9942219404063597
c_low,Fri,73,56.16438356164384,43.83561643835616,2.73972602739726,8.21917808219178,0.08969962264682714,0.4795561312123376,-0.40980402895273327,-1.0381791151582282,1.181688509710066,0.9615816690829538
c_mid,Mon,74,47.2972972972973,52.702702702702695,10.81081081081081,9.45945945945946,-0.014399526718358506,0.5285764385113777,-0.5016856493604295,-1.0164176926961255,1.0295242700425167,1.0679102751094185
c_mid,Tue,80,43.75,56.25,21.25,11.25,-0.12006724289083093,0.556108884844601,-0.645982008907278,-1.0727364360719038,1.151759036841057,1.1675505187989428
c_mid,Wed,79,58.22784810126582,40.50632911392405,13.924050632911392,18.9873417721519,0.10775137129573971,0.6191741966559372,-0.6240517098065523,-1.1746586604509697,1.130300916516402,1.1485081990806973
c_mid,Thu,90,52.22222222222223,46.666666666666664,12.222222222222221,11.11111111111111,0.011050167093418486,0.5488732954368929,-0.5905364249315784,-1.2222969365325214,1.0216145301976536,1.2085684335093496
c_mid,Fri,74,56.75675675675676,43.24324324324324,14.864864864864865,6.756756756756757,-0.03362220578031088,0.4726147507818534,-0.6980582112681515,-1.2497396341237608,1.1927053259635259,1.0793876920934262
c_high,Mon,70,52.85714285714286,45.714285714285715,21.428571428571427,20.0,-0.07101398372202801,0.7019641549350409,-0.9669891435355774,-1.6422009252259686,1.269767125722591,1.5109357642071628
c_high,Tue,83,53.01204819277109,46.98795180722892,21.686746987951807,24.096385542168676,0.04297162375927584,0.827064665853966,-0.8416461673219131,-1.3947146539386062,1.2929970706526164,1.5408016198043386
c_high,Wed,84,51.19047619047619,47.61904761904761,19.047619047619047,20.238095238095237,-0.0738806626135964,0.6548486481639884,-0.8591116882648399,-1.5752855329208517,1.202117214486541,1.4665196114814796
c_high,Thu,75,52.0,48.0,16.0,12.0,0.07077700148140648,0.6033236483447089,-0.5061485326205045,-0.984446795728697,1.2516476019560507,1.2296511890992952
c_high,Fri,85,57.647058823529406,42.35294117647059,14.117647058823529,15.294117647058824,0.11624639533122792,0.680879072717275,-0.6522814155553364,-1.1707558106311986,1.5170778081368508,1.2661523148629548
