trade_date,list_month,total_value,top1_value,top1_share,top5_value,top5_share,top10_value,top10_share,top20_value,top20_share,top1_ma20,top1_std20,top1_dev_pct,top1_zscore,top5_ma20,top5_std20,top5_dev_pct,top5_zscore,top10_ma20,top10_std20,top10_dev_pct,top10_zscore,top20_ma20,top20_std20,top20_dev_pct,top20_zscore,list_changed,tx_open,tx_close,tx_high,tx_low,tx_dir,tx_range,weekday
2020-12-31,2020-11,248046775940,16437646054,6.6268,41826551899,16.8624,67525646446,27.2229,84987465005,34.2627,7.0272,2.3378,-5.6981,-0.1713,17.7727,4.2996,-5.1219,-0.2117,25.6048,4.2515,6.3196,0.3806,34.9497,4.4538,-1.9656,-0.1542,True,14678.0,14678.0,14712.0,14604.0,0.0,0.007357950674478812,3
2021-01-05,2020-12,335792961952,18761831567,5.5873,62796373456,18.7009,101673216853,30.2785,144156245618,42.9301,6.816,2.2627,-18.0272,-0.543,17.5807,4.159,6.3715,0.2693,25.761,4.3672,17.536,1.0344,35.2908,4.7953,21.6469,1.5931,True,14874.0,14977.0,14980.0,14836.0,0.006924835283044238,0.009681323114158934,1
2021-01-06,2020-12,418864323250,30572783229,7.299,84205869085,20.1034,128181987833,30.6023,178716242631,42.6669,6.8224,2.2639,6.9864,0.2105,17.6354,4.1859,13.9944,0.5896,26.1062,4.4674,17.2225,1.0064,35.6812,5.0684,19.5781,1.3783,True,15048.0,14911.0,15140.0,14764.0,-0.009104199893673578,0.024986709197235512,2
2021-01-07,2020-12,326606465590,30018630685,9.1911,77849339099,23.8358,104857137728,32.105,142839448759,43.7344,6.8841,2.3128,33.5118,0.9975,17.8073,4.3718,33.8539,1.379,26.2987,4.6443,22.0783,1.2502,35.9322,5.3433,21.7138,1.4602,True,15050.0,15230.0,15260.0,15024.0,0.011960132890365448,0.015681063122923587,3
2021-01-08,2020-12,384645886130,36339702855,9.4476,101163891003,26.3005,138170653455,35.9215,176884494878,45.9863,6.9511,2.3688,35.9148,1.0539,18.0531,4.7087,45.6841,1.7515,26.7209,5.1169,34.4322,1.7981,36.3086,5.7781,26.6539,1.6749,True,15376.0,15454.0,15473.0,15264.0,0.005072840790842872,0.01359261186264308,4
2021-01-11,2020-12,313840233306,30535694908,9.7297,84800402171,27.0202,108147126069,34.4593,139415120784,44.4223,7.0552,2.4455,37.9086,1.0936,18.2735,5.0258,47.8656,1.7404,27.065,5.401,27.3207,1.3691,36.5291,6.0065,21.608,1.3141,True,15420.0,15534.0,15538.0,15369.0,0.007392996108949416,0.010959792477302204,0
2021-01-12,2020-12,357578478435,30958142918,8.6577,91860338962,25.6896,119728036900,33.483,158679918339,44.3762,7.0639,2.4512,22.5621,0.6502,18.4723,5.243,39.071,1.3766,27.1742,5.5121,23.2162,1.1445,36.6133,6.1084,21.2024,1.2709,True,15517.0,15493.0,15605.0,15407.0,-0.001546690726300187,0.012760198491976541,1
2021-01-13,2020-12,362415686353,45419255149,12.5324,92402647824,25.4963,135279290188,37.3271,164195618104,45.3059,7.3429,2.7386,70.6749,1.895,18.9006,5.4559,34.8968,1.2089,27.7234,5.9544,34.641,1.6129,37.1481,6.3857,21.9603,1.2775,True,15557.0,15764.0,15790.0,15555.0,0.013305907308607057,0.015105740181268883,2
2021-01-14,2020-12,383947371750,53477747672,13.9284,90536813507,23.5805,148992499825,38.8054,175230181231,45.6391,7.6289,3.1076,82.5746,2.0272,19.0248,5.5362,23.9461,0.8229,28.1889,6.444,37.6622,1.6475,37.5434,6.6625,21.5635,1.2151,True,15705.0,15729.0,15766.0,15632.0,0.0015281757402101242,0.008532314549506526,3
2021-01-15,2020-12,422421724861,61876473170,14.648,113192944938,26.7962,150820603658,35.7038,182434485108,43.1878,7.7927,3.3889,87.9712,2.0229,19.1503,5.6881,39.9259,1.3442,28.3471,6.5936,25.952,1.1157,37.6276,6.7255,14.777,0.8267,True,15950.0,15634.0,16002.0,15584.0,-0.01981191222570533,0.02620689655172414,4
2021-01-18,2020-12,303014722422,30406611574,10.0347,70603647375,23.3004,98178079627,32.4004,128544563169,42.4219,7.8416,3.415,27.9668,0.6422,19.2019,5.7225,21.3445,0.7162,28.5328,6.6556,13.555,0.5811,37.757,6.7948,12.3552,0.6866,True,15637.0,15606.0,15679.0,15327.0,-0.001982477457312784,0.02251071177335806,0
