trade_date,close,volume,taiex_dist_250ma_pct,taiex_dist_125ma_z,volume_5m_60m,vix,vix_pct,margin_amt,margin_drop_60d_pct,margin_amt_pct_1y,econ_score,econ_signal_color,econ_blue_streak,cond_A_below_250ma,cond_B_blue_streak,mode2_AND,mode2_OR,macro_tier
2008-01-02,8323.05,4372600.0,,,,,,330226434.0,,,28,綠,0,False,False,False,False,D
2008-01-03,8184.2,3636400.0,,,,,,332033119.0,,,28,綠,0,False,False,False,False,D
2008-01-04,8221.1,4603600.0,,,,,,334346264.0,,,28,綠,0,False,False,False,False,D
2008-01-07,7883.37,4539800.0,,,,,,333416687.0,,,28,綠,0,False,False,False,False,D
2008-01-08,7962.91,4618800.0,,,,,,332965100.0,,,28,綠,0,False,False,False,False,D
2008-01-09,8085.06,4682400.0,,,,,,333450428.0,,,28,綠,0,False,False,False,False,D
2008-01-10,8057.27,4480000.0,,,,,,333668616.0,,,28,綠,0,False,False,False,False,D
2008-01-11,8029.31,3920400.0,,,,,,333427775.0,,,28,綠,0,False,False,False,False,D
2008-01-14,8173.41,6106000.0,,,,,,332317787.0,,,28,綠,0,False,False,False,False,D
2008-01-15,8428.84,7548600.0,,,,,,333440488.0,,,28,綠,0,False,False,False,False,C
2008-01-16,8179.54,7645200.0,,,,,,336729465.0,,,28,綠,0,False,False,False,False,C
2008-01-17,8101.63,6393800.0,,,,,,338498468.0,,,28,綠,0,False,False,False,False,C
2008-01-18,8184.65,5977400.0,,,,,,341255098.0,,,28,綠,0,False,False,False,False,C
2008-01-21,8110.2,5519000.0,,,,,,344506253.0,,,28,綠,0,False,False,False,False,C
2008-01-22,7581.96,4674600.0,,,,,,335403819.0,,,28,綠,0,False,False,False,False,C
2008-01-23,7408.4,5692200.0,,,,,,324790587.0,,,28,綠,0,False,False,False,False,C
2008-01-24,7517.05,5326400.0,,,,,,317509042.0,,,28,綠,0,False,False,False,False,C
2008-01-25,7739.59,4640400.0,,,,,,314415846.0,,,29,綠,0,False,False,False,False,C
2008-01-28,7485.79,3969400.0,,,,,,309652189.0,,,29,綠,0,False,False,False,False,C
2008-01-29,7576.42,3867400.0,,,,,,307177950.0,,,29,綠,0,False,False,False,False,C
2008-01-30,7543.5,4061000.0,,,,,,305478616.0,,,29,綠,0,False,False,False,False,C
2008-01-31,7521.13,4342600.0,,,,,,301370423.0,,,29,綠,0,False,False,False,False,C
2008-02-01,7673.99,4123200.0,,,,,,297667318.0,,,29,綠,0,False,False,False,False,C
2008-02-12,7553.3,3811000.0,,,,,,297906385.0,,,29,綠,0,False,False,False,False,C
2008-02-13,7550.55,3561200.0,,,,,,295486922.0,,,29,綠,0,False,False,False,False,C
2008-02-14,7865.28,4326600.0,,,,,,296344829.0,,,29,綠,0,False,False,False,False,C
2008-02-15,7876.37,3882600.0,,,,,,294715569.0,,,29,綠,0,False,False,False,False,C
2008-02-18,7890.9,4036800.0,,,,,,295469051.0,,,29,綠,0,False,False,False,False,C
2008-02-19,8024.41,4502800.0,,,,,,296676795.0,,,29,綠,0,False,False,False,False,C
2008-02-20,7894.47,4148400.0,,,,,,297743048.0,,,29,綠,0,False,False,False,False,C
2008-02-21,8085.93,4585400.0,,,,,,299022801.0,,,29,綠,0,False,False,False,False,C
2008-02-22,8108.71,4923400.0,,,,,,299588739.0,,,29,綠,0,False,False,False,False,C
2008-02-25,8286.31,6325000.0,,,,,,299367427.0,,,29,綠,0,False,False,False,False,C
2008-02-26,8307.67,6403800.0,,,,,,298910353.0,,,29,綠,0,False,False,False,False,C
2008-02-27,8462.08,6403600.0,,,,,,299285317.0,,,29,綠,0,False,False,False,False,C
2008-02-29,8412.76,5924600.0,,,,,,302357897.0,,,29,綠,0,False,False,False,False,bull
2008-03-03,8262.87,5371400.0,,,,,,304161602.0,,,29,綠,0,False,False,False,False,bull
2008-03-04,8470.11,6154200.0,,,,,,305766262.0,,,29,綠,0,False,False,False,False,bull
2008-03-05,8483.95,6387800.0,,,,,,307241186.0,,,29,綠,0,False,False,False,False,bull
2008-03-06,8658.64,6635600.0,,,1.206126493750909,,,308160540.0,-10.550088041507914,,29,綠,0,False,False,False,False,D
2008-03-07,8531.38,6186600.0,,,1.2098771074157992,,,308675482.0,-10.400615573151876,,29,綠,0,False,False,False,False,D
2008-03-10,8299.37,5125200.0,,,1.199935906205666,,,310749040.0,-9.798722869625244,,29,綠,0,False,False,False,False,D
2008-03-11,8381.6,4787000.0,,,1.1476771137206596,,,313411267.0,-9.025956925083738,,29,綠,0,False,False,False,False,D
2008-03-12,8435.3,5224600.0,,,1.1010987752004038,,,312066418.0,-9.416326907715083,,29,綠,0,False,False,False,False,D
