trough_date,tier,parent_tier,drawdown_pct,dist 250MA_val,dist 250MA_pct,z 125MA_val,z 125MA_pct,vol 5/60_val,vol 5/60_pct,VIX_val,VIX_pct,VIX_pct_val,VIX_pct_pct,margin drop 60d_val,margin drop 60d_pct,margin pct 1y_val,margin pct 1y_pct,econ_score_val,econ_score_pct,blue_streak_val,blue_streak_pct
2008-01-23,C,C,12.11,,,,,,,,,,,,,,,28,70.1,0,52.7
2008-10-27,A-sub,A,53.02,-42.60933301075303,0.1,,,0.6732490840443514,1.6,,,,,-44.275439027668035,0.8,,,12,7.0,5,72.7
2008-11-20,A,A,56.0,-44.45054365716557,0.0,,,0.8987205329556156,29.3,,,,,-54.32196771304286,0.1,0.4672897196261681,3.2,12,7.0,5,72.7
2009-01-20,C-sub,A,11.42,-38.100541582947365,0.5,,,0.7400843535076939,5.1,,,,,-22.986950357218525,7.9,13.2,19.7,11,4.3,7,77.1
2009-06-18,C-sub,A,11.64,7.404636859537801,62.7,0.6594785879294638,49.5,0.6157004021030322,0.5,,,,,-4.362368207852095,43.9,64.8,49.1,11,4.3,12,88.4
2010-02-08,C-sub,A,13.65,5.867596683195195,54.7,-0.7108665985786286,15.0,0.7542309420398382,6.1,,,,,-9.278942657500217,23.9,84.0,60.6,37,89.9,0,52.7
2010-06-09,C-sub,A,13.46,-5.279535385155769,16.3,-1.456580314828302,7.7,0.7466727033009012,5.6,,,,,-5.841539464293992,37.6,58.8,45.8,39,97.2,0,52.7
2011-09-26,B-sub,A,24.8,-19.076313980512833,2.9,-2.7766623105564747,1.4,0.9723874963521782,46.7,,,,,-18.450160357503528,11.0,2.0,7.7,20,37.9,1,58.0
2011-12-19,C-sub,A,12.97,-19.409244355586676,2.8,-1.6494125762728389,6.5,0.7845182065890514,8.9,,,,,-17.015869191148887,12.6,2.0,7.7,19,30.1,3,65.9
2012-06-04,C-sub,A,15.34,-10.395341265780994,8.6,-1.0159420323955883,11.1,1.1328510352777228,78.8,,,,,-13.911033479948614,15.9,3.5999999999999996,10.0,14,11.5,9,81.7
2014-10-17,C,C,11.04,-3.800845230141132,18.6,-3.0468150438851724,1.0,1.1168384491662002,76.6,,,,,-6.085850219673035,36.5,57.99999999999999,45.4,29,74.7,0,52.7
2015-08-24,B,B,25.7,-19.614251853339105,2.8,-4.2506775380178246,0.2,1.2617480095770257,91.1,,,,,-35.00740286649584,2.7,0.4,3.1,16,19.2,4,69.4
2016-01-21,C-sub,B,13.47,-13.78971719644525,4.9,-1.195745773564535,9.3,1.0099964259798773,55.8,,,,,-8.001655363571654,27.8,18.8,25.1,15,15.3,9,81.7
2019-01-04,C,C,16.62,-11.561018292805985,7.4,-2.1648325256882055,3.7,0.7703139970145632,7.5,20.45,64.1,78.0,72.9,-9.293875220585194,23.8,10.4,17.0,17,22.6,3,65.9
2020-03-19,B,B,28.72,-21.32362993308798,2.4,-5.503640849687802,0.0,1.8585227515862115,100.0,51.14,99.9,100.0,100.0,-36.22190695677735,2.2,0.4,3.1,25,59.6,0,52.7
2021-05-17,C,C,12.74,10.88104729769888,79.2,-0.1917624946122206,24.5,1.4655238027461883,97.5,38.67,98.9,99.6,98.8,-21.698560232906264,8.6,82.39999999999999,59.4,40,98.6,0,52.7
2022-07-12,B-sub,A,24.7,-18.53307753428304,3.1,-3.1359744548147575,0.9,0.9659101507697532,45.0,28.14,94.0,99.2,97.8,-28.947510331748884,5.1,0.8,4.8,28,70.1,0,52.7
2022-10-25,A,A,31.63,-22.318209712351944,2.2,-2.216071698413386,3.3,0.9250734107786424,35.7,27.62,93.2,98.4,96.2,-14.012279849799947,15.8,0.4,3.1,17,22.6,1,58.0
2024-08-05,C-sub,B,18.69,4.75458780646389,47.4,-0.9376187242200502,12.0,0.906508291558334,31.4,48.05,99.8,100.0,100.0,-9.670270609029313,22.8,86.8,63.8,38,94.3,0,52.7
2025-04-09,B,B,28.69,-21.821190923294868,2.3,-3.920105844900757,0.3,1.209090471511017,87.5,46.93,99.7,99.6,98.8,-32.2129606451858,3.6,0.4,3.1,37,89.9,0,52.7
2026-03-31,C,C,10.42,22.066484190522555,92.7,0.8284759198271412,56.3,0.7878315313084945,9.3,37.0,98.6,95.0,91.1,-5.066235851456622,40.8,90.4,67.8,41,100.0,0,52.7
