tier,dir,def,IS_opt_m,IS_ER,OOS_opt_m,OOS_ER,OOS_at_IS_m,overfit_gap
deep STOP,up,A,0.3,0.13987730061349693,0.35,0.18173076923076922,0.16730769230769232,0.0144230769230769
deep STOP,up,Bsat,0.65,0.284260700594447,0.6,0.2567779680999396,0.24052114719064685,0.01625682090929273
deep STOP,dn,A,0.3,0.148159509202454,0.35,0.15480769230769229,0.1471153846153846,0.007692307692307693
deep STOP,dn,Bsat,0.75,0.2946544331768452,0.7,0.31946568350778676,0.2874490843050893,0.03201659920269745
mid STOP,up,A,0.3,0.1737556561085973,0.35,0.17499999999999996,0.16538461538461538,0.009615384615384581
mid STOP,up,Bsat,0.6,0.32390800341235465,0.75,0.33058948081016076,0.31666566948711705,0.013923811323043711
mid STOP,dn,A,0.35,0.15837104072398187,0.3,0.15384615384615385,0.14807692307692308,0.0057692307692307765
mid STOP,dn,Bsat,0.55,0.292668033990615,0.55,0.3210728506090395,0.3210728506090395,0.0
mid GO,up,A,0.35,0.18930817610062892,0.6,0.26129032258064516,0.22016129032258058,0.04112903225806458
mid GO,up,Bsat,0.6,0.342279506659039,0.6,0.39198835662001313,0.39198835662001313,0.0
mid GO,dn,A,0.35,0.1562893081761006,0.3,0.15967741935483867,0.15241935483870966,0.007258064516129009
mid GO,dn,Bsat,0.6,0.3321591687744918,0.75,0.37463766486720285,0.3619159063661441,0.012721758501058722
strong GO,up,A,0.4,0.20172413793103453,0.5,0.21951219512195122,0.20487804878048785,0.014634146341463372
strong GO,up,Bsat,0.6,0.3832339925757266,0.6,0.4271588448156186,0.4271588448156186,0.0
strong GO,dn,A,0.6,0.20431034482758623,0.45,0.19207317073170732,0.15365853658536582,0.0384146341463415
strong GO,dn,Bsat,0.55,0.378260169361695,0.55,0.3549435454889336,0.3549435454889336,0.0
