tier,direction,scheme,E_R,SD,Sharpe,p_positive,r_min,r_max
deep STOP,Long,A. front-heavy (5@0.618),1.4815066499999998,0.8211203562586165,1.804250301076924,0.765,0.0,1.9366099999999997
deep STOP,Long,F. 3-2 split,1.4551989899999997,0.8910203519490003,1.6331826616720104,0.765,0.0,2.1554659999999997
deep STOP,Long,G. 3-1-1 mix,1.3698754899999999,0.8663268298422945,1.5812456024816535,0.765,0.0,2.362716
deep STOP,Long,L. 1-2-1-1 mid-loaded,1.18393193,1.0111269285065723,1.1709033718928439,0.765,0.0,2.9546219999999996
deep STOP,Long,B. 1-1-1-1-1 full ladder,1.136731805,1.0564359203703395,1.0760063938393085,0.765,0.0,3.0582469999999997
deep STOP,Long,T. 2-1-1-1 tail (less front),1.309521535,0.9721063755003401,1.3470969515306321,0.765,0.0,2.5757689999999998
deep STOP,Short,A. front-heavy (5@0.618),1.5492879999999998,0.7746440000000001,1.9999999999999993,0.8,0.0,1.9366099999999997
deep STOP,Short,F. 3-2 split,1.5515037999999999,0.858010342538107,1.8082576900069156,0.8,0.0,2.1554659999999997
deep STOP,Short,G. 3-1-1 mix,1.4256902999999999,0.8180770885104346,1.7427334416563545,0.8,0.0,2.362716
deep STOP,Short,L. 1-2-1-1 mid-loaded,1.232624,0.9617521717952083,1.2816441034899686,0.8,0.0,2.9546219999999996
deep STOP,Short,B. 1-1-1-1-1 full ladder,1.167211875,1.0107362068722032,1.1548135577452223,0.8,0.0,3.0582469999999997
deep STOP,Short,T. 2-1-1-1 tail (less front),1.361386075,0.9264009307395039,1.4695430777614473,0.8,0.0,2.5757689999999998
mid STOP,Long,A. front-heavy (5@0.618),1.67853085,0.9096043094834027,1.845341795877483,0.773,0.0,2.17145
mid STOP,Long,F. 3-2 split,1.6594360100000003,0.9902666588040718,1.6757466236458702,0.773,0.0,2.4103700000000003
mid STOP,Long,G. 3-1-1 mix,1.5391972600000001,0.9480293127164859,1.6235755997771628,0.773,0.0,2.63662
mid STOP,Long,L. 1-2-1-1 mid-loaded,1.31310767,1.0835249003490743,1.2118850887293517,0.773,0.0,3.2827900000000003
mid STOP,Long,B. 1-1-1-1-1 full ladder,1.28570892,1.1328123569282045,1.1349707761719674,0.773,0.0,3.395915
mid STOP,Long,T. 2-1-1-1 tail (less front),1.5022510900000001,1.0694668384917376,1.4046729042282557,0.773,0.0,2.869205
mid STOP,Short,A. front-heavy (5@0.618),1.53955805,0.9863236478725924,1.560905543855389,0.709,0.0,2.17145
mid STOP,Short,F. 3-2 split,1.5461498300000003,1.0602374148053215,1.4583052893713442,0.709,0.0,2.4103700000000003
mid STOP,Short,G. 3-1-1 mix,1.42292233,1.0033417563943363,1.418183107532065,0.709,0.0,2.63662
mid STOP,Short,L. 1-2-1-1 mid-loaded,1.25669061,1.134131140637946,1.1080646364168385,0.709,0.0,3.2827900000000003
mid STOP,Short,B. 1-1-1-1-1 full ladder,1.219568735,1.1786053590300167,1.034755803251816,0.709,0.0,3.395915
mid STOP,Short,T. 2-1-1-1 tail (less front),1.389096345,1.10126955262761,1.2613590757009856,0.709,0.0,2.869205
mid GO,Long,A. front-heavy (5@0.618),1.8053541,1.000611777048017,1.8042503010769233,0.765,0.0,2.35994
mid GO,Long,F. 3-2 split,1.74506046,1.07536759928874,1.6227571494196054,0.765,0.0,2.6149639999999996
mid GO,Long,G. 3-1-1 mix,1.63447846,1.0350373183395216,1.5791493031595645,0.765,0.0,2.856464
mid GO,Long,L. 1-2-1-1 mid-loaded,1.36943322,1.1829869116490648,1.1576063999651796,0.765,0.0,3.546188
mid GO,Long,B. 1-1-1-1-1 full ladder,1.32876997,1.2314178697559408,1.0790569169370212,0.765,0.0,3.666938
mid GO,Long,T. 2-1-1-1 tail (less front),1.56366839,1.160930603881622,1.3469094403849864,0.765,0.0,3.104726
mid GO,Short,A. front-heavy (5@0.618),1.76287518,1.0259389611615142,1.7183041552532183,0.747,0.0,2.35994
mid GO,Short,F. 3-2 split,1.681205108,1.0883258009892165,1.5447627047634955,0.747,0.0,2.6149639999999996
mid GO,Short,G. 3-1-1 mix,1.5443931079999997,1.01710402058502,1.5184219870762998,0.747,0.0,2.856464
mid GO,Short,L. 1-2-1-1 mid-loaded,1.239924236,1.1115947195496136,1.11544631707353,0.747,0.0,3.546188
mid GO,Short,B. 1-1-1-1-1 full ladder,1.178831236,1.14448931815176,1.030006324483394,0.747,0.0,3.666938
mid GO,Short,T. 2-1-1-1 tail (less front),1.4424650719999998,1.119702584643041,1.2882573388538303,0.747,0.0,3.104726
strong GO,Long,A. front-heavy (5@0.618),2.01664736,1.2077944188803944,1.6696942198734441,0.736,0.0,2.74001
strong GO,Long,F. 3-2 split,1.9280249159999998,1.2752506676358535,1.5118791661362574,0.736,0.0,3.027506
strong GO,Long,G. 3-1-1 mix,1.778194666,1.1978900694788919,1.4844389408566958,0.736,0.0,3.299756
strong GO,Long,L. 1-2-1-1 mid-loaded,1.435734172,1.297389436751825,1.1066331598895534,0.736,0.0,4.0773019999999995
strong GO,Long,B. 1-1-1-1-1 full ladder,1.3507425469999998,1.331692577511068,1.0143050804747566,0.736,0.0,4.213426999999999
strong GO,Long,T. 2-1-1-1 tail (less front),1.648891819,1.305065807403796,1.2634549228442256,0.736,0.0,3.5796289999999997
strong GO,Short,A. front-heavy (5@0.618),1.82484666,1.292297475178778,1.4120948891798684,0.666,0.0,2.74001
strong GO,Short,F. 3-2 split,1.734084996,1.333756937055495,1.3001506854976892,0.666,0.0,3.027506
strong GO,Short,G. 3-1-1 mix,1.647784496,1.2928360534139671,1.2745502352357265,0.666,0.0,3.299756
strong GO,Short,L. 1-2-1-1 mid-loaded,1.380432132,1.4150726914218217,0.9755202968498983,0.666,0.0,4.0773019999999995
strong GO,Short,B. 1-1-1-1-1 full ladder,1.329903007,1.4554073009770654,0.91376689268165,0.666,0.0,4.213426999999999
strong GO,Short,T. 2-1-1-1 tail (less front),1.551874539,1.3940472841531661,1.113215137421044,0.666,0.0,3.5796289999999997
