tier,dir,N,m,P_A,ER_A,P_Best,ER_Best,P_Bsat,ER_Bsat
deep STOP,up,430,0.1,0.8023255813953488,0.08023255813953487,1.0,0.08332637979634937,1.0,-0.04167362020365061
deep STOP,up,430,0.15,0.6976744186046512,0.10465116279069768,1.0,0.12498956969452407,1.0,-1.0430305475943023e-05
deep STOP,up,430,0.2,0.6348837209302326,0.1269767441860465,1.0,0.16665275959269873,1.0,0.04165275959269876
deep STOP,up,430,0.25,0.5534883720930233,0.13837209302325582,0.9930232558139535,0.20600342645451386,1.0,0.08331594949087343
deep STOP,up,430,0.3,0.4883720930232558,0.14651162790697675,0.9790697674418605,0.2428125614757097,0.9976744186046511,0.12409809368147674
deep STOP,up,430,0.35,0.413953488372093,0.14488372093023258,0.9372093023255814,0.2693110495361257,0.9953488372093023,0.16498356333881814
deep STOP,up,430,0.4,0.3558139534883721,0.14232558139534882,0.8767441860465116,0.2859899658098977,0.986046511627907,0.20293342528475153
deep STOP,up,430,0.45,0.3023255813953488,0.13604651162790699,0.7767441860465116,0.2796626480263224,0.9697674418604652,0.2369172517266107
deep STOP,up,430,0.5,0.24651162790697675,0.12325581395348838,0.7046511627906977,0.27910139040616694,0.9232558139534883,0.2558726260814101
deep STOP,up,430,0.55,0.1930232558139535,0.10616279069767443,0.6209302325581395,0.26768083329932196,0.8651162790697674,0.269435199881104
deep STOP,up,430,0.6,0.1697674418604651,0.10186046511627907,0.5302325581395348,0.2471788485089302,0.7976744186046512,0.2754324595001739
deep STOP,up,430,0.65,0.13953488372093023,0.09069767441860466,0.45348837209302323,0.2285787454176041,0.727906976744186,0.27368183186422557
deep STOP,up,430,0.7,0.12093023255813953,0.08465116279069765,0.3813953488372093,0.20303532852828055,0.6511627906976745,0.2673354118966935
deep STOP,up,430,0.75,0.10465116279069768,0.07848837209302326,0.3325581395348837,0.18666189398351465,0.5697674418604651,0.2522669244823515
deep STOP,up,430,0.8,0.07441860465116279,0.059534883720930236,0.29069767441860467,0.1741075587466305,0.48604651162790696,0.23074896754804028
deep STOP,up,430,0.85,0.05581395348837209,0.047441860465116274,0.24883720930232558,0.15819738806357167,0.4232558139534884,0.2122488878534965
deep STOP,up,430,0.9,0.046511627906976744,0.04186046511627907,0.22325581395348837,0.1481450014787065,0.35348837209302325,0.1876475698785562
deep STOP,up,430,0.95,0.037209302325581395,0.035348837209302326,0.1930232558139535,0.135660229382536,0.31627906976744186,0.17970730666270582
deep STOP,up,430,1.0,0.03488372093023256,0.03488372093023256,0.16046511627906976,0.11837348534346832,0.2813953488372093,0.16725259720085056
deep STOP,up,430,1.05,0.03255813953488372,0.034186046511627904,0.12790697674418605,0.09796378895725849,0.24883720930232558,0.15700912554433755
deep STOP,up,430,1.1,0.027906976744186046,0.030697674418604652,0.09534883720930233,0.07463202312877222,0.22325581395348837,0.1477697127189971
deep STOP,up,430,1.15,0.023255813953488372,0.026744186046511628,0.07441860465116279,0.0572096103018362,0.17674418604651163,0.11996727892175786
deep STOP,up,430,1.2,0.018604651162790697,0.022325581395348838,0.06744186046511629,0.05332098201730384,0.14186046511627906,0.09894826556836245
deep STOP,up,430,1.25,0.018604651162790697,0.023255813953488372,0.05813953488372093,0.04771742604458732,0.11162790697674418,0.0762131863213757
deep STOP,up,430,1.3,0.018604651162790697,0.02418604651162791,0.046511627906976744,0.039427463191737545,0.09069767441860466,0.0602386810560379
deep STOP,up,430,1.35,0.018604651162790697,0.025116279069767444,0.044186046511627906,0.03890730492290147,0.08139534883720931,0.05810378660524432
deep STOP,up,430,1.4,0.013953488372093023,0.019534883720930228,0.03953488372093023,0.033735986893968534,0.06976744186046512,0.05156055571525995
deep STOP,up,430,1.45,0.013953488372093023,0.02023255813953488,0.030232558139534883,0.025618238818636244,0.06046511627906977,0.04800796533598561
deep STOP,up,430,1.5,0.009302325581395349,0.013953488372093023,0.027906976744186046,0.025119781023687726,0.04883720930232558,0.037574848405126385
deep STOP,dn,430,0.1,0.813953488372093,0.08139534883720928,1.0,0.08332637979634937,1.0,-0.04167362020365061
deep STOP,dn,430,0.15,0.7325581395348837,0.10988372093023255,1.0,0.12498956969452407,1.0,-1.0430305475943023e-05
deep STOP,dn,430,0.2,0.6302325581395349,0.12604651162790695,0.9930232558139535,0.1649326762525282,1.0,0.04165275959269876
deep STOP,dn,430,0.25,0.5627906976744186,0.14069767441860465,0.9744186046511628,0.20126304465900244,1.0,0.08331594949087343
deep STOP,dn,430,0.3,0.4930232558139535,0.14790697674418604,0.9558139534883721,0.23594269533384113,0.9953488372093023,0.12372988227932696
deep STOP,dn,430,0.35,0.42790697674418604,0.14976744186046512,0.9232558139534883,0.2667238511390985,0.986046511627907,0.16205513924596254
deep STOP,dn,430,0.4,0.3627906976744186,0.14511627906976743,0.8534883720930233,0.2784207935339322,0.9674418604651163,0.19726663367701258
deep STOP,dn,430,0.45,0.3116279069767442,0.1402325581395349,0.7906976744186046,0.28964301001306375,0.9558139534883721,0.23233495452586297
deep STOP,dn,430,0.5,0.27209302325581397,0.13604651162790699,0.7325581395348837,0.29896759562472647,0.9232558139534883,0.2589012322941906
deep STOP,dn,430,0.55,0.23488372093023255,0.1291860465116279,0.6697674418604651,0.29990759338048906,0.8744186046511628,0.27868746731802296
deep STOP,dn,430,0.6,0.19767441860465115,0.1186046511627907,0.5906976744186047,0.2882525755789175,0.8209302325581396,0.2915778826063607
deep STOP,dn,430,0.65,0.16744186046511628,0.10883720930232557,0.5,0.2661576849018286,0.7511627906976744,0.29505750662625135
deep STOP,dn,430,0.7,0.14418604651162792,0.10093023255813952,0.43023255813953487,0.24360298470038294,0.686046511627907,0.2956075272644244
deep STOP,dn,430,0.75,0.11395348837209303,0.08546511627906976,0.3581395348837209,0.21491833226439946,0.6255813953488372,0.29291174414739723
deep STOP,dn,430,0.8,0.09767441860465116,0.07813953488372094,0.3116279069767442,0.19783115186602557,0.5302325581395348,0.2694021236075592
deep STOP,dn,430,0.85,0.07674418604651163,0.06523255813953488,0.24651162790697675,0.1625288156562496,0.4418604651162791,0.23481279930312818
deep STOP,dn,430,0.9,0.06046511627906977,0.054418604651162786,0.20930232558139536,0.14450573257322177,0.386046511627907,0.21527549052948453
deep STOP,dn,430,0.95,0.04883720930232558,0.0463953488372093,0.16744186046511628,0.11926458227746492,0.3302325581395349,0.19666120711165758
deep STOP,dn,430,1.0,0.046511627906976744,0.046511627906976744,0.13023255813953488,0.10001060313325982,0.2627906976744186,0.1612990534416842
deep STOP,dn,430,1.05,0.04186046511627907,0.04395348837209302,0.1186046511627907,0.09305657728302529,0.2255813953488372,0.1408426367104968
deep STOP,dn,430,1.1,0.03953488372093023,0.04348837209302326,0.09767441860465116,0.07773996716977412,0.19767441860465115,0.13029146284463647
deep STOP,dn,430,1.15,0.030232558139534883,0.03476744186046511,0.08139534883720931,0.06621707853711381,0.16511627906976745,0.11464663876820536
deep STOP,dn,430,1.2,0.030232558139534883,0.03627906976744186,0.06744186046511629,0.05866179146119732,0.1325581395348837,0.09526855591636763
