tier,dir,def,opt_m,P_at_opt,ER_at_opt
deep STOP,up,A,0.3,0.4883720930232558,0.14651162790697675
deep STOP,up,B-est,0.4,0.8767441860465116,0.2859899658098977
deep STOP,up,B-sat,0.6,0.7976744186046512,0.2754324595001739
deep STOP,dn,A,0.35,0.42790697674418604,0.14976744186046512
deep STOP,dn,B-est,0.55,0.6697674418604651,0.29990759338048906
deep STOP,dn,B-sat,0.7,0.686046511627907,0.2956075272644244
mid STOP,up,A,0.4,0.431438127090301,0.17257525083612044
mid STOP,up,B-est,0.5,0.7558528428093646,0.3303543309249852
mid STOP,up,B-sat,0.6,0.8127090301003345,0.32201869891011875
mid STOP,dn,A,0.35,0.44481605351170567,0.15568561872909698
mid STOP,dn,B-est,0.4,0.8561872909698997,0.30356907385192405
mid STOP,dn,B-sat,0.55,0.8361204013377926,0.30007798615194314
mid GO,up,A,0.45,0.4434389140271493,0.1995475113122172
mid GO,up,B-est,0.45,0.8190045248868778,0.35628768560426943
mid GO,up,B-sat,0.6,0.8009049773755657,0.35622497587885976
mid GO,dn,A,0.3,0.5203619909502263,0.15610859728506787
mid GO,dn,B-est,0.45,0.7782805429864253,0.33275510631279726
mid GO,dn,B-sat,0.6,0.7782805429864253,0.34050721280472906
strong GO,up,A,0.45,0.45222929936305734,0.2035031847133758
strong GO,up,B-est,0.45,0.8184713375796179,0.39817017331087806
strong GO,up,B-sat,0.6,0.7738853503184714,0.39470481386130346
strong GO,dn,A,0.6,0.3184713375796178,0.19108280254777069
strong GO,dn,B-est,0.45,0.7292993630573248,0.3601293634185439
strong GO,dn,B-sat,0.55,0.7993630573248408,0.37217111471976366
