tier,dir,m,B_only,A_only,B_and_A,B_not_A
deep STOP,up,0.618,0.3186046511627907,0.16279069767441862,0.16279069767441862,0.1558139534883721
deep STOP,up,0.75,0.2116279069767442,0.10465116279069768,0.10465116279069768,0.10697674418604651
deep STOP,up,1.0,0.07209302325581396,0.03488372093023256,0.03488372093023256,0.037209302325581395
deep STOP,up,1.2,0.030232558139534883,0.018604651162790697,0.018604651162790697,0.011627906976744186
deep STOP,dn,0.618,0.3395348837209302,0.1883720930232558,0.1883720930232558,0.1511627906976744
deep STOP,dn,0.75,0.2302325581395349,0.11395348837209303,0.11395348837209303,0.11627906976744186
deep STOP,dn,1.0,0.08139534883720931,0.046511627906976744,0.046511627906976744,0.03488372093023256
deep STOP,dn,1.2,0.04186046511627907,0.030232558139534883,0.030232558139534883,0.011627906976744186
mid STOP,up,0.618,0.41471571906354515,0.1939799331103679,0.1939799331103679,0.22073578595317725
mid STOP,up,0.75,0.26421404682274247,0.12040133779264214,0.12040133779264214,0.14381270903010032
mid STOP,up,1.0,0.08695652173913043,0.03678929765886288,0.03678929765886288,0.05016722408026756
mid STOP,up,1.2,0.043478260869565216,0.013377926421404682,0.013377926421404682,0.030100334448160536
mid STOP,dn,0.618,0.3779264214046823,0.19732441471571907,0.19732441471571907,0.1806020066889632
mid STOP,dn,0.75,0.23411371237458195,0.11371237458193979,0.11371237458193979,0.12040133779264214
mid STOP,dn,1.0,0.10033444816053512,0.06354515050167224,0.06354515050167224,0.03678929765886288
mid STOP,dn,1.2,0.06354515050167224,0.043478260869565216,0.043478260869565216,0.020066889632107024
mid GO,up,0.618,0.49321266968325794,0.29411764705882354,0.29411764705882354,0.19909502262443438
mid GO,up,0.75,0.3393665158371041,0.17647058823529413,0.17647058823529413,0.16289592760180996
mid GO,up,1.0,0.13122171945701358,0.058823529411764705,0.058823529411764705,0.07239819004524888
mid GO,up,1.2,0.08144796380090498,0.03619909502262444,0.03619909502262444,0.04524886877828054
mid GO,dn,0.618,0.46153846153846156,0.18552036199095023,0.18552036199095023,0.27601809954751133
mid GO,dn,0.75,0.2986425339366516,0.10407239819004525,0.10407239819004525,0.19457013574660634
mid GO,dn,1.0,0.10407239819004525,0.049773755656108594,0.049773755656108594,0.05429864253393665
mid GO,dn,1.2,0.06787330316742081,0.03619909502262444,0.03619909502262444,0.03167420814479638
strong GO,up,0.618,0.5923566878980892,0.2643312101910828,0.2643312101910828,0.32802547770700635
strong GO,up,0.75,0.40445859872611467,0.17834394904458598,0.17834394904458598,0.22611464968152867
strong GO,up,1.0,0.17197452229299362,0.0732484076433121,0.0732484076433121,0.09872611464968153
strong GO,up,1.2,0.08598726114649681,0.03503184713375796,0.03503184713375796,0.050955414012738856
strong GO,dn,0.618,0.5095541401273885,0.30254777070063693,0.30254777070063693,0.2070063694267516
strong GO,dn,0.75,0.3980891719745223,0.2070063694267516,0.2070063694267516,0.1910828025477707
strong GO,dn,1.0,0.20063694267515925,0.11464968152866242,0.11464968152866242,0.08598726114649681
strong GO,dn,1.2,0.1305732484076433,0.07643312101910828,0.07643312101910828,0.054140127388535034
