tier,def,N,p_0.618,p_0.75,p_1.0,p_1.2
deep STOP,A,430,0.1883720930232558,0.11395348837209303,0.046511627906976744,0.030232558139534883
deep STOP,B,430,0.3395348837209302,0.2302325581395349,0.08139534883720931,0.04186046511627907
deep STOP,C5,430,0.3395348837209302,0.22790697674418606,0.08139534883720931,0.04186046511627907
deep STOP,C10,430,0.3395348837209302,0.22790697674418606,0.08139534883720931,0.04186046511627907
deep STOP,C15,430,0.3372093023255814,0.22790697674418606,0.08139534883720931,0.04186046511627907
mid STOP,A,299,0.19732441471571907,0.11371237458193979,0.06354515050167224,0.043478260869565216
mid STOP,B,299,0.3779264214046823,0.23411371237458195,0.10033444816053512,0.06354515050167224
mid STOP,C5,299,0.3779264214046823,0.23411371237458195,0.10033444816053512,0.06354515050167224
mid STOP,C10,299,0.3745819397993311,0.23411371237458195,0.10033444816053512,0.06354515050167224
mid STOP,C15,299,0.3712374581939799,0.23411371237458195,0.10033444816053512,0.06354515050167224
mid GO,A,221,0.18552036199095023,0.10407239819004525,0.049773755656108594,0.03619909502262444
mid GO,B,221,0.46153846153846156,0.2986425339366516,0.10407239819004525,0.06787330316742081
mid GO,C5,221,0.46153846153846156,0.2986425339366516,0.10407239819004525,0.06787330316742081
mid GO,C10,221,0.46153846153846156,0.2986425339366516,0.10407239819004525,0.06787330316742081
mid GO,C15,221,0.45701357466063347,0.2986425339366516,0.10407239819004525,0.06787330316742081
strong GO,A,314,0.30254777070063693,0.2070063694267516,0.11464968152866242,0.07643312101910828
strong GO,B,314,0.5095541401273885,0.3980891719745223,0.20063694267515925,0.1305732484076433
strong GO,C5,314,0.5095541401273885,0.3980891719745223,0.20063694267515925,0.1305732484076433
strong GO,C10,314,0.5095541401273885,0.3980891719745223,0.20063694267515925,0.1305732484076433
strong GO,C15,314,0.5095541401273885,0.3980891719745223,0.20063694267515925,0.1305732484076433
