tier,def,N,p_0.618,p_0.75,p_1.0,p_1.2
deep STOP,A,430,0.16279069767441862,0.10465116279069768,0.03488372093023256,0.018604651162790697
deep STOP,B,430,0.3186046511627907,0.2116279069767442,0.07209302325581396,0.030232558139534883
deep STOP,C5,430,0.3186046511627907,0.2116279069767442,0.07209302325581396,0.030232558139534883
deep STOP,C10,430,0.3186046511627907,0.2116279069767442,0.07209302325581396,0.030232558139534883
deep STOP,C15,430,0.3186046511627907,0.2116279069767442,0.07209302325581396,0.030232558139534883
mid STOP,A,299,0.1939799331103679,0.12040133779264214,0.03678929765886288,0.013377926421404682
mid STOP,B,299,0.41471571906354515,0.26421404682274247,0.08695652173913043,0.043478260869565216
mid STOP,C5,299,0.41471571906354515,0.26421404682274247,0.08695652173913043,0.043478260869565216
mid STOP,C10,299,0.41471571906354515,0.26421404682274247,0.08695652173913043,0.043478260869565216
mid STOP,C15,299,0.41471571906354515,0.2608695652173913,0.08695652173913043,0.043478260869565216
mid GO,A,221,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.03619909502262444
mid GO,B,221,0.49321266968325794,0.3393665158371041,0.13122171945701358,0.08144796380090498
mid GO,C5,221,0.49321266968325794,0.3393665158371041,0.13122171945701358,0.08144796380090498
mid GO,C10,221,0.49321266968325794,0.3393665158371041,0.13122171945701358,0.08144796380090498
mid GO,C15,221,0.49321266968325794,0.334841628959276,0.13122171945701358,0.08144796380090498
strong GO,A,314,0.2643312101910828,0.17834394904458598,0.0732484076433121,0.03503184713375796
strong GO,B,314,0.5923566878980892,0.40445859872611467,0.17197452229299362,0.08598726114649681
strong GO,C5,314,0.5923566878980892,0.40445859872611467,0.17197452229299362,0.08598726114649681
strong GO,C10,314,0.589171974522293,0.4012738853503185,0.17197452229299362,0.08598726114649681
strong GO,C15,314,0.589171974522293,0.3980891719745223,0.17197452229299362,0.08598726114649681
