tier,def,dir,N,p_0.5,p_0.55,p_0.6,p_0.65,p_0.7,p_0.75,p_0.8
deep STOP,B-old,up,430,0.6186046511627907,0.5558139534883721,0.47441860465116276,0.4186046511627907,0.3744186046511628,0.31627906976744186,0.26976744186046514
deep STOP,B-est,up,430,0.8209302325581396,0.7558139534883721,0.6813953488372093,0.5883720930232558,0.513953488372093,0.46046511627906983,0.3953488372093023
deep STOP,B-sat,up,430,0.9604651162790696,0.9232558139534883,0.8744186046511628,0.827906976744186,0.769767441860465,0.7,0.6139534883720931
mid STOP,B-old,up,294,0.7551020408163265,0.6564625850340136,0.5918367346938775,0.5102040816326531,0.4387755102040816,0.37755102040816324,0.30612244897959184
mid STOP,B-est,up,294,0.8537414965986394,0.7687074829931972,0.7006802721088435,0.6224489795918368,0.5850340136054422,0.5204081632653061,0.445578231292517
mid STOP,B-sat,up,294,0.9625850340136054,0.9455782312925171,0.8945578231292517,0.8401360544217689,0.7482993197278912,0.6768707482993197,0.6258503401360545
mid GO,B-old,up,220,0.8045454545454546,0.7318181818181819,0.6818181818181818,0.6045454545454545,0.5409090909090909,0.4636363636363636,0.38636363636363635
mid GO,B-est,up,220,0.8272727272727274,0.7681818181818181,0.7181818181818181,0.6363636363636364,0.5863636363636363,0.5045454545454545,0.45
mid GO,B-sat,up,220,0.9590909090909091,0.9318181818181818,0.8727272727272727,0.8227272727272728,0.740909090909091,0.6636363636363637,0.6136363636363636
strong GO,B-old,up,314,0.8535031847133758,0.7993630573248409,0.7484076433121019,0.678343949044586,0.60828025477707,0.5509554140127388,0.5
strong GO,B-est,up,314,0.8248407643312102,0.7484076433121019,0.678343949044586,0.6242038216560509,0.5414012738853503,0.4745222929936305,0.40445859872611467
strong GO,B-sat,up,314,0.9331210191082804,0.8853503184713376,0.8535031847133758,0.7866242038216561,0.7292993630573248,0.6592356687898089,0.5987261146496815
deep STOP,B-old,dn,430,0.6255813953488372,0.5627906976744186,0.5046511627906977,0.42790697674418604,0.3813953488372093,0.3302325581395349,0.27674418604651163
deep STOP,B-est,dn,430,0.8232558139534883,0.7720930232558139,0.7139534883720929,0.6441860465116279,0.5813953488372093,0.5023255813953489,0.44651162790697674
deep STOP,B-sat,dn,430,0.9604651162790696,0.9348837209302325,0.8767441860465116,0.8255813953488372,0.7837209302325582,0.7325581395348837,0.6651162790697674
mid STOP,B-old,dn,294,0.673469387755102,0.6054421768707483,0.5476190476190477,0.4625850340136054,0.41836734693877553,0.36054421768707484,0.3197278911564626
mid STOP,B-est,dn,294,0.7925170068027211,0.7006802721088435,0.6462585034013606,0.5884353741496599,0.5340136054421769,0.48639455782312924,0.40816326530612246
mid STOP,B-sat,dn,294,0.9421768707482994,0.9047619047619048,0.8299319727891157,0.7823129251700681,0.7142857142857143,0.6632653061224489,0.5850340136054422
mid GO,B-old,dn,220,0.7363636363636362,0.6863636363636364,0.6090909090909091,0.5409090909090909,0.49090909090909096,0.43636363636363634,0.35
mid GO,B-est,dn,220,0.7909090909090909,0.7227272727272728,0.6545454545454545,0.5954545454545455,0.5,0.4681818181818182,0.40454545454545454
mid GO,B-sat,dn,220,0.9,0.8636363636363636,0.8318181818181817,0.7681818181818181,0.6954545454545454,0.6272727272727273,0.5772727272727273
strong GO,B-old,dn,314,0.7834394904458599,0.7038216560509554,0.6178343949044586,0.589171974522293,0.5414012738853503,0.49363057324840764,0.45859872611464975
strong GO,B-est,dn,314,0.7452229299363057,0.6847133757961782,0.6146496815286624,0.554140127388535,0.4904458598726114,0.4267515923566879,0.3853503184713376
strong GO,B-sat,dn,314,0.894904458598726,0.8535031847133758,0.7866242038216561,0.7261146496815286,0.6369426751592356,0.5859872611464968,0.535031847133758
