date,tier,year,ema_hl,Bold_up_0.618,Bold_dn_0.618,Best_up_0.618,Best_dn_0.618,Bsat_up_0.618,Bsat_dn_0.618,Bold_up_0.75,Bold_dn_0.75,Best_up_0.75,Best_dn_0.75,Bsat_up_0.75,Bsat_dn_0.75,Bold_up_0.875,Bold_dn_0.875,Best_up_0.875,Best_dn_0.875,Bsat_up_0.875,Bsat_dn_0.875,Bold_up_1.0,Bold_dn_1.0,Best_up_1.0,Best_dn_1.0,Bsat_up_1.0,Bsat_dn_1.0,Bold_up_1.2,Bold_dn_1.2,Best_up_1.2,Best_dn_1.2,Bsat_up_1.2,Bsat_dn_1.2
2021-01-04,mid STOP,2021,108.0,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2021-01-05,strong GO,2021,125.33333333333333,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
2021-01-06,strong GO,2021,127.1111111111111,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True
2021-01-07,strong GO,2021,150.8148148148148,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2021-01-08,strong GO,2021,158.92768959435625,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,False,False,False,False,False
2021-01-11,strong GO,2021,163.6964810615604,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False
2021-01-12,mid GO,2021,164.20157810331656,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False
2021-01-13,deep STOP,2021,167.42047542681024,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
2021-01-14,strong GO,2021,173.8566206242569,True,False,True,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-01-15,strong GO,2021,170.06075199337528,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
2021-01-18,strong GO,2021,193.6740137082919,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True
2021-01-19,deep STOP,2021,208.75267906940695,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
2021-01-20,deep STOP,2021,211.34766201517772,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,False,False,True,False,True
2021-01-22,deep STOP,2021,232.16894781741303,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-01-25,strong GO,2021,225.01000040623086,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True
2021-01-26,strong GO,2021,230.72333370087554,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,False,True
2021-01-27,mid STOP,2021,250.36873049126834,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False
2021-01-28,strong GO,2021,248.33361330162373,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2021-01-29,strong GO,2021,245.53993584432624,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
2021-02-01,mid GO,2021,267.48851338296186,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
2021-02-02,mid STOP,2021,271.34675020363215,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
2021-02-03,mid STOP,2021,279.8851549461434,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2021-02-04,mid STOP,2021,268.37228304651074,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
2021-02-05,deep STOP,2021,265.1939703754145,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True
2021-02-17,deep STOP,2021,262.1278779587083,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True
2021-02-19,mid STOP,2021,259.1296234537272,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True
2021-02-22,mid GO,2021,253.30775455337226,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False
2021-02-23,mid GO,2021,250.89749221495586,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False
2021-02-24,strong GO,2021,252.62154057543626,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,False,False,True,True,True
2021-02-25,strong GO,2021,257.32425099682325,False,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2021-02-26,strong GO,2021,249.86479852093532,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False
2021-03-02,strong GO,2021,251.40148437608434,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
2021-03-03,deep STOP,2021,266.41086681645726,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,False,False,True,False,True,False
2021-03-04,strong GO,2021,270.6574509291756,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,False,False,False,False,True
2021-03-05,strong GO,2021,274.4043603644922,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2021-03-08,mid GO,2021,281.03251652025483,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,True
2021-03-09,mid GO,2021,285.50561018499246,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2021-03-10,mid GO,2021,281.1717425483265,False,True,False,True,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2021-03-11,deep STOP,2021,271.3458623056287,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
2021-03-12,deep STOP,2021,271.40816113366407,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2021-03-15,deep STOP,2021,258.22643150188657,False,False,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2021-03-16,deep STOP,2021,243.8239142159926,False,False,True,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
2021-03-17,deep STOP,2021,233.45973190970759,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True
2021-03-19,strong GO,2021,223.42622045216424,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-03-22,mid STOP,2021,217.09991374243432,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,False,True,False
2021-03-23,mid STOP,2021,221.47135052886915,False,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2021-03-24,deep STOP,2021,216.9502695261197,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-03-25,mid GO,2021,208.00262480934643,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
2021-03-26,deep STOP,2021,209.14523197036107,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
2021-03-29,mid GO,2021,209.41711463985047,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-03-30,deep STOP,2021,202.32977038843615,False,False,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False
2021-03-31,deep STOP,2021,193.82217320858507,False,True,False,True,True,True,False,True,False,True,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
2021-04-01,mid STOP,2021,189.26768052205315,False,True,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False
2021-04-06,mid STOP,2021,184.09932999614333,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
2021-04-07,deep STOP,2021,180.18510809174873,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False
2021-04-08,deep STOP,2021,173.97700255920125,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False
2021-04-09,deep STOP,2021,180.55062136308683,False,True,False,True,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
2021-04-12,deep STOP,2021,178.68865742374524,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,False,False,True,False,True
