tier,def,dir,N,p_0.618,p_0.75,p_0.875,p_1.0,p_1.2
deep STOP,B-old,up,430,0.5186046511627908,0.3674418604651163,0.25813953488372093,0.1883720930232558,0.08372093023255815
deep STOP,B-est,up,430,0.686046511627907,0.5023255813953489,0.37906976744186044,0.27906976744186046,0.16279069767441862
deep STOP,B-sat,up,430,0.8697674418604651,0.7395348837209302,0.5395348837209303,0.42093023255813955,0.24651162790697675
mid STOP,B-old,up,294,0.5986394557823129,0.41836734693877553,0.282312925170068,0.20748299319727892,0.09523809523809523
mid STOP,B-est,up,294,0.7210884353741497,0.564625850340136,0.38095238095238093,0.24149659863945577,0.1326530612244898
mid STOP,B-sat,up,294,0.8945578231292517,0.7278911564625851,0.6020408163265306,0.39795918367346933,0.22108843537414966
mid GO,B-old,up,220,0.7045454545454546,0.509090909090909,0.3363636363636363,0.2318181818181818,0.14545454545454545
mid GO,B-est,up,220,0.7045454545454546,0.5545454545454546,0.4090909090909091,0.25,0.1409090909090909
mid GO,B-sat,up,220,0.8545454545454545,0.6909090909090909,0.5681818181818182,0.41818181818181815,0.21363636363636362
strong GO,B-old,up,314,0.7547770700636943,0.589171974522293,0.4426751592356688,0.3184713375796178,0.18789808917197454
strong GO,B-est,up,314,0.7165605095541401,0.5095541401273885,0.3694267515923567,0.25477707006369427,0.10509554140127389
strong GO,B-sat,up,314,0.8503184713375797,0.7006369426751591,0.4968152866242038,0.37579617834394907,0.2070063694267516
deep STOP,B-old,dn,430,0.5093023255813953,0.3744186046511628,0.24651162790697675,0.1674418604651163,0.1
deep STOP,B-est,dn,430,0.7279069767441861,0.5511627906976744,0.3883720930232558,0.2534883720930233,0.1325581395348837
deep STOP,B-sat,dn,430,0.8976744186046511,0.7604651162790698,0.5976744186046512,0.4255813953488372,0.23488372093023255
mid STOP,B-old,dn,294,0.5510204081632653,0.40476190476190477,0.30952380952380953,0.22448979591836735,0.14285714285714285
mid STOP,B-est,dn,294,0.6598639455782311,0.5068027210884354,0.36394557823129253,0.282312925170068,0.19387755102040816
mid STOP,B-sat,dn,294,0.8401360544217689,0.6904761904761905,0.5408163265306123,0.39455782312925164,0.2653061224489796
mid GO,B-old,dn,220,0.6136363636363636,0.4772727272727273,0.3090909090909091,0.20454545454545456,0.11363636363636363
mid GO,B-est,dn,220,0.6590909090909091,0.5181818181818182,0.31363636363636366,0.21818181818181817,0.10909090909090909
mid GO,B-sat,dn,220,0.8363636363636363,0.6681818181818183,0.509090909090909,0.3181818181818182,0.17727272727272728
strong GO,B-old,dn,314,0.6496815286624203,0.5286624203821656,0.43312101910828027,0.3375796178343949,0.22929936305732487
strong GO,B-est,dn,314,0.6337579617834395,0.4713375796178344,0.3630573248407643,0.27070063694267515,0.18789808917197454
strong GO,B-sat,dn,314,0.7802547770700637,0.6305732484076433,0.4681528662420382,0.3630573248407643,0.2356687898089172
