tier,def,dir,N,p_0.618,p_0.75,p_0.875,p_1.0,p_1.2
deep STOP,B-old,up,430,0.3186046511627907,0.21162790697674422,0.13023255813953488,0.07209302325581396,0.030232558139534883
deep STOP,B-est,up,430,0.5046511627906977,0.3325581395348837,0.23953488372093024,0.16046511627906976,0.06744186046511629
deep STOP,B-sat,up,430,0.7651162790697674,0.5697674418604651,0.39302325581395353,0.2813953488372093,0.14186046511627906
mid STOP,B-old,up,299,0.4147157190635451,0.26421404682274247,0.14046822742474915,0.08695652173913043,0.043478260869565216
mid STOP,B-est,up,299,0.568561872909699,0.3979933110367893,0.2508361204013378,0.13712374581939799,0.05351170568561873
mid STOP,B-sat,up,299,0.7725752508361203,0.5886287625418061,0.44816053511705684,0.26421404682274247,0.12374581939799331
mid GO,B-old,up,221,0.49321266968325794,0.3393665158371041,0.2171945701357466,0.13122171945701358,0.08144796380090497
mid GO,B-est,up,221,0.5339366515837104,0.39366515837104077,0.26244343891402716,0.14027149321266968,0.0588235294117647
mid GO,B-sat,up,221,0.7647058823529411,0.5520361990950227,0.40271493212669685,0.26244343891402716,0.12217194570135746
strong GO,B-old,up,314,0.5923566878980892,0.40445859872611467,0.267515923566879,0.17197452229299362,0.08598726114649681
strong GO,B-est,up,314,0.5382165605095541,0.33121019108280253,0.21019108280254778,0.1178343949044586,0.041401273885350316
strong GO,B-sat,up,314,0.7356687898089171,0.5191082802547771,0.33121019108280253,0.21656050955414013,0.08917197452229299
deep STOP,B-old,dn,430,0.3395348837209302,0.23023255813953492,0.14418604651162792,0.08139534883720931,0.041860465116279076
deep STOP,B-est,dn,430,0.5581395348837209,0.3581395348837209,0.22790697674418606,0.13023255813953488,0.06744186046511629
deep STOP,B-sat,dn,430,0.8,0.6255813953488372,0.40930232558139534,0.2627906976744186,0.1325581395348837
mid STOP,B-old,dn,299,0.3779264214046823,0.23411371237458195,0.16387959866220736,0.10033444816053512,0.06354515050167224
mid STOP,B-est,dn,299,0.5150501672240803,0.35451505016722407,0.21739130434782608,0.1505016722408027,0.09364548494983277
mid STOP,B-sat,dn,299,0.7090301003344481,0.5618729096989966,0.41137123745819404,0.2408026755852843,0.14381270903010032
mid GO,B-old,dn,221,0.4615384615384615,0.2986425339366516,0.1583710407239819,0.10407239819004525,0.06787330316742081
mid GO,B-est,dn,221,0.5113122171945701,0.3393665158371041,0.19004524886877827,0.09502262443438914,0.05429864253393665
mid GO,B-sat,dn,221,0.746606334841629,0.5203619909502263,0.34841628959276016,0.2081447963800905,0.08597285067873303
strong GO,B-old,dn,314,0.5095541401273885,0.3980891719745223,0.27388535031847133,0.20063694267515925,0.1305732484076433
strong GO,B-est,dn,314,0.47770700636942676,0.3248407643312102,0.23248407643312102,0.1305732484076433,0.08598726114649681
strong GO,B-sat,dn,314,0.6656050955414012,0.46178343949044587,0.3248407643312102,0.24203821656050956,0.12101910828025478
