d,e,uL3,uL4,uL5,cont,mae_pct,reg
2021-02-01,267.4885133829618,1,1,0,1,-0.02990782631681251,升壓
2021-02-02,271.3467502036321,1,1,1,1,-0.08476239344211661,升壓
2021-02-04,268.37228304651063,1,0,0,0,-0.5402942448228552,升壓
2021-02-05,265.1939703754144,1,0,0,0,-0.7541649597721835,降壓
2021-02-17,262.12787795870827,1,0,0,0,-0.5226456684686585,降壓
2021-02-18,261.3537943435932,1,0,0,0,-0.8762069078627619,降壓
2021-02-19,259.1296234537272,1,0,0,0,-0.06560423225033432,降壓
2021-02-23,250.89749221495583,1,1,0,1,-0.4184976066243081,降壓
2021-02-26,249.86479852093532,1,0,0,0,-0.6683614538284297,降壓
2021-03-03,266.41086681645726,1,1,0,1,-0.060057610228876804,升壓
2021-03-04,270.65745092917564,1,0,0,0,-0.26232420262680645,降壓
2021-03-05,274.4043603644922,1,1,1,1,-0.3389158972418215,升壓
2021-03-08,281.0325165202549,1,0,0,0,-1.1137501235642286,升壓
2021-03-09,285.5056101849925,1,0,0,0,-0.3047225584941347,升壓
2021-03-11,271.34586230562877,1,1,0,1,-0.16215467457705646,降壓
2021-03-22,217.09991374243435,1,1,0,1,0.0,降壓
2021-03-25,208.00262480934643,1,1,0,1,0.0,降壓
2021-03-26,209.14523197036107,1,1,0,1,-0.1099714288646056,降壓
2021-04-06,184.09932999614335,1,0,0,0,-0.6137990833663935,降壓
2021-04-08,173.97700255920125,1,1,1,1,-0.35062105394787907,降壓
2021-04-13,181.19449957386476,1,0,0,0,-1.4625168016867507,降壓
2021-04-14,189.27121390016336,1,1,1,1,-0.2113369443548831,降壓
2021-04-15,202.19776495729064,1,1,0,1,-0.18298916413747376,升壓
2021-04-16,204.08369210421534,1,0,0,0,-0.1469985165923032,升壓
2021-04-19,200.83762618952818,1,0,0,0,-0.20912416063096204,升壓
2021-04-23,197.2646082786776,1,1,0,1,-0.380199979380218,升壓
2021-04-26,199.3346455854702,1,1,0,1,-0.11036716640694001,升壓
2021-05-03,181.50967111102918,1,0,0,0,-0.8429302916119006,升壓
2021-05-04,193.55636910045496,1,1,1,1,-0.27382204081588873,升壓
2021-05-05,236.17004823374495,1,0,0,0,-1.088198956311509,升壓
2021-05-06,238.82051983053114,1,1,0,1,-1.3441056079594167,升壓
2021-05-07,252.3614227038139,1,0,0,0,-0.08321398641283943,升壓
2021-05-11,244.79925985504946,1,0,0,0,-1.6707566854661942,降壓
2021-05-12,273.38980653552096,1,1,1,1,-0.23409797465028973,升壓
2021-05-13,390.5907773416618,1,1,1,1,-0.14337256087082434,升壓
2021-05-17,410.1888222683445,1,1,1,1,-0.299861900965048,升壓
2021-05-18,431.98036300469266,1,1,1,1,-0.03009396054389347,升壓
2021-05-24,414.27080736490734,1,0,0,0,-0.2800100753848732,升壓
2021-05-27,362.43229324218765,1,1,0,1,0.0,降壓
2021-06-07,275.6464025685854,1,1,1,1,-0.18864748284556893,降壓
2021-06-16,240.00945363169413,1,1,1,1,0.0,降壓
2021-06-17,251.9133151905804,1,1,0,1,-0.09527086721018792,降壓
2021-06-23,236.94749178043938,1,1,0,1,-0.22789859303527701,降壓
2021-06-28,225.18506058978875,1,0,0,0,-0.204276428816015,降壓
2021-06-30,214.67529903155042,1,0,0,0,-0.2375680864546257,升壓
2021-07-05,205.08561451867018,1,0,0,0,-0.3998330170180466,降壓
2021-07-08,193.9561850754302,1,0,0,0,-0.21138794818043552,升壓
2021-07-09,194.81750078253208,1,0,0,0,-0.5030348896087828,升壓
2021-07-15,192.14495770527898,1,0,0,0,-0.16654093025476688,升壓
2021-07-16,190.7978188762048,1,0,0,0,-0.288263253342983,降壓
2021-07-19,187.4837408879948,1,0,0,0,-0.11734350880668144,降壓
2021-07-28,203.8609837459275,1,1,1,1,-0.35318185303046407,升壓
2021-07-29,222.82660434155346,1,1,0,1,-0.09873147807017658,升壓
2021-08-02,221.62903439297236,1,1,1,1,-0.18499381235087883,升壓
2021-08-09,198.4152474268889,1,1,0,1,-0.2066373453235114,降壓
