date,side,ordinal,day_side_total,group,entry_min,entry,anchor,depth_frac,risk_pts,ema20,mfe_pts,mfe_L,mae_close_pts,mae_close_L,reach_L3,reach_L4,reach_L5,mae_before_L3,vwap_flip_before,dci_side,dci_regime
2021-01-29,short,1,1,A_1st_single,606,15411.0,15539.0,0.197,100,245.5,348.0,1.417,19.0,0.077,1,1,1,19.0,1,-0.789,strong
2021-02-01,long,1,1,A_1st_single,591,15232.0,15090.0,0.331,114,267.5,166.0,0.621,78.0,0.292,1,1,0,78.0,1,0.349,strong
2021-02-03,short,1,1,A_1st_single,566,15745.0,15875.0,0.208,101,279.9,29.0,0.104,90.0,0.322,0,0,0,,0,-0.022,mid
2021-02-04,short,1,2,B_1st_multi,554,15564.0,15726.0,0.487,137,268.4,22.0,0.082,213.0,0.794,0,0,0,,0,0.017,mid
2021-02-04,long,1,1,A_1st_single,579,15665.0,15542.0,0.232,95,268.4,112.0,0.417,40.0,0.149,1,0,0,16.0,1,0.051,mid
2021-02-04,short,2,2,C_2nd+,714,15669.0,15777.0,0.405,85,268.4,44.0,0.164,35.0,0.13,0,0,0,,1,0.017,mid
2021-02-05,long,1,1,A_1st_single,602,15919.0,15751.0,0.577,140,265.2,65.0,0.245,155.0,0.584,1,0,0,16.0,1,0.025,mid
2021-02-17,long,1,1,A_1st_single,614,16332.0,16186.0,0.376,118,262.1,101.0,0.385,22.0,0.084,1,0,0,14.0,1,0.311,strong
2021-02-18,short,1,1,A_1st_single,691,16380.0,16525.0,0.239,116,261.4,90.0,0.344,42.0,0.161,1,0,0,24.0,1,0.41,weak
2021-02-18,long,1,1,A_1st_single,810,16404.0,16290.0,0.216,88,261.4,4.0,0.015,25.0,0.096,0,0,0,,1,0.362,strong
2021-02-19,short,1,1,A_1st_single,594,16240.0,16328.0,0.559,73,259.1,110.0,0.424,83.0,0.32,1,0,0,28.0,1,0.017,mid
2021-02-19,long,1,1,A_1st_single,743,16256.0,16130.0,0.155,98,259.1,67.0,0.259,0.0,0.0,1,0,0,0.0,1,-0.052,mid
2021-02-22,long,1,1,A_1st_single,569,16514.0,16416.0,0.755,85,253.3,24.0,0.095,178.0,0.703,0,0,0,,1,-0.067,mid
2021-02-22,short,1,1,A_1st_single,594,16432.0,16564.0,0.294,106,253.3,96.0,0.379,33.0,0.13,1,0,0,33.0,1,0.074,mid
2021-02-23,long,1,1,A_1st_single,585,16339.0,16182.0,0.409,128,250.9,112.0,0.446,47.0,0.187,1,1,0,47.0,1,0.536,strong
2021-02-24,long,1,1,A_1st_single,564,16407.0,16281.0,0.223,101,252.6,28.0,0.111,274.0,1.085,0,0,0,,1,-0.392,weak
2021-02-24,short,1,1,A_1st_single,649,16303.0,16435.0,0.143,103,252.6,170.0,0.673,20.0,0.079,1,1,0,20.0,1,-0.377,strong
2021-02-25,short,1,1,A_1st_single,598,16288.0,16422.0,0.219,104,257.3,45.0,0.175,110.0,0.427,0,0,0,,1,0.118,weak
2021-02-25,long,1,1,A_1st_single,795,16353.0,16243.0,0.336,85,257.3,45.0,0.175,7.0,0.027,0,0,0,,1,0.079,mid
2021-02-26,long,1,1,A_1st_single,598,15968.0,15852.0,0.467,94,249.9,86.0,0.344,90.0,0.36,1,0,0,30.0,1,-0.559,weak
2021-02-26,short,1,1,A_1st_single,750,15944.0,16054.0,0.475,89,249.9,66.0,0.264,15.0,0.06,0,0,0,,1,-0.508,strong
2021-03-02,short,1,1,A_1st_single,568,16175.0,16277.0,0.336,81,251.4,307.0,1.221,15.0,0.06,1,1,1,15.0,0,-0.61,strong
2021-03-03,short,1,1,A_1st_single,568,15903.0,16030.0,0.257,100,266.4,18.0,0.068,293.0,1.1,0,0,0,,1,0.367,weak
2021-03-03,long,1,1,A_1st_single,653,16062.0,15885.0,0.219,138,266.4,134.0,0.503,14.0,0.053,1,1,0,14.0,1,0.369,strong
