d,year,gate,day_ret,pl
2021-05-10,2021,True,-141.0,-141.0
2021-05-11,2021,True,-412.0,-412.0
2021-05-12,2021,False,-811.0,0.0
2021-05-13,2021,False,28.0,0.0
2021-05-14,2021,False,-28.0,0.0
2021-05-17,2021,False,80.0,0.0
2021-05-18,2021,False,584.0,0.0
2021-05-19,2021,False,16.0,0.0
2021-05-20,2021,False,-97.0,0.0
2021-05-21,2021,False,35.0,0.0
2021-05-24,2021,False,215.0,0.0
2021-05-25,2021,False,122.0,0.0
2021-05-26,2021,True,0.0,0.0
2021-05-27,2021,True,-59.0,-59.0
2021-05-28,2021,True,132.0,132.0
2021-05-31,2021,True,122.0,122.0
2021-06-01,2021,True,80.0,80.0
2021-06-02,2021,True,-73.0,-73.0
2021-06-03,2021,True,-23.0,-23.0
2021-06-04,2021,True,49.0,49.0
2021-06-07,2021,True,-122.0,-122.0
2021-06-08,2021,True,-100.0,-100.0
2021-06-09,2021,True,-34.0,-34.0
2021-06-10,2021,True,124.0,124.0
2021-06-11,2021,True,30.0,30.0
2021-06-15,2021,True,76.0,76.0
2021-06-16,2021,True,21.0,21.0
2021-06-17,2021,True,227.0,227.0
2021-06-18,2021,True,-63.0,-63.0
2021-06-21,2021,True,-86.0,-86.0
2021-06-22,2021,True,-127.0,-127.0
2021-06-23,2021,True,172.0,172.0
2021-06-24,2021,True,38.0,38.0
2021-06-25,2021,True,-19.0,-19.0
2021-06-28,2021,True,51.0,51.0
2021-06-29,2021,True,-66.0,-66.0
2021-06-30,2021,True,105.0,105.0
2021-07-01,2021,True,-32.0,-32.0
2021-07-02,2021,True,2.0,2.0
2021-07-05,2021,True,143.0,143.0
2021-07-06,2021,True,-78.0,-78.0
2021-07-07,2021,True,9.0,9.0
2021-07-08,2021,True,-51.0,-51.0
2021-07-09,2021,True,-4.0,-4.0
2021-07-12,2021,True,-24.0,-24.0
2021-07-13,2021,True,-89.0,-89.0
2021-07-14,2021,True,28.0,28.0
2021-07-15,2021,True,103.0,103.0
2021-07-16,2021,True,99.0,99.0
2021-07-19,2021,True,77.0,77.0
2021-07-20,2021,True,-122.0,-122.0
2021-07-21,2021,True,-225.0,-225.0
2021-07-22,2021,True,-34.0,-34.0
2021-07-23,2021,True,-79.0,-79.0
2021-07-26,2021,True,-271.0,-271.0
2021-07-27,2021,True,-149.0,-149.0
2021-07-28,2021,True,-97.0,-97.0
2021-07-29,2021,True,195.0,195.0
2021-07-30,2021,True,-112.0,-112.0
2021-08-02,2021,True,157.0,157.0
2021-08-03,2021,True,58.0,58.0
2021-08-04,2021,True,80.0,80.0
2021-08-05,2021,True,-28.0,-28.0
2021-08-06,2021,True,-118.0,-118.0
2021-08-09,2021,True,-34.0,-34.0
2021-08-10,2021,True,-97.0,-97.0
2021-08-11,2021,True,-46.0,-46.0
2021-08-12,2021,True,-50.0,-50.0
2021-08-13,2021,False,-251.0,0.0
2021-08-16,2021,False,-57.0,0.0
2021-08-17,2021,False,-270.0,0.0
2021-08-18,2021,False,344.0,0.0
2021-08-19,2021,False,-282.0,0.0
2021-08-20,2021,False,-104.0,0.0
2021-08-23,2021,False,257.0,0.0
2021-08-24,2021,False,-38.0,0.0
2021-08-25,2021,False,169.0,0.0
2021-08-26,2021,False,-108.0,0.0
2021-08-27,2021,False,230.0,0.0
2021-08-30,2021,True,90.0,90.0
2021-08-31,2021,True,181.0,181.0
2021-09-01,2021,True,68.0,68.0
2021-09-02,2021,True,-114.0,-114.0
2021-09-03,2021,True,67.0,67.0
2021-09-06,2021,True,56.0,56.0
2021-09-07,2021,True,-100.0,-100.0
2021-09-08,2021,True,-133.0,-133.0
2021-09-09,2021,False,93.0,0.0
2021-09-10,2021,True,173.0,173.0
2021-09-13,2021,True,8.0,8.0
2021-09-14,2021,True,-80.0,-80.0
2021-09-15,2021,True,-21.0,-21.0
2021-09-16,2021,True,-89.0,-89.0
2021-09-17,2021,True,42.0,42.0
2021-09-22,2021,False,65.0,0.0
2021-09-23,2021,False,60.0,0.0
2021-09-24,2021,False,59.0,0.0
2021-09-27,2021,True,45.0,45.0
2021-09-28,2021,False,-12.0,0.0
2021-09-29,2021,False,-103.0,0.0
2021-09-30,2021,False,114.0,0.0
2021-10-01,2021,False,-283.0,0.0
2021-10-04,2021,False,-230.0,0.0
2021-10-05,2021,False,158.0,0.0
2021-10-06,2021,False,-111.0,0.0
2021-10-07,2021,False,185.0,0.0
2021-10-08,2021,False,-113.0,0.0
2021-10-12,2021,False,-67.0,0.0
2021-10-13,2021,False,-202.0,0.0
2021-10-14,2021,False,-91.0,0.0
2021-10-15,2021,False,128.0,0.0
2021-10-18,2021,False,-75.0,0.0
2021-10-19,2021,False,92.0,0.0
2021-10-20,2021,False,-91.0,0.0
2021-10-21,2021,False,-66.0,0.0
2021-10-22,2021,False,-23.0,0.0
2021-10-25,2021,False,100.0,0.0
2021-10-26,2021,False,73.0,0.0
