trade_date,day_high,day_low,day_volume,day_range,night_high,night_low,night_volume,night_bars,night_range,day_range_ema20,day_range_norm,night_range_ema20,night_range_norm,year
2021-02-23,16451.0,16182.0,272430,269.0,16392.0,16242.0,99446,840,150.0,244.75956379095265,1.0990377488568779,160.00385449989196,0.9374774155837683,2021
2021-02-24,16435.0,16133.0,357928,302.0,16423.0,16203.0,139754,840,220.0,250.21103390610003,1.2069811442181861,165.71777311894988,1.3275582688531973,2021
2021-02-25,16422.0,16243.0,267814,179.0,16332.0,16139.0,126680,840,193.0,243.42903067694763,0.7353272512412425,168.31608044095466,1.1466521766332627,2021
2021-02-26,16118.0,15852.0,394918,266.0,16397.0,16098.0,130210,840,299.0,245.57864680295262,1.083156062071769,180.7621680180066,1.6541071800500597,2021
2021-03-03,16196.0,15885.0,303840,311.0,16033.0,15905.0,108756,840,128.0,251.80925186933808,1.2350618481698026,175.73719963533932,0.7283603031435824,2021
2021-03-04,16066.0,15756.0,396908,310.0,16255.0,16000.0,143014,840,255.0,257.35122788178205,1.2045794479069007,183.28603776530701,1.3912680044211596,2021
2021-03-05,15914.0,15570.0,336104,344.0,15998.0,15610.0,213982,840,388.0,265.6034918930409,1.2951636951314238,202.78260559718254,1.913379102992406,2021
2021-03-09,15848.0,15608.0,341338,240.0,15958.0,15746.0,144498,840,212.0,263.1650640937037,0.9119751545537389,203.66045268316515,1.0409482901906768,2021
2021-03-10,15986.0,15808.0,271002,178.0,15997.0,15768.0,110438,840,229.0,255.05410560858905,0.6978911379421676,206.07374290381608,1.111252684466864,2021
2021-03-11,16214.0,15942.0,268166,272.0,16010.0,15868.0,119224,840,142.0,256.66800031253297,1.0597347533342605,199.97148167488123,0.7101012544922143,2021
2021-03-12,16288.0,16155.0,222760,133.0,16273.0,16162.0,82772,840,111.0,244.89009552086316,0.5431007722754929,191.49800722965446,0.579640496555575,2021
2021-03-16,16348.0,16213.0,217978,135.0,16268.0,16151.0,61456,840,117.0,234.4243721379238,0.5758786885886278,184.40295892206834,0.6344800576082192,2021
2021-03-17,16336.0,16161.0,141550,175.0,16361.0,16284.0,51742,840,77.0,228.7649081247882,0.764977467193263,174.17410569139517,0.4420863807185552,2021
2021-03-19,16110.0,15953.0,299314,157.0,16265.0,16050.0,106422,840,215.0,221.93015497004646,0.7074297768196036,178.0622861017385,1.2074426578863342,2021
2021-03-23,16277.0,16103.0,233726,174.0,16242.0,16090.0,78400,840,152.0,217.36537830623251,0.8004954669223461,175.58016361585862,0.8657014372793942,2021
2021-03-24,16062.0,15939.0,263262,123.0,16146.0,16025.0,65248,840,121.0,208.37819941992467,0.5902728804759938,170.38205279530067,0.7101686945007704,2021
2021-03-25,16090.0,15870.0,272514,220.0,16040.0,15857.0,87086,840,183.0,209.48503757040802,1.0501943363189263,171.58376205289107,1.0665344891062,2021
2021-03-26,16293.0,16081.0,247374,212.0,16078.0,15975.0,93942,840,103.0,209.72455780179774,1.0108496697861806,165.05197519071098,0.6240458490786772,2021
2021-03-30,16531.0,16418.0,201522,113.0,16499.0,16413.0,70392,840,86.0,200.51269515400747,0.5635553395420089,157.5232156487385,0.5459512722986284,2021
2021-03-31,16549.0,16403.0,207430,146.0,16567.0,16515.0,58846,840,52.0,195.32100990124485,0.747487431453576,147.4733855869539,0.3526059959431767,2021
2021-04-01,16587.0,16452.0,229620,135.0,16543.0,16413.0,55534,840,130.0,189.576151815412,0.7121148873801799,145.80925362629162,0.8915757866314119,2021
2021-04-07,16788.0,16673.0,185990,115.0,16795.0,16715.0,46144,840,80.0,182.47366116632514,0.630227942295613,139.5417056618829,0.5733053041063173,2021
2021-04-08,16930.0,16687.0,222300,243.0,16773.0,16703.0,45640,840,70.0,188.2380743885799,1.2909184328903358,132.9186860750369,0.5266377667958795,2021
2021-04-09,16971.0,16810.0,205176,161.0,16977.0,16906.0,48530,840,71.0,185.643972065858,0.8672514286802943,127.02166835360482,0.5589597500982992,2021
2021-04-13,17046.0,16780.0,299918,266.0,16899.0,16801.0,51412,840,98.0,193.29692710720485,1.3761212036882156,124.25769993897579,0.788683518591836,2021
2021-04-14,16917.0,16592.0,369630,325.0,16875.0,16784.0,57908,840,91.0,205.84007690651868,1.578895640170195,121.09029994478762,0.7515052819382924,2021
2021-04-15,17074.0,16852.0,262850,222.0,16921.0,16826.0,61332,840,95.0,207.37911720113595,1.0705031586410088,118.60550947385546,0.8009745957116866,2021
2021-04-16,17160.0,16990.0,247476,170.0,17150.0,17033.0,88406,840,117.0,203.81920127721824,0.8340725453475792,118.45260380967875,0.9877368351310142,2021
2021-04-20,17324.0,17206.0,198092,118.0,17300.0,17201.0,59490,840,99.0,195.64594401272126,0.603130315813383,116.59997487542363,0.8490567867254896,2021
2021-04-21,17270.0,17150.0,164562,120.0,17329.0,17231.0,58164,840,98.0,188.4415683924621,0.6368021717484291,114.82854869681185,0.8534462998287543,2021
2021-04-23,17260.0,17041.0,245320,219.0,17180.0,17011.0,89236,840,169.0,191.35189521222762,1.1444882725468069,119.98773453521072,1.4084772969057642,2021
2021-04-27,17576.0,17460.0,240802,116.0,17565.0,17485.0,59406,840,80.0,184.1755242396345,0.6298339612655047,116.17937886519066,0.688590357268379,2021
2021-04-28,17563.0,17475.0,203872,88.0,17570.0,17509.0,41812,840,61.0,175.01595050252647,0.5028113137535408,110.9241999256487,0.5499250843448737,2021
2021-04-29,17702.0,17531.0,300532,171.0,17591.0,17503.0,59872,840,88.0,174.6334790260954,0.9791936858478755,108.74094278987263,0.8092628015010709,2021
2021-05-04,17309.0,16668.0,485642,641.0,17328.0,17212.0,79232,840,116.0,219.04933816646727,2.926281381927162,109.43228157178953,1.0600162797839678,2021
2021-05-05,17020.0,16756.0,313740,264.0,16949.0,16662.0,143628,840,287.0,223.33035357918467,1.182105324104076,126.34349285066672,2.271585132913994,2021
2021-05-06,17081.0,16700.0,394702,381.0,16851.0,16730.0,76510,840,121.0,238.3465103811671,1.598513019513898,125.83458876965085,0.9615798103135148,2021
2021-05-07,17288.0,17060.0,284438,228.0,17097.0,16942.0,90222,840,155.0,237.36112844010356,0.9605616618794186,128.61224698206505,1.2051729414354662,2021
2021-05-11,16970.0,16425.0,489404,545.0,17220.0,17008.0,98380,840,212.0,266.6600685886651,2.0438005693334103,136.5539377456779,1.5525000853130657,2021
2021-05-12,16531.0,15027.0,731598,1504.0,16580.0,16175.0,266766,840,405.0,384.5019668183161,3.911553463420036,162.12022938894668,2.498145984165581,2021
2021-05-13,15991.0,15348.0,467124,643.0,15828.0,15391.0,208776,840,437.0,409.1208271213336,1.571662837417232,188.29925516142794,2.320773917163731,2021
2021-05-14,16021.0,15653.0,429392,368.0,15765.0,15318.0,227124,840,447.0,405.20455787168277,0.9081832690453979,212.93742133653004,2.099208289432384,2021
2021-05-18,16180.0,15501.0,406258,679.0,15466.0,15284.0,126948,840,182.0,431.2803142648558,1.5743820840916374,209.9910002568605,0.8667038100555644,2021
2021-05-19,16248.0,15979.0,229094,269.0,16318.0,16142.0,101484,840,176.0,415.82504623963143,0.6469066797024555,206.7537621371595,0.8512541594442301,2021
2021-05-21,16425.0,16072.0,366738,353.0,16200.0,15933.0,108420,840,267.0,409.84170850252366,0.8613081408668448,212.49149907647765,1.2565208545302993,2021
2021-05-25,16623.0,16425.0,288400,198.0,16475.0,16265.0,79712,840,210.0,389.6663076927595,0.5081270720385639,212.25421345014644,0.9893796527592801,2021
2021-05-26,16664.0,16504.0,209062,160.0,16653.0,16494.0,83642,840,159.0,367.7933260077348,0.43502692595524467,207.18238359775154,0.7674397660599439,2021
2021-05-27,16595.0,16219.0,300140,376.0,16673.0,16553.0,60606,840,120.0,368.57491400699814,1.020145391644481,198.87929944558473,0.6033810473715648,2021
2021-05-28,16878.0,16673.0,248280,205.0,16685.0,16493.0,84762,840,192.0,352.9963507682364,0.580742547490512,198.22412806981475,0.9686005526652002,2021
2021-06-01,17148.0,17015.0,230228,133.0,17055.0,16966.0,37212,840,89.0,332.04431736173774,0.40054894195074064,187.82183015840383,0.47385333177160405,2021
2021-06-02,17198.0,17016.0,240456,182.0,17226.0,17123.0,72584,840,103.0,317.75438237490556,0.5727694411001563,179.74356061950823,0.5730386092553073,2021
2021-06-03,17313.0,17147.0,259332,166.0,17206.0,17059.0,70482,840,147.0,303.301584053486,0.5473100330749561,176.62512627479316,0.832271167191114,2021
2021-06-04,17159.0,17025.0,216480,134.0,17210.0,17080.0,102190,840,130.0,287.1776236674397,0.4666101706976168,172.1846380581462,0.7550034745614148,2021
2021-06-08,17198.0,17030.0,204332,168.0,17200.0,17080.0,70506,840,120.0,275.82737379435025,0.6090766035616771,167.21467252879893,0.717640373211464,2021
2021-06-09,17073.0,16889.0,239820,184.0,17125.0,16992.0,87856,840,133.0,267.08190962345975,0.6889272293260477,163.95613228796094,0.8111925924576473,2021
2021-06-10,17175.0,16992.0,251246,183.0,17055.0,16926.0,76258,840,129.0,259.0741087069398,0.706361592493237,160.62697683196467,0.8031029565783939,2021
2021-06-11,17298.0,17189.0,203584,109.0,17226.0,17117.0,80792,840,109.0,244.781336449136,0.4452953872267525,155.7101218955871,0.7000187185845952,2021
2021-06-16,17398.0,17033.0,133032,365.0,17433.0,17329.0,44094,840,104.0,256.2307329777897,1.4244973495495503,150.78534838172166,0.6897221853194788,2021
2021-06-18,17332.0,17212.0,192180,120.0,17319.0,17231.0,72924,840,88.0,243.25637745609546,0.49330669664214005,144.80579139298627,0.6077105007573773,2021
2021-06-22,17180.0,16988.0,200144,192.0,17155.0,17006.0,79290,840,149.0,238.37481769837208,0.8054542080151582,145.20523983174948,1.0261337688133536,2021
2021-06-23,17319.0,17059.0,253974,260.0,17110.0,16929.0,88834,840,181.0,240.4343588699557,1.081376227682279,148.6142646096781,1.217918081251353,2021
2021-06-24,17398.0,17261.0,184936,137.0,17313.0,17218.0,58742,840,95.0,230.58346754900754,0.594144937866729,143.50814417066113,0.6619833358518328,2021
2021-06-25,17562.0,17377.0,227494,185.0,17432.0,17345.0,47656,840,87.0,226.24218492529252,0.8177078030831822,138.12641615440768,0.6298577956496397,2021
2021-06-29,17623.0,17451.0,229662,172.0,17627.0,17523.0,42848,840,104.0,221.07626255145513,0.7780120670348645,134.87628128255932,0.771077012288951,2021
2021-06-30,17766.0,17583.0,208738,183.0,17598.0,17511.0,39890,840,87.0,217.44995183226894,0.8415729617689588,130.3166354461251,0.6676047129529149,2021
2021-07-01,17774.0,17555.0,245360,219.0,17737.0,17630.0,71118,840,107.0,217.59757546729094,1.0064450374950058,128.0960034988751,0.835310993921365,2021
2021-07-02,17724.0,17588.0,202900,136.0,17675.0,17566.0,62498,840,109.0,209.82637780373943,0.6481549241974107,126.27733649898222,0.8631794352178035,2021
2021-07-06,17974.0,17858.0,168804,116.0,17970.0,17890.0,37124,840,80.0,200.8905322986214,0.5774289045516957,121.86997111812677,0.6564373427352106,2021
2021-07-07,17906.0,17715.0,218734,191.0,17892.0,17701.0,84204,840,191.0,199.94857684160982,0.9552456087311966,128.45378339259088,1.4869161106469733,2021
2021-07-08,17897.0,17694.0,231934,203.0,17917.0,17820.0,65678,840,97.0,200.2391885709803,1.0137875680016604,125.4581849742489,0.773165975738529,2021
2021-07-09,17700.0,17526.0,275802,174.0,17780.0,17635.0,122572,840,145.0,197.74021823088694,0.8799423888408618,127.31931021479662,1.1388688782194534,2021
2021-07-13,18030.0,17824.0,246372,206.0,17939.0,17808.0,48664,840,131.0,198.5268641136596,1.0376429452996443,127.6698520991017,1.026084058578789,2021
2021-07-14,17924.0,17748.0,239832,176.0,17937.0,17833.0,66066,840,104.0,196.38144848378727,0.8962150007490657,125.41558047061582,0.8292430622235698,2021
2021-07-15,18046.0,17868.0,204938,178.0,17953.0,17860.0,64396,840,93.0,194.6308343424742,0.9145519033576641,122.32838233055718,0.7602487519919484,2021
2021-07-16,17928.0,17772.0,216608,156.0,18012.0,17800.0,117148,840,212.0,190.95170726223856,0.8169604882650326,130.86853639431362,1.6199462899258925,2021
2021-07-20,17716.0,17478.0,266996,238.0,17806.0,17539.0,135856,840,267.0,195.43249704678726,1.2178117948471074,143.83343769009326,1.8563138327770776,2021
2021-07-21,17674.0,17376.0,170964,298.0,17656.0,17472.0,107714,840,184.0,205.20083066137894,1.4522358366655816,147.65882457675104,1.2461158385041817,2021
2021-07-23,17559.0,17380.0,231708,179.0,17449.0,17353.0,74392,840,96.0,202.70551345553332,0.8830544218979347,142.73893652182238,0.6725565030766726,2021
2021-07-27,17348.0,17153.0,236534,195.0,17324.0,17138.0,91306,840,186.0,201.9716550311968,0.9654820126610343,146.85903780545834,1.2665206226285577,2021
2021-07-28,17136.0,16733.0,406846,403.0,17168.0,16945.0,145266,840,223.0,221.11721169489235,1.8225627797626078,154.1105580144623,1.4470131240396447,2021
2021-07-29,17332.0,17068.0,246028,264.0,17135.0,16984.0,98778,840,151.0,225.20128677156927,1.1722845983015444,153.81431439403732,0.981703169791937,2021
2021-07-30,17299.0,17126.0,233012,173.0,17420.0,17313.0,75680,840,107.0,220.22973565046743,0.7855433304182546,149.35580826127187,0.7164100361789895,2021
2021-08-03,17496.0,17361.0,190366,135.0,17485.0,17343.0,65898,840,142.0,212.11261796947053,0.6364543575593915,148.6552550935317,0.9552302736331499,2021
2021-08-04,17586.0,17464.0,178122,122.0,17521.0,17409.0,65746,840,112.0,203.53046387714002,0.5994188667188642,145.16427841795726,0.771539673675981,2021
2021-08-05,17584.0,17520.0,130924,64.0,17588.0,17519.0,49188,840,69.0,190.24184826979337,0.33641388885813267,137.91053761624704,0.5003243493401567,2021
2021-08-06,17560.0,17353.0,220144,207.0,17568.0,17295.0,73014,840,273.0,191.83786272028922,1.0790362083100251,150.776200700414,1.8106305818279609,2021
2021-08-10,17443.0,17259.0,218066,184.0,17467.0,17380.0,44880,840,87.0,191.0913996040712,0.9628900116972082,144.70227682418408,0.6012344927074409,2021
2021-08-11,17298.0,17078.0,281806,220.0,17324.0,17189.0,70716,840,135.0,193.8445996417787,1.134929734470581,143.77825045997608,0.9389459084952512,2021
2021-08-12,17235.0,17125.0,182776,110.0,17216.0,17116.0,71336,840,100.0,185.85939967589502,0.5918452345795799,139.60889327331168,0.7162867468924811,2021
2021-08-13,17190.0,16934.0,297790,256.0,17212.0,17104.0,59158,840,108.0,192.5394568496193,1.3295976013890276,136.59852248537723,0.7906381272283624,2021
2021-08-17,16873.0,16575.0,235058,298.0,16866.0,16740.0,63088,840,126.0,202.58331810203651,1.4709996992442602,135.58913939153177,0.9292779684673574,2021
2021-08-18,16796.0,16389.0,201800,407.0,16576.0,16313.0,104300,840,263.0,222.05157352089017,1.8329075247994595,147.72350706852876,1.7803530745989844,2021
2021-08-20,16426.0,16145.0,351786,281.0,16348.0,16050.0,194448,840,298.0,227.66570937604348,1.2342658047631687,162.03555401438317,1.8391025464297044,2021
2021-08-24,16842.0,16717.0,180870,125.0,16797.0,16621.0,62520,840,176.0,217.88802276880125,0.57368917488703,163.36550125110858,1.0773388423634864,2021
2021-08-25,16982.0,16785.0,218712,197.0,16830.0,16736.0,51594,840,94.0,215.89868726701064,0.9124650200228505,156.7592630367173,0.599645585077691,2021
2021-08-26,17125.0,16882.0,254194,243.0,17148.0,16970.0,89342,840,178.0,218.4797646701525,1.1122311504082159,158.78219036655375,1.1210325263121848,2021
2021-08-27,17218.0,16908.0,245022,310.0,17046.0,16928.0,76084,840,118.0,227.1959775587094,1.3644607766873573,154.89817223640577,0.7617907835601072,2021
2021-08-31,17468.0,17144.0,276700,324.0,17360.0,17277.0,42998,840,83.0,236.41540826740373,1.370469050111706,148.05072726151,0.560618657775268,2021
2021-09-01,17500.0,17363.0,221108,137.0,17482.0,17373.0,71648,840,109.0,226.94727414669862,0.6036644437132268,144.3316103794614,0.7552053199810403,2021
2021-09-02,17507.0,17266.0,273178,241.0,17524.0,17443.0,55978,840,81.0,228.2856289898702,1.0556950127188864,138.30002843856033,0.5856831767463025,2021
2021-09-03,17553.0,17370.0,228374,183.0,17435.0,17342.0,62400,840,93.0,223.9727119432159,0.8170638218034179,133.9857400158403,0.69410371573128,2021
2021-09-07,17529.0,17337.0,250166,192.0,17568.0,17503.0,34590,840,65.0,220.92769175814772,0.8690626262016298,127.41566953814122,0.510141336898462,2021
2021-09-08,17426.0,17163.0,302946,263.0,17447.0,17360.0,59340,840,87.0,224.93457825737175,1.1692288577306844,123.56655815355634,0.7040739929964301,2021
2021-09-09,17291.0,17084.0,249016,207.0,17286.0,17102.0,137638,840,184.0,223.22652318524112,0.9273091613232008,129.32212404369383,1.4228037264361066,2021
2021-09-10,17479.0,17284.0,216240,195.0,17340.0,17224.0,72310,840,116.0,220.5382828818848,0.8842002279687535,128.0533503252468,0.9058724328990057,2021
2021-09-14,17569.0,17426.0,178908,143.0,17506.0,17440.0,55460,840,66.0,213.15368451218148,0.6708774484816739,122.14350743712806,0.5403480003550145,2021
2021-09-15,17433.0,17280.0,144592,153.0,17470.0,17372.0,59584,840,98.0,207.42476217768802,0.7376168514969024,119.8441257764492,0.8177288570889485,2021
2021-09-17,17395.0,17165.0,234950,230.0,17280.0,17207.0,49398,840,73.0,209.574784827432,1.097460270277202,115.38278046440642,0.6326767278980526,2021
2021-09-23,17130.0,16985.0,199126,145.0,17038.0,16869.0,68106,840,169.0,203.42480532005754,0.7127940949574211,120.48918232493915,1.4026155438936858,2021
2021-09-24,17275.0,17170.0,185888,105.0,17190.0,17083.0,63394,840,107.0,194.0510143371949,0.5410948268353062,119.20449829399257,0.897617133005394,2021
2021-09-28,17183.0,17042.0,207044,141.0,17285.0,17205.0,49070,840,80.0,188.99853678127158,0.7460375217781692,115.47073655170756,0.6928162267690755,2021
2021-09-29,16937.0,16760.0,297074,177.0,17139.0,16880.0,125192,840,259.0,187.85581899257906,0.9422119631385605,129.1401902134497,2.0055723905308733,2021
2021-09-30,16966.0,16704.0,258124,262.0,16880.0,16668.0,106208,840,212.0,194.91716956471438,1.3441607046987898,137.03160066931164,1.5470884012484398,2021
2021-10-01,16805.0,16415.0,325606,390.0,16942.0,16751.0,108350,840,191.0,213.4964867490273,1.8267279520082167,142.1714482246153,1.3434483673419502,2021
2021-10-05,16424.0,16107.0,302724,317.0,16457.0,16183.0,139648,840,274.0,223.3539642015009,1.419271876965727,154.72654839369955,1.7708661043921876,2021
2021-10-06,16493.0,16265.0,271488,228.0,16500.0,16354.0,71290,840,146.0,223.79644380135795,1.0187829445689187,153.89544854668054,0.9486960230387473,2021
2021-10-07,16760.0,16519.0,247116,241.0,16450.0,16200.0,141980,840,250.0,225.43487772503815,1.069044871991576,163.0482629708062,1.5332883371150203,2021
2021-10-08,16759.0,16591.0,201820,168.0,16799.0,16672.0,72774,840,127.0,219.9648893702726,0.7637582546967359,159.61509506882467,0.7956640939582731,2021
2021-10-13,16585.0,16318.0,228824,267.0,16563.0,16378.0,93220,840,185.0,224.44442371596094,1.1896040702614827,162.03270506226994,1.1417448096598994,2021
2021-10-14,16546.0,16354.0,208198,192.0,16411.0,16261.0,95184,840,150.0,221.35447860015515,0.8673870129676492,160.88673315157757,0.9323329342431189,2021
2021-10-15,16790.0,16570.0,216300,220.0,16638.0,16445.0,90138,840,193.0,221.2254806382356,0.9944604905605806,163.94513951809398,1.177223067224261,2021
