strategy,mode,fraction,period,n_trades,wr,ev_pts,ev_pct,pf,total_pts
S001,with_satreach,0.8,IS,80,66.25,27.6375,0.1498336137932475,3.117816091954023,2211.0
S001,with_satreach,0.8,OOS,36,61.111111111111114,41.47222222222222,0.17334136025478084,2.3953271028037384,1493.0
S001,with_satreach,0.8,2022,28,71.42857142857143,25.25,0.16032286178027658,3.4634146341463414,707.0
S001,with_satreach,0.8,2023,27,59.25925925925925,14.555555555555555,0.09034312549816824,2.1228571428571428,393.0
S001,with_satreach,0.8,2024,25,68.0,44.44,0.20233538340646048,3.72972972972973,1111.0
S001,with_satreach,0.8,2025,26,61.53846153846154,46.23076923076923,0.2050792173579118,2.8295281582952816,1202.0
S001,with_satreach,0.8,2026,10,60.0,29.1,0.09082293178664044,1.7046004842615012,291.0
S001,with_satreach,0.85,IS,80,66.25,30.2,0.16120545460702215,3.3410852713178296,2416.0
S001,with_satreach,0.85,OOS,36,61.111111111111114,45.111111111111114,0.1774757655999305,2.5177570093457944,1624.0
S001,with_satreach,0.85,2022,28,71.42857142857143,21.75,0.14077073041914848,3.03,609.0
S001,with_satreach,0.85,2023,27,55.55555555555556,14.777777777777779,0.09122713533051197,2.0445026178010473,399.0
S001,with_satreach,0.85,2024,25,72.0,56.32,0.25966893051607165,5.022857142857143,1408.0
S001,with_satreach,0.85,2025,26,61.53846153846154,41.07692307692308,0.179746964955746,2.625570776255708,1068.0
S001,with_satreach,0.85,2026,10,60.0,55.6,0.1715706472748102,2.3462469733656173,556.0
S001,with_satreach,0.9,IS,81,66.66666666666666,32.01234567901235,0.16973952430904063,3.512596899224806,2593.0
S001,with_satreach,0.9,OOS,36,61.111111111111114,47.55555555555556,0.18717968406198598,2.6,1712.0
S001,with_satreach,0.9,2022,28,71.42857142857143,23.821428571428573,0.15472995164664563,3.223333333333333,667.0
S001,with_satreach,0.9,2023,27,55.55555555555556,12.0,0.07379313430879406,1.8481675392670156,324.0
S001,with_satreach,0.9,2024,26,73.07692307692307,61.61538461538461,0.2855403152534144,5.577142857142857,1602.0
S001,with_satreach,0.9,2025,26,61.53846153846154,44.5,0.19331695649687797,2.7610350076103503,1157.0
S001,with_satreach,0.9,2026,10,60.0,55.5,0.17122277573126676,2.343825665859564,555.0
S001,with_satreach,0.95,IS,81,65.4320987654321,35.34567901234568,0.1863527490589717,3.5792792792792794,2863.0
S001,with_satreach,0.95,OOS,36,61.111111111111114,51.638888888888886,0.2053532474180053,2.7373831775700936,1859.0
S001,with_satreach,0.95,2022,28,71.42857142857143,25.0,0.16098082647454473,3.3333333333333335,700.0
S001,with_satreach,0.95,2023,27,55.55555555555556,13.333333333333334,0.08174589189211644,1.942408376963351,360.0
S001,with_satreach,0.95,2024,26,69.23076923076923,69.34615384615384,0.32230655582316586,5.212616822429907,1803.0
S001,with_satreach,0.95,2025,26,61.53846153846154,49.30769230769231,0.2155890252644745,2.9512937595129376,1282.0
S001,with_satreach,0.95,2026,10,60.0,57.7,0.17874022501718545,2.3970944309927362,577.0
S001,with_satreach,1.0,IS,81,64.19753086419753,30.419753086419753,0.16563713330802973,3.0048820179007323,2464.0
S001,with_satreach,1.0,OOS,36,58.333333333333336,51.416666666666664,0.20645989937408385,2.6720867208672088,1851.0
S001,with_satreach,1.0,2022,28,71.42857142857143,25.714285714285715,0.16697705828832568,3.4,720.0
S001,with_satreach,1.0,2023,27,55.55555555555556,13.148148148148149,0.0801701695463264,1.9293193717277486,355.0
