strategy,chop_period,threshold,total_trades,all_N,all_WinRate,all_PF,all_AvgPnL,all_TotalPnL,kept_N,kept_WinRate,kept_PF,kept_AvgPnL,kept_TotalPnL,filtered_N,filtered_WinRate,filtered_PF,filtered_AvgPnL,filtered_TotalPnL,filtered_pct
esthl,10,55.0,155,155,59.354838709677416,2.4437328453796887,30.54193548387097,4734.0,124,62.096774193548384,2.944399018806214,38.354838709677416,4756.0,31,48.38709677419355,0.9735894357743097,-0.7096774193548387,-22.0,20.0
esthl,10,58.0,155,155,59.354838709677416,2.4437328453796887,30.54193548387097,4734.0,134,63.43283582089553,3.005030959752322,38.66417910447761,5181.0,21,33.33333333333333,0.35683453237410073,-21.285714285714285,-447.0,13.548387096774196
esthl,10,61.8,155,155,59.354838709677416,2.4437328453796887,30.54193548387097,4734.0,140,62.142857142857146,2.7172102706453853,35.35,4949.0,15,33.33333333333333,0.45843828715365237,-14.333333333333334,-215.0,9.67741935483871
esthl,10,65.0,155,155,59.354838709677416,2.4437328453796887,30.54193548387097,4734.0,144,61.111111111111114,2.6597245549210613,34.3125,4941.0,11,36.36363636363637,0.31456953642384106,-18.818181818181817,-207.0,7.096774193548387
esthl,14,55.0,154,154,59.74025974025974,2.4838809671419715,31.084415584415584,4787.0,135,61.48148148148148,2.515434314429289,31.274074074074075,4222.0,19,47.368421052631575,2.284090909090909,29.736842105263158,565.0,12.337662337662337
esthl,14,58.0,154,154,59.74025974025974,2.4838809671419715,31.084415584415584,4787.0,144,60.416666666666664,2.509739187850776,31.756944444444443,4573.0,10,50.0,2.0862944162436547,21.4,214.0,6.493506493506493
esthl,14,61.8,154,154,59.74025974025974,2.4838809671419715,31.084415584415584,4787.0,150,60.0,2.5113021330786376,31.64666666666667,4747.0,4,50.0,1.4705882352941178,10.0,40.0,2.5974025974025974
esthl,14,65.0,154,154,59.74025974025974,2.4838809671419715,31.084415584415584,4787.0,154,59.74025974025974,2.4838809671419715,31.084415584415584,4787.0,0,,,,,0.0
esthl,20,55.0,154,154,59.74025974025974,2.4838809671419715,31.084415584415584,4787.0,142,59.859154929577464,2.416279069767442,30.02112676056338,4263.0,12,58.333333333333336,3.425925925925926,43.666666666666664,524.0,7.792207792207792
esthl,20,58.0,154,154,59.74025974025974,2.4838809671419715,31.084415584415584,4787.0,146,59.589041095890416,2.4389300676764423,30.58219178082192,4465.0,8,62.5,3.6178861788617884,40.25,322.0,5.194805194805195
esthl,20,61.8,154,154,59.74025974025974,2.4838809671419715,31.084415584415584,4787.0,152,59.86842105263158,2.527249683143219,31.710526315789473,4820.0,2,50.0,0.5285714285714286,-16.5,-33.0,1.2987012987012987
esthl,20,65.0,154,154,59.74025974025974,2.4838809671419715,31.084415584415584,4787.0,153,59.47712418300654,2.472411655300682,31.045751633986928,4750.0,1,100.0,inf,37.0,37.0,0.6493506493506493
