strategy,chop_period,threshold,total_trades,all_N,all_WinRate,all_PF,all_AvgPnL,all_TotalPnL,kept_N,kept_WinRate,kept_PF,kept_AvgPnL,kept_TotalPnL,filtered_N,filtered_WinRate,filtered_PF,filtered_AvgPnL,filtered_TotalPnL,filtered_pct
reversal,10,55.0,492,492,45.1219512195122,1.275461584276355,5.640243902439025,2775.0,391,46.80306905370844,1.3172546196304296,6.7621483375959075,2644.0,101,38.613861386138616,1.075287356321839,1.297029702970297,131.0,20.528455284552845
reversal,10,58.0,492,492,45.1219512195122,1.275461584276355,5.640243902439025,2775.0,422,46.682464454976305,1.3405030158188234,7.090047393364929,2992.0,70,35.714285714285715,0.8313908313908314,-3.1,-217.0,14.227642276422763
reversal,10,61.8,492,492,45.1219512195122,1.275461584276355,5.640243902439025,2775.0,451,46.56319290465632,1.3346873329770177,6.942350332594235,3131.0,41,29.268292682926827,0.5048678720445062,-8.682926829268293,-356.0,8.333333333333332
reversal,10,65.0,492,492,45.1219512195122,1.275461584276355,5.640243902439025,2775.0,467,46.25267665952891,1.3139668300824032,6.445396145610278,3010.0,25,24.0,0.5174537987679672,-9.4,-235.0,5.08130081300813
reversal,14,55.0,490,490,45.30612244897959,1.2901897780901697,5.8979591836734695,2890.0,411,47.201946472019465,1.3774323682961556,7.739659367396594,3181.0,79,35.44303797468354,0.8099281515349445,-3.6835443037974684,-291.0,16.122448979591837
reversal,14,58.0,490,490,45.30612244897959,1.2901897780901697,5.8979591836734695,2890.0,445,46.29213483146067,1.3326084592802,6.874157303370787,3059.0,45,35.55555555555556,0.7782152230971129,-3.7555555555555555,-169.0,9.183673469387756
reversal,14,61.8,490,490,45.30612244897959,1.2901897780901697,5.8979591836734695,2890.0,468,46.36752136752137,1.3275898297961757,6.662393162393163,3118.0,22,22.727272727272727,0.48299319727891155,-10.363636363636363,-228.0,4.489795918367347
reversal,14,65.0,490,490,45.30612244897959,1.2901897780901697,5.8979591836734695,2890.0,476,46.21848739495798,1.3342699552502861,6.7478991596638656,3212.0,14,14.285714285714285,0.08,-23.0,-322.0,2.857142857142857
reversal,20,55.0,489,489,45.39877300613497,1.299322479522702,6.0531697341513295,2960.0,448,45.535714285714285,1.3078525992542225,6.265625,2807.0,41,43.90243902439025,1.198443579766537,3.731707317073171,153.0,8.384458077709612
reversal,20,58.0,489,489,45.39877300613497,1.299322479522702,6.0531697341513295,2960.0,468,45.51282051282051,1.3061909758656873,6.235042735042735,2918.0,21,42.857142857142854,1.116991643454039,2.0,42.0,4.294478527607362
reversal,20,61.8,489,489,45.39877300613497,1.299322479522702,6.0531697341513295,2960.0,481,45.53014553014553,1.2967100543199754,6.018711018711019,2895.0,8,37.5,1.4924242424242424,8.125,65.0,1.6359918200409
reversal,20,65.0,489,489,45.39877300613497,1.299322479522702,6.0531697341513295,2960.0,486,45.67901234567901,1.3101866014071581,6.2592592592592595,3042.0,3,0.0,0.0,-27.333333333333332,-82.0,0.6134969325153374
