trading_date,night_close,macd,macd_pct,macd_side,sma5_above_sma21,pattern,morning_open,morning_close,morning_high,morning_low,move_pts,amplitude,direction,bar1_body,bar2_body,bar3_body,bar4_body,opening_streak,first_dir,first2
2021-01-05,14830.0,-8.356568598390368,-0.05634908023189729,空,False,高高高高,14874.0,14901.0,14925.0,14836.0,27.0,89.0,1,0.0,0.0,4.0,22.0,4,高,高高
2021-01-06,15036.0,19.39717366437253,0.12900487938529218,多,True,高高低高,15048.0,15075.0,15140.0,14970.0,27.0,170.0,1,22.0,31.0,-59.0,37.0,2,高,高高
2021-01-07,15030.0,23.789440116313926,0.15827970802604077,多,True,高高高高,15050.0,15112.0,15120.0,15024.0,62.0,96.0,1,14.0,1.0,25.0,20.0,4,高,高高
2021-01-08,15393.0,48.74417823560725,0.31666457633734324,多,True,高低低高,15376.0,15352.0,15422.0,15264.0,-24.0,158.0,-1,16.0,-14.0,-74.0,44.0,1,高,高低
2021-01-12,15514.0,5.718359308908475,0.03685934838796232,多,False,高低高高,15517.0,15556.0,15605.0,15466.0,39.0,139.0,1,16.0,-51.0,53.0,20.0,1,高,高低
2021-01-13,15537.0,3.3941041188227246,0.02184529908491166,多,True,高高高高,15557.0,15746.0,15746.0,15555.0,189.0,191.0,1,19.0,71.0,32.0,70.0,4,高,高高
2021-01-14,15690.0,-3.6039309498937655,-0.02296960452449819,空,False,低高低高,15705.0,15689.0,15730.0,15632.0,-16.0,98.0,-1,-49.0,34.0,-11.0,11.0,1,低,低高
2021-01-15,15933.0,39.741492090181055,0.2494288087000631,多,True,高低低高,15950.0,15846.0,16002.0,15756.0,-104.0,246.0,-1,40.0,-103.0,-108.0,67.0,1,高,高低
2021-01-19,15661.0,9.281723291476737,0.05926647909761022,多,True,高高高高,15714.0,15815.0,15842.0,15710.0,101.0,132.0,1,24.0,23.0,47.0,8.0,4,高,高高
2021-01-20,15870.0,6.206307435029885,0.03910716720245674,多,False,高低高高,15899.0,15920.0,15964.0,15816.0,21.0,148.0,1,14.0,-52.0,42.0,15.0,1,高,高低
2021-01-22,16104.0,10.118178656755845,0.06283022017359566,多,False,低高高低,16051.0,16047.0,16085.0,15964.0,-4.0,121.0,-1,-76.0,34.0,54.0,-13.0,1,低,低高
2021-01-26,15887.0,-7.738402566414152,-0.04870902351868919,空,False,高低低低,15865.0,15793.0,15974.0,15786.0,-72.0,188.0,-1,49.0,-24.0,-4.0,-90.0,1,高,高低
2021-01-27,15698.0,-7.118963822560545,-0.04534949562084689,空,True,高高低低,15725.0,15700.0,15814.0,15646.0,-25.0,168.0,-1,21.0,37.0,-5.0,-75.0,2,高,高高
2021-01-28,15428.0,-42.90151119390066,-0.2780756494289646,空,False,低高低低,15411.0,15415.0,15524.0,15336.0,4.0,188.0,1,-42.0,114.0,-24.0,-46.0,1,低,低高
2021-01-29,15555.0,46.75227232563702,0.3005610564168243,多,True,高低低低,15498.0,15356.0,15539.0,15354.0,-142.0,185.0,-1,28.0,-38.0,-61.0,-71.0,1,高,高低
2021-02-02,15452.0,32.16650201130142,0.20817047638688463,多,True,高高高高,15469.0,15751.0,15779.0,15459.0,282.0,320.0,1,41.0,161.0,77.0,3.0,4,高,高高
2021-02-03,15824.0,21.91840471464093,0.13851367994591082,多,False,低低高高,15864.0,15786.0,15875.0,15716.0,-78.0,159.0,-1,-29.0,-86.0,28.0,9.0,2,低,低低
2021-02-04,15738.0,-8.414321177762758,-0.053464996681679755,空,True,低高高低,15721.0,15722.0,15777.0,15542.0,1.0,235.0,1,-90.0,17.0,90.0,-20.0,1,低,低高
2021-02-05,15817.0,16.318666154247694,0.1031716896645868,多,True,高低高高,15809.0,15966.0,15984.0,15751.0,157.0,233.0,1,9.0,-43.0,136.0,51.0,1,高,高低
2021-02-19,16303.0,3.089787548284221,0.01895226368327437,多,True,高低低低,16301.0,16211.0,16328.0,16162.0,-90.0,166.0,-1,8.0,-40.0,-26.0,-33.0,1,高,高低
2021-02-23,16257.0,-11.754943630043272,-0.07230696702985343,空,False,低高高高,16223.0,16374.0,16382.0,16182.0,151.0,200.0,1,-3.0,54.0,69.0,31.0,1,低,低高
2021-02-24,16331.0,-2.891879270069694,-0.017707912987996413,空,True,低高高低,16300.0,16394.0,16435.0,16281.0,94.0,154.0,1,-12.0,88.0,23.0,-5.0,1,低,低高
2021-02-25,16332.0,20.105716919886618,0.1231062755320023,多,True,低低低高,16388.0,16330.0,16422.0,16264.0,-58.0,158.0,-1,-8.0,-41.0,-58.0,47.0,3,低,低低
2021-02-26,16120.0,-51.39713070129801,-0.31884076117430526,空,False,高高低高,16037.0,16034.0,16118.0,15852.0,-3.0,266.0,-1,28.0,5.0,-112.0,76.0,2,高,高高
2021-03-03,15975.0,-0.7617427825316554,-0.004768342926645731,空,False,高低高低,16000.0,15965.0,16030.0,15885.0,-35.0,145.0,-1,15.0,-124.0,88.0,-13.0,1,高,高低
2021-03-04,16008.0,-31.446916031318324,-0.19644500269439233,空,False,高低低低,16025.0,15839.0,16066.0,15838.0,-186.0,228.0,-1,12.0,-12.0,-84.0,-105.0,1,高,高低
2021-03-05,15682.0,-70.11653458215733,-0.44711474672973683,空,False,高高高高,15601.0,15754.0,15805.0,15570.0,153.0,235.0,1,20.0,77.0,57.0,1.0,4,高,高高
2021-03-09,15848.0,6.218176938082252,0.03923635119940845,多,False,低高低高,15810.0,15714.0,15825.0,15608.0,-96.0,217.0,-1,-94.0,35.0,-123.0,84.0,1,低,低高
2021-03-10,15967.0,33.13751395827785,0.2075375083502089,多,True,低低低低,15977.0,15822.0,15986.0,15819.0,-155.0,167.0,-1,-41.0,-47.0,-30.0,-36.0,4,低,低低
2021-03-11,15923.0,1.9851172275066347,0.012466980013230137,多,False,高高高低,15951.0,16171.0,16188.0,15942.0,220.0,246.0,1,29.0,123.0,84.0,-14.0,3,高,高高
2021-03-12,16267.0,30.0931247382523,0.18499492677354337,多,True,低低低低,16276.0,16179.0,16288.0,16173.0,-97.0,115.0,-1,-31.0,-2.0,-56.0,-6.0,4,低,低低
2021-03-16,16267.0,14.556501511629904,0.08948485591461182,多,True,低高低高,16250.0,16240.0,16295.0,16213.0,-10.0,82.0,-1,-18.0,24.0,-21.0,1.0,1,低,低高
2021-03-17,16325.0,5.974662228349189,0.03659823723337941,多,False,高低高低,16304.0,16313.0,16336.0,16255.0,9.0,81.0,1,2.0,-21.0,34.0,-6.0,1,高,高低
2021-03-19,16073.0,-40.18205069714713,-0.2499972046111313,空,False,低低高低,16100.0,16003.0,16110.0,15957.0,-97.0,153.0,-1,-21.0,-78.0,62.0,-60.0,2,低,低低
2021-03-23,16214.0,24.750979951262707,0.1526519054598662,多,True,低高低低,16223.0,16181.0,16277.0,16153.0,-42.0,124.0,-1,-17.0,65.0,-52.0,-38.0,1,低,低高
2021-03-24,16047.0,-26.087398725028834,-0.16256869648550404,空,False,低高低低,16019.0,15996.0,16062.0,15954.0,-23.0,108.0,-1,-27.0,50.0,-32.0,-17.0,1,低,低高
2021-03-25,15859.0,-36.22242311908667,-0.2284029454510793,空,False,高高高高,15890.0,16022.0,16080.0,15870.0,132.0,210.0,1,35.0,7.0,4.0,85.0,4,高,高高
2021-03-26,16076.0,17.152678419113727,0.10669742733959771,多,True,高高高高,16095.0,16207.0,16225.0,16081.0,112.0,144.0,1,9.0,9.0,86.0,8.0,4,高,高高
2021-03-30,16462.0,9.42285688254924,0.057240049098221606,多,True,高低高高,16469.0,16511.0,16524.0,16420.0,42.0,104.0,1,18.0,-27.0,8.0,46.0,1,高,高低
2021-03-31,16525.0,4.945932141017693,0.029929997827641105,多,False,低低高低,16540.0,16459.0,16549.0,16458.0,-81.0,91.0,-1,-34.0,-1.0,2.0,-49.0,2,低,低低
2021-04-01,16523.0,15.100360178945266,0.091389942376961,多,True,高低低高,16535.0,16515.0,16587.0,16485.0,-20.0,102.0,-1,24.0,-10.0,-35.0,1.0,1,高,高低
2021-04-07,16745.0,2.676699092524359,0.01598506475081731,多,False,低高低高,16777.0,16709.0,16785.0,16692.0,-68.0,93.0,-1,-15.0,5.0,-60.0,0.0,1,低,低高
2021-04-08,16730.0,-5.945133143493877,-0.03553576296170877,空,False,高高低高,16715.0,16800.0,16826.0,16687.0,85.0,139.0,1,10.0,57.0,-2.0,21.0,2,高,高高
2021-04-09,16947.0,18.07273071028976,0.10664265480787019,多,True,高低低高,16952.0,16848.0,16971.0,16810.0,-104.0,161.0,-1,19.0,-28.0,-114.0,19.0,1,高,高低
2021-04-13,16882.0,1.8800629610595934,0.011136494260511748,多,True,低高高高,16910.0,17027.0,17046.0,16890.0,117.0,156.0,1,-11.0,42.0,38.0,45.0,1,低,低高
2021-04-14,16862.0,2.608497751869436,0.015469681840051213,多,True,低低高低,16860.0,16736.0,16917.0,16734.0,-124.0,183.0,-1,-4.0,-32.0,12.0,-100.0,2,低,低低
2021-04-15,16850.0,-3.4673866593584535,-0.020577962370079843,空,False,高低高高,16881.0,16920.0,16949.0,16852.0,39.0,97.0,1,10.0,-12.0,38.0,4.0,1,高,高低
2021-04-16,17081.0,8.826276934316411,0.051673069107876654,多,False,低低高高,17062.0,17076.0,17093.0,16990.0,14.0,103.0,1,-34.0,-17.0,29.0,36.0,2,低,低低
2021-04-20,17220.0,-5.737616134701966,-0.03331948974855962,空,False,高低高低,17238.0,17242.0,17299.0,17206.0,4.0,93.0,1,9.0,-5.0,43.0,-45.0,1,高,高低
2021-04-21,17239.0,-8.376605546123756,-0.04859101772796424,空,False,高低低高,17225.0,17179.0,17258.0,17150.0,-46.0,108.0,-1,20.0,-18.0,-64.0,18.0,1,高,高低
2021-04-23,17052.0,-33.814407644124,-0.19830171032209715,空,False,高高高高,17061.0,17166.0,17178.0,17041.0,105.0,137.0,1,37.0,3.0,35.0,31.0,4,高,高高
2021-04-27,17525.0,13.182861435179802,0.07522317509375065,多,False,低高高低,17532.0,17510.0,17576.0,17490.0,-22.0,86.0,-1,-11.0,23.0,16.0,-51.0,1,低,低高
2021-04-28,17541.0,0.6755453637415485,0.0038512363248477764,多,True,低高高低,17548.0,17521.0,17563.0,17505.0,-27.0,58.0,-1,-19.0,13.0,13.0,-36.0,1,低,低高
2021-04-29,17554.0,6.247780138248345,0.03559177474221456,多,True,高低高高,17578.0,17667.0,17702.0,17575.0,89.0,127.0,1,63.0,-55.0,74.0,7.0,1,高,高低
2021-05-04,17325.0,-5.044462832749559,-0.029116668587299045,空,True,高低低低,17271.0,16922.0,17309.0,16852.0,-349.0,457.0,-1,19.0,-210.0,-39.0,-115.0,1,高,高低
2021-05-05,16795.0,-41.65973198948268,-0.248048419109751,空,True,高高高低,16847.0,16917.0,17020.0,16841.0,70.0,179.0,1,108.0,6.0,24.0,-68.0,3,高,高高
2021-05-06,16831.0,-0.34589509978468413,-0.0020551072413088002,空,True,高高低高,16884.0,17047.0,17081.0,16883.0,163.0,198.0,1,35.0,124.0,-5.0,12.0,2,高,高高
2021-05-07,17089.0,36.24970022915659,0.21212300444236987,多,True,高低高低,17120.0,17116.0,17217.0,17060.0,-4.0,157.0,-1,19.0,-33.0,109.0,-96.0,1,高,高低
2021-05-11,17023.0,-49.28279354979895,-0.28950709951124337,空,False,低高低低,16968.0,16764.0,16970.0,16658.0,-204.0,312.0,-1,-87.0,52.0,-147.0,-22.0,1,低,低高
2021-05-12,16579.0,3.37276852694049,0.020343618595455033,多,True,低低低低,16503.0,16141.0,16531.0,16070.0,-362.0,461.0,-1,-31.0,-9.0,-151.0,-173.0,4,低,低低
2021-05-13,15443.0,-101.79155803692811,-0.6591436769858713,空,False,高高高高,15538.0,15804.0,15916.0,15348.0,266.0,568.0,1,73.0,106.0,6.0,80.0,4,高,高高
2021-05-14,15743.0,35.38040004900358,0.2247373438925464,多,True,高高低低,15800.0,15779.0,16021.0,15759.0,-21.0,262.0,-1,19.0,129.0,-41.0,-123.0,2,高,高高
2021-05-18,15440.0,-4.171915598022679,-0.027020178743670197,空,True,高高高高,15563.0,15927.0,15987.0,15501.0,364.0,486.0,1,44.0,286.0,28.0,4.0,4,高,高高
2021-05-19,16163.0,30.303029293905638,0.18748394044364067,多,False,低高低高,16122.0,16072.0,16238.0,15979.0,-50.0,259.0,-1,-53.0,15.0,-25.0,9.0,1,低,低高
2021-05-21,16162.0,36.672610214833185,0.22690638667759674,多,True,高低低低,16222.0,16147.0,16425.0,16105.0,-75.0,320.0,-1,63.0,-12.0,-122.0,-8.0,1,高,高低
2021-05-25,16453.0,41.98590252832946,0.25518691137378874,多,True,低高高低,16463.0,16527.0,16604.0,16425.0,64.0,179.0,1,-18.0,35.0,68.0,-18.0,1,低,低高
2021-05-26,16566.0,1.5994914659313508,0.009655266605887667,多,False,高低低低,16616.0,16519.0,16664.0,16504.0,-97.0,160.0,-1,30.0,-49.0,-25.0,-51.0,1,高,高低
2021-05-27,16623.0,11.230430916493788,0.06755959162903079,多,True,低低高高,16593.0,16458.0,16595.0,16219.0,-135.0,376.0,-1,-129.0,-43.0,0.0,36.0,2,低,低低
2021-05-28,16655.0,20.192511930035835,0.12123993953789153,多,True,高低高低,16731.0,16797.0,16850.0,16673.0,66.0,177.0,1,16.0,-49.0,128.0,-29.0,1,高,高低
2021-06-01,16992.0,1.5404842124371498,0.00906593816170639,多,False,高高低高,17050.0,17081.0,17148.0,17024.0,31.0,124.0,1,24.0,19.0,-17.0,3.0,2,高,高高
2021-06-02,17168.0,7.759548883761454,0.04519774512908582,多,False,高低高高,17171.0,17146.0,17198.0,17104.0,-25.0,94.0,-1,5.0,-43.0,7.0,5.0,1,高,高低
2021-06-03,17202.0,16.608936296303,0.09655235609988955,多,True,低低高高,17253.0,17287.0,17313.0,17190.0,34.0,123.0,1,-12.0,-38.0,29.0,58.0,2,低,低低
2021-06-04,17105.0,-13.722784374738694,-0.08022674290990174,空,False,高高高高,17051.0,17125.0,17154.0,17025.0,74.0,129.0,1,26.0,32.0,4.0,12.0,4,高,高高
2021-06-08,17159.0,5.151843883624679,0.03002414991330893,多,True,低高低低,17190.0,17072.0,17198.0,17055.0,-118.0,143.0,-1,-43.0,27.0,-76.0,-23.0,1,低,低高
2021-06-09,17034.0,-14.310596604023885,-0.08401195611144702,空,False,高低高低,16997.0,16951.0,17073.0,16940.0,-46.0,133.0,-1,27.0,-27.0,27.0,-72.0,1,高,高低
2021-06-10,17008.0,6.819856957103184,0.040097936013071406,多,True,高高高低,17035.0,17139.0,17165.0,16992.0,104.0,173.0,1,4.0,9.0,91.0,-3.0,3,高,高高
2021-06-11,17196.0,17.990634831156058,0.10462104461011898,多,True,高高高低,17189.0,17248.0,17298.0,17189.0,59.0,109.0,1,51.0,6.0,45.0,-42.0,3,高,高高
2021-06-16,17329.0,-7.619645234510244,-0.04397048435864876,空,False,高高高高,17324.0,17380.0,17392.0,17311.0,56.0,81.0,1,20.0,8.0,25.0,4.0,4,高,高高
2021-06-18,17280.0,2.679428330167866,0.015505950984767742,多,True,低低高低,17315.0,17267.0,17332.0,17212.0,-48.0,120.0,-1,-20.0,-42.0,39.0,-25.0,2,低,低低
2021-06-22,17145.0,24.5525558686968,0.14320534189966053,多,True,低低低低,17155.0,17038.0,17180.0,17001.0,-117.0,179.0,-1,-33.0,-30.0,-48.0,-6.0,4,低,低低
2021-06-23,17101.0,17.485381000493362,0.1022477106630803,多,True,高低高高,17100.0,17226.0,17250.0,17059.0,126.0,191.0,1,4.0,-20.0,110.0,32.0,1,高,高低
2021-06-24,17252.0,7.5888479595887475,0.04398822142121926,多,False,高高高低,17298.0,17362.0,17382.0,17261.0,64.0,121.0,1,4.0,26.0,42.0,-10.0,3,高,高高
2021-06-25,17421.0,17.16948794715063,0.09855627086361649,多,True,高高高高,17438.0,17545.0,17557.0,17420.0,107.0,137.0,1,15.0,30.0,59.0,3.0,4,高,高高
2021-06-29,17620.0,25.190101646094263,0.14296311944434884,多,True,高低低高,17595.0,17542.0,17623.0,17456.0,-53.0,167.0,-1,4.0,-19.0,-55.0,16.0,1,高,高低
2021-06-30,17589.0,11.65311530528561,0.06625229009770657,多,True,低高高高,17610.0,17750.0,17752.0,17583.0,140.0,169.0,1,-12.0,86.0,11.0,57.0,1,低,低高
2021-07-01,17685.0,2.8278355624279357,0.01599002297103724,多,False,高高高高,17678.0,17754.0,17762.0,17655.0,76.0,107.0,1,6.0,3.0,7.0,60.0,4,高,高高
2021-07-02,17654.0,-3.205585647105181,-0.018157843248584916,空,True,高低低高,17651.0,17676.0,17700.0,17601.0,25.0,99.0,1,27.0,-4.0,-49.0,53.0,1,高,高低
