trade_date,day_high,day_low,day_open,day_close,day_volume,day_range,night_high,night_low,night_volume,night_range,full_high,full_low,full_range,settle_prox,is_settlement_week,day_range_ema20,day_range_norm,night_range_ema20,night_range_norm,full_range_ema20,full_range_norm,weekday
2021-01-29,15539.0,15063.0,15498.0,15075.0,406378.0,476.0,15585.0,15225.0,208792.0,360.0,15585.0,15063.0,522.0,,False,267.4885133829618,1.7795156658503444,179.97085447460486,2.0003238916154533,305.1848312991022,1.7104388765914909,4
2021-02-01,15398.0,15090.0,15156.0,15360.0,328122.0,308.0,,,,,15398.0,15090.0,308.0,,False,271.3467502036321,1.1350790078335615,179.97085447460486,,305.4529426039496,1.0083386245172072,0
2021-02-02,15820.0,15459.0,15469.0,15755.0,350476.0,361.0,15470.0,15315.0,98124.0,155.0,15820.0,15315.0,505.0,,False,279.8851549461433,1.289814745871267,177.36843291645746,0.873887181903483,324.4574242607163,1.5564445817526107,1
2021-02-03,15875.0,15716.0,15864.0,15772.0,281596.0,159.0,15884.0,15732.0,93752.0,152.0,15884.0,15716.0,168.0,,False,268.37228304651063,0.5924605857023033,174.95239168631866,0.8688077855633365,309.55671718826716,0.542711531269487,2
2021-02-04,15777.0,15542.0,15721.0,15701.0,318724.0,235.0,15820.0,15687.0,79204.0,133.0,15820.0,15542.0,278.0,-2.0,True,265.1939703754144,0.8861438277323156,170.95692581143118,0.7779737461277327,306.55131555128935,0.906862851004427,3
2021-02-05,15984.0,15751.0,15809.0,15804.0,317422.0,233.0,15817.0,15730.0,60318.0,87.0,15984.0,15730.0,254.0,-1.0,True,262.12787795870827,0.8888791295853826,162.9610281151044,0.5338699749645002,301.54642835592847,0.8423246840788068,4
2021-02-17,16433.0,16179.0,16261.0,16326.0,195658.0,254.0,,,,,16433.0,16179.0,254.0,0.0,True,261.3537943435932,0.9718626838303123,162.9610281151044,,297.01819708393526,0.8551664594752805,2
2021-02-18,16525.0,16287.0,16374.0,16380.0,305298.0,238.0,,,,,16525.0,16287.0,238.0,1.0,True,259.1296234537272,0.9184592515046804,162.9610281151044,,291.39741640927474,0.8167539813246774,3
2021-02-19,16328.0,16130.0,16301.0,16314.0,305314.0,198.0,16368.0,16233.0,78822.0,135.0,16368.0,16130.0,238.0,,False,253.30775455337223,0.7816578704789757,159.77518303081013,0.8449372264149895,286.31194817982,0.831261152435464,4
2021-02-22,16564.0,16336.0,16480.0,16382.0,302416.0,228.0,,,,,16564.0,16336.0,228.0,,False,250.89749221495583,0.9087376600984977,159.77518303081013,,280.75842930555143,0.8120860362552675,0
2021-02-23,16451.0,16182.0,16223.0,16437.0,272430.0,269.0,16392.0,16242.0,99446.0,150.0,16451.0,16182.0,269.0,,False,252.62154057543623,1.0648339780814255,158.75642946432373,0.944843623065411,279.63857889549894,0.9619559685308136,1
2021-02-24,16435.0,16133.0,16300.0,16182.0,357928.0,302.0,16423.0,16203.0,139754.0,220.0,16435.0,16133.0,302.0,,False,257.32425099682325,1.173616551219373,164.58915046772148,1.336661616970588,281.76823804830855,1.0718028479427932,2
2021-02-25,16422.0,16243.0,16388.0,16388.0,267814.0,179.0,16332.0,16139.0,126680.0,193.0,16422.0,16139.0,283.0,,False,249.86479852093532,0.7163874265586162,167.2949456612718,1.1536511114374857,281.8855487103744,1.0039535595021605,3
2021-02-26,16118.0,15852.0,16037.0,15935.0,394918.0,266.0,16397.0,16098.0,130210.0,299.0,16397.0,15852.0,545.0,,False,251.40148437608434,1.058068533923519,179.8382841697221,1.662604830670088,306.94406788081494,1.7755677891505013,4
2021-03-02,16277.0,15868.0,16249.0,15906.0,292334.0,409.0,,,,,16277.0,15868.0,409.0,,False,266.41086681645726,1.5352226614756634,179.8382841697221,,316.66368046359446,1.2915911272212384,1
2021-03-03,16196.0,15885.0,16000.0,16185.0,303840.0,311.0,16033.0,15905.0,108756.0,128.0,16196.0,15885.0,311.0,,False,270.65745092917564,1.1490539016469974,174.4357830899992,0.7337943954650583,316.1242823242045,0.983790291949325,2
2021-03-04,16066.0,15756.0,16025.0,15925.0,396908.0,310.0,16255.0,16000.0,143014.0,255.0,16255.0,15756.0,499.0,,False,274.4043603644922,1.1297196574727384,182.1085656528564,1.4002636234370904,333.54101734094695,1.4960678718861142,3
2021-03-05,15914.0,15570.0,15601.0,15855.0,336104.0,344.0,15998.0,15610.0,213982.0,388.0,15998.0,15570.0,428.0,,False,281.0325165202549,1.2240576437894397,201.71727368591772,1.9234842555136469,342.53711092752343,1.2494996493695525,4
2021-03-08,16095.0,15767.0,15950.0,15816.0,350426.0,328.0,,,,,16095.0,15767.0,328.0,,False,285.5056101849925,1.148839071104324,201.71727368591772,,341.1526241725212,0.9614465103282632,0
2021-03-09,15848.0,15608.0,15810.0,15822.0,341338.0,240.0,15958.0,15746.0,144498.0,212.0,15958.0,15608.0,350.0,,False,281.17174254832656,0.8535708383240178,202.78892258217442,1.0454219949518844,341.99523139418585,1.023406082515191,1
2021-03-10,15986.0,15808.0,15977.0,15883.0,271002.0,178.0,15997.0,15768.0,110438.0,229.0,15997.0,15768.0,229.0,,False,271.34586230562877,0.6559893653344556,205.2852156695864,1.115521150673526,331.23378078521574,0.6913546059738759,2
2021-03-11,16214.0,15942.0,15951.0,16174.0,268166.0,272.0,16010.0,15868.0,119224.0,142.0,16214.0,15868.0,346.0,,False,271.4081611336641,1.002180622954976,199.25805227248293,0.7126437219501511,332.6400873771,1.0401632669358774,3
2021-03-12,16288.0,16155.0,16276.0,16222.0,222760.0,133.0,16273.0,16162.0,82772.0,111.0,16288.0,16155.0,133.0,,False,258.22643150188657,0.5150518451052843,190.85252348462743,0.5816009030079222,313.6267457221381,0.42407097549592654,4
2021-03-15,16249.0,16142.0,16206.0,16197.0,208804.0,107.0,,,,,16249.0,16142.0,107.0,-2.0,True,243.8239142159926,0.4388412857042953,190.85252348462743,,293.9480080343154,0.364009950996194,0
2021-03-16,16348.0,16213.0,16250.0,16305.0,217978.0,135.0,16268.0,16151.0,61456.0,117.0,16348.0,16151.0,197.0,-1.0,True,233.45973190970759,0.5782581813818425,183.15573443660173,0.6388006379374316,284.71486441199966,0.691920319674385,1
2021-03-17,16336.0,16161.0,16304.0,16176.0,141550.0,175.0,16361.0,16284.0,51742.0,77.0,16361.0,16161.0,200.0,0.0,True,227.89213839449735,0.7679071390214552,173.0456644902587,0.44496925263524634,276.6467820870473,0.7229435256437203,2
2021-03-18,16401.0,16220.0,16255.0,16238.0,277146.0,181.0,,,,,16401.0,16220.0,181.0,1.0,True,223.42622045216427,0.8101108259974896,173.0456644902587,,267.53756474542377,0.676540508142216,3
2021-03-19,16110.0,15953.0,16100.0,16013.0,299314.0,157.0,16265.0,16050.0,106422.0,215.0,16265.0,15953.0,312.0,,False,217.09991374243435,0.7231693338499599,177.41807662775037,1.2118269123788448,271.77208238871674,1.1480207873365929,4
2021-03-22,16174.0,15911.0,16018.0,16140.0,268970.0,263.0,,,,,16174.0,15911.0,263.0,,False,221.47135052886918,1.1875125128914472,177.41807662775037,,270.9366459707437,0.9707066353379131,0
2021-03-23,16277.0,16103.0,16223.0,16120.0,233726.0,174.0,16242.0,16090.0,78400.0,152.0,16277.0,16090.0,187.0,,False,216.95026952611974,0.8020271206856061,174.7690463092255,0.8697192278034214,262.94267968781577,0.7111816165485941,1
2021-03-24,16062.0,15939.0,16019.0,15983.0,263262.0,123.0,16146.0,16025.0,65248.0,121.0,16146.0,15939.0,207.0,,False,208.00262480934643,0.5913386915801704,169.64818475596593,0.7132407586562453,257.6148054318333,0.8035252463576813,2
2021-03-25,16090.0,15870.0,15890.0,16032.0,272514.0,220.0,16040.0,15857.0,87086.0,183.0,16090.0,15857.0,233.0,,False,209.14523197036107,1.0519006239223145,170.91978620777869,1.0706776790460995,255.27053824784917,0.9127571148605246,3
2021-03-26,16293.0,16081.0,16095.0,16289.0,247374.0,212.0,16078.0,15975.0,93942.0,103.0,16293.0,15975.0,318.0,,False,209.4171146398505,1.0123336880301854,164.45123514037118,0.6263254873828217,261.24477270043496,1.2172492360819227,4
2021-03-29,16485.0,16350.0,16370.0,16411.0,224040.0,135.0,,,,,16485.0,16350.0,135.0,,False,202.32977038843617,0.6672275648849137,164.45123514037118,,249.22146101467925,0.5416868974700716,0
2021-03-30,16531.0,16418.0,16469.0,16519.0,201522.0,113.0,16499.0,16413.0,70392.0,86.0,16531.0,16413.0,118.0,,False,193.8221732085851,0.583008631723436,156.27517589497268,0.5503113306863128,236.72417901328123,0.4984704160422062,1
2021-03-31,16549.0,16403.0,16540.0,16422.0,207430.0,146.0,16567.0,16515.0,58846.0,52.0,16567.0,16403.0,164.0,,False,189.26768052205318,0.7713942475402624,146.34420676211815,0.3553266723056948,229.79806672630207,0.7136700597021559,2
