date,scenario,breakout_time,direction,key_price,entry_price,key_range,timestamp,has_burst,max_burst_ticks,large_tick_count,mfe,mae,mfe_in_range,mae_in_range,outcome
2020-12-31,h018,08:47:00,long,14689.0,14691.0,21.0,2020-12-31 08:47:00,True,12,22,21.0,87.0,1.0,4.142857142857143,tp
2021-01-04,h018,08:53:00,long,14655.0,14659.0,20.0,2021-01-04 08:53:00,True,22,43,266.0,16.0,13.3,0.8,tp
2021-01-05,h018,08:48:00,long,14879.0,14880.0,24.0,2021-01-05 08:48:00,True,15,37,100.0,44.0,4.166666666666667,1.8333333333333333,sl
2021-01-06,h018,08:49:00,long,15059.0,15062.0,21.0,2021-01-06 08:49:00,True,13,43,78.0,298.0,3.7142857142857144,14.19047619047619,sl
2021-01-07,h018,08:47:00,long,15064.0,15068.0,23.0,2021-01-07 08:47:00,True,20,60,192.0,44.0,8.347826086956522,1.9130434782608696,tp
2021-01-08,h018,08:47:00,long,15407.0,15418.0,36.0,2021-01-08 08:47:00,True,24,79,55.0,154.0,1.5277777777777777,4.277777777777778,sl
2021-01-11,h018,09:01:00,long,15422.0,15434.0,34.0,2021-01-11 09:01:00,True,24,65,104.0,65.0,3.0588235294117645,1.911764705882353,tp
2021-01-12,h018,08:47:00,long,15532.0,15533.0,21.0,2021-01-12 08:47:00,True,26,45,72.0,126.0,3.4285714285714284,6.0,tp
2021-01-13,h018,08:50:00,long,15575.0,15581.0,20.0,2021-01-13 08:50:00,True,32,51,209.0,22.0,10.45,1.1,sl
2021-01-14,h018,08:50:00,short,15685.0,15676.0,21.0,2021-01-14 08:50:00,True,45,84,44.0,90.0,2.0952380952380953,4.285714285714286,tp
2021-01-15,h018,09:02:00,short,15940.0,15920.0,59.0,2021-01-15 09:02:00,True,89,191,336.0,18.0,5.694915254237288,0.3050847457627119,tp
2021-01-18,h018,08:49:00,long,15660.0,15671.0,35.0,2021-01-18 08:49:00,True,12,48,8.0,344.0,0.22857142857142856,9.82857142857143,sl
2021-01-19,h018,08:49:00,long,15730.0,15732.0,20.0,2021-01-19 08:49:00,True,13,44,214.0,15.0,10.7,0.75,tp
2021-01-20,h018,08:47:00,long,15906.0,15908.0,34.0,2021-01-20 08:47:00,True,23,67,56.0,173.0,1.6470588235294117,5.088235294117647,tp
2021-01-21,h018,08:48:00,short,15791.0,15788.0,22.0,2021-01-21 08:48:00,True,5,16,19.0,395.0,0.8636363636363636,17.954545454545453,sl
2021-01-22,h018,08:59:00,short,15986.0,15975.0,66.0,2021-01-22 08:59:00,True,15,52,47.0,110.0,0.7121212121212122,1.6666666666666667,sl
2021-01-25,h018,08:47:00,long,15978.0,15994.0,28.0,2021-01-25 08:47:00,True,25,85,10.0,275.0,0.35714285714285715,9.821428571428571,sl
2021-01-26,h018,08:48:00,long,15884.0,15896.0,32.0,2021-01-26 08:48:00,True,53,84,78.0,359.0,2.4375,11.21875,tp
2021-01-27,h018,08:49:00,long,15747.0,15748.0,27.0,2021-01-27 08:49:00,True,17,39,66.0,163.0,2.4444444444444446,6.037037037037037,sl
2021-01-28,h018,08:54:00,short,15371.0,15362.0,49.0,2021-01-28 08:54:00,True,44,74,57.0,162.0,1.163265306122449,3.306122448979592,sl
2021-01-29,h018,08:53:00,short,15491.0,15484.0,27.0,2021-01-29 08:53:00,True,35,55,421.0,55.0,15.592592592592593,2.037037037037037,sl
2021-02-01,h018,09:02:00,short,15147.0,15143.0,71.0,2021-02-01 09:02:00,True,45,133,53.0,255.0,0.7464788732394366,3.591549295774648,sl
2021-02-02,h018,08:57:00,long,15485.0,15495.0,26.0,2021-02-02 08:57:00,True,21,72,325.0,3.0,12.5,0.11538461538461539,tp
