date,scenario,breakout_time,direction,key_price,entry_price,key_range,timestamp,spike_time,has_burst,max_burst_ticks,large_tick_count,mfe,mae,mfe_in_range,mae_in_range,outcome
2020-12-31,h062,09:31:00,long,14657.0,14666.0,27.0,2020-12-31 09:31:00,09:25:00,True,23,50,39.0,62.0,1.4444444444444444,2.2962962962962963,tp
2020-12-31,h062,10:39:00,short,14641.0,14639.0,16.0,2020-12-31 10:39:00,10:35:00,True,22,33,35.0,43.0,2.1875,2.6875,tp
2020-12-31,h062,10:51:00,short,14616.0,14615.0,17.0,2020-12-31 10:51:00,10:50:00,True,20,60,11.0,67.0,0.6470588235294118,3.9411764705882355,sl
2020-12-31,h062,11:55:00,long,14664.0,14665.0,9.0,2020-12-31 11:55:00,11:54:00,True,6,14,17.0,28.0,1.8888888888888888,3.111111111111111,tp
2020-12-31,h062,12:00:00,short,14664.0,14662.0,6.0,2020-12-31 12:00:00,11:56:00,False,0,4,25.0,20.0,4.166666666666667,3.3333333333333335,sl
2020-12-31,h062,12:25:00,short,14641.0,14639.0,14.0,2020-12-31 12:25:00,12:20:00,False,2,5,2.0,43.0,0.14285714285714285,3.0714285714285716,sl
2020-12-31,h062,13:15:00,long,14670.0,14673.0,9.0,2020-12-31 13:15:00,13:14:00,True,9,25,9.0,4.0,1.0,0.4444444444444444,tp
2021-01-04,h062,09:41:00,long,14733.0,14740.0,23.0,2021-01-04 09:41:00,09:29:00,True,60,90,185.0,7.0,8.043478260869565,0.30434782608695654,tp
2021-01-04,h062,11:07:00,long,14858.0,14860.0,14.0,2021-01-04 11:07:00,11:06:00,True,23,74,65.0,10.0,4.642857142857143,0.7142857142857143,tp
2021-01-04,h062,11:10:00,long,14872.0,14875.0,14.0,2021-01-04 11:10:00,11:08:00,True,20,43,50.0,25.0,3.5714285714285716,1.7857142857142858,tp
2021-01-04,h062,12:51:00,short,14904.0,14903.0,10.0,2021-01-04 12:51:00,12:49:00,True,8,13,53.0,13.0,5.3,1.3,sl
2021-01-05,h062,10:37:00,long,14928.0,14929.0,14.0,2021-01-05 10:37:00,10:35:00,True,7,24,51.0,60.0,3.642857142857143,4.285714285714286,sl
2021-01-05,h062,11:34:00,short,14937.0,14934.0,8.0,2021-01-05 11:34:00,11:32:00,True,7,13,65.0,46.0,8.125,5.75,tp
2021-01-05,h062,13:26:00,long,14940.0,14941.0,13.0,2021-01-05 13:26:00,13:25:00,True,26,56,39.0,1.0,3.0,0.07692307692307693,tp
2021-01-06,h062,09:36:00,short,15042.0,15019.0,59.0,2021-01-06 09:36:00,09:30:00,True,120,325,255.0,75.0,4.322033898305085,1.271186440677966,sl
2021-01-06,h062,10:35:00,short,15075.0,15067.0,12.0,2021-01-06 10:35:00,10:30:00,True,19,45,303.0,27.0,25.25,2.25,sl
2021-01-06,h062,11:16:00,long,14981.0,14985.0,20.0,2021-01-06 11:16:00,11:15:00,True,38,91,10.0,221.0,0.5,11.05,sl
2021-01-06,h062,11:53:00,short,14882.0,14873.0,33.0,2021-01-06 11:53:00,11:52:00,True,60,182,109.0,102.0,3.303030303030303,3.090909090909091,tp
2021-01-06,h062,12:02:00,short,14804.0,14772.0,54.0,2021-01-06 12:02:00,12:01:00,True,72,256,8.0,203.0,0.14814814814814814,3.759259259259259,sl
2021-01-07,h062,09:16:00,long,15101.0,15102.0,27.0,2021-01-07 09:16:00,09:15:00,True,19,55,158.0,78.0,5.851851851851852,2.888888888888889,sl
2021-01-07,h062,09:59:00,short,15095.0,15092.0,20.0,2021-01-07 09:59:00,09:55:00,True,11,25,16.0,168.0,0.8,8.4,sl
2021-01-07,h062,10:34:00,long,15119.0,15125.0,11.0,2021-01-07 10:34:00,10:21:00,True,26,54,135.0,13.0,12.272727272727273,1.1818181818181819,sl
2021-01-07,h062,10:55:00,long,15150.0,15151.0,18.0,2021-01-07 10:55:00,10:53:00,True,14,34,109.0,1.0,6.055555555555555,0.05555555555555555,tp
2021-01-07,h062,11:43:00,long,15208.0,15209.0,33.0,2021-01-07 11:43:00,11:39:00,True,15,48,51.0,31.0,1.5454545454545454,0.9393939393939394,tp
2021-01-07,h062,12:25:00,long,15213.0,15225.0,18.0,2021-01-07 12:25:00,12:21:00,True,16,38,35.0,23.0,1.9444444444444444,1.2777777777777777,tp
2021-01-07,h062,12:37:00,short,15237.0,15231.0,10.0,2021-01-07 12:37:00,12:36:00,True,13,28,29.0,29.0,2.9,2.9,sl
2021-01-07,h062,13:26:00,short,15232.0,15225.0,28.0,2021-01-07 13:26:00,13:25:00,True,16,52,23.0,10.0,0.8214285714285714,0.35714285714285715,timeout
