strategy,weekday,wd_idx,N,WR,PF,avg,total,sharpe
EstHL,Mon,0,45,0.6,2.5417536534446765,32.82222222222222,1477.0,5.835450725082563
EstHL,Tue,1,61,0.5409836065573771,1.744832501781896,17.131147540983605,1045.0,2.783722811668467
EstHL,Wed,2,55,0.6363636363636364,3.3485714285714288,44.836363636363636,2466.0,7.627039063668651
EstHL,Thu,3,44,0.4772727272727273,1.286764705882353,7.9772727272727275,351.0,2.145933944470518
EstHL,Fri,4,42,0.35714285714285715,0.9357459379615952,-2.0714285714285716,-87.0,-0.5466603555067109
Reversal,Mon,0,94,0.3617021276595745,0.7518072289156627,-6.574468085106383,-618.0,-2.1397038798217833
Reversal,Tue,1,97,0.5360824742268041,2.155829596412556,21.257731958762886,2062.0,3.95132126819755
Reversal,Wed,2,99,0.48484848484848486,1.280674846625767,5.545454545454546,549.0,0.863263048199437
Reversal,Thu,3,99,0.494949494949495,1.5802171290711702,9.717171717171718,962.0,2.2698743162170922
Reversal,Fri,4,109,0.3944954128440367,0.9301547469677959,-1.5321100917431192,-167.0,-1.2676000151091067
Exhaustion,Mon,0,30,0.4,0.9280397022332506,-2.9,-87.0,-1.3055857259703416
Exhaustion,Tue,1,21,0.6190476190476191,1.5572916666666667,15.285714285714286,321.0,3.863209892117923
Exhaustion,Wed,2,21,0.47619047619047616,0.7732997481108312,-8.571428571428571,-180.0,-0.6119570613530853
Exhaustion,Thu,3,24,0.3333333333333333,0.8018327605956472,-7.208333333333333,-173.0,-3.0917906674611135
Exhaustion,Fri,4,38,0.47368421052631576,1.1155339805825242,3.1315789473684212,119.0,0.5328534468726309
