strategy,weekday,wd_idx,N,MAE_med,MFE_med,ratio_med,win_MAE_mean,loss_MFE_mean
EstHL,Mon,0,45,38.0,67.0,0.5818181818181818,29.85185185185185,20.833333333333332
EstHL,Tue,1,61,37.0,42.0,0.8048780487804879,34.42424242424242,28.071428571428573
EstHL,Wed,2,55,35.0,77.0,0.3333333333333333,29.714285714285715,41.9
EstHL,Thu,3,44,47.5,55.0,0.8014084507042254,41.0,25.91304347826087
EstHL,Fri,4,42,41.5,44.5,1.3191040415516961,33.666666666666664,31.88888888888889
Reversal,Mon,0,94,35.0,27.5,1.1693121693121693,28.941176470588236,20.733333333333334
Reversal,Tue,1,97,29.0,47.0,0.4788732394366197,26.615384615384617,24.666666666666668
Reversal,Wed,2,99,30.0,34.0,0.8,23.541666666666668,19.607843137254903
Reversal,Thu,3,99,26.0,40.0,0.6842105263157895,24.591836734693878,20.6
Reversal,Fri,4,109,27.0,31.0,0.8333333333333334,21.302325581395348,20.272727272727273
Exhaustion,Mon,0,30,56.5,52.0,1.378599801390268,41.416666666666664,29.22222222222222
Exhaustion,Tue,1,21,44.0,70.0,0.7142857142857143,37.30769230769231,22.0
Exhaustion,Wed,2,21,45.0,51.0,1.0,35.8,30.0
Exhaustion,Thu,3,24,45.5,30.0,1.7599206349206349,34.5,21.0625
Exhaustion,Fri,4,38,46.5,69.0,0.6149072139609193,48.05555555555556,40.7
