strategy,weekday,wd_idx,with_N,with_PF,with_WR,agst_N,agst_PF,agst_WR
EstHL,Mon,0,44,2.5073068893528183,0.5909090909090909,1,inf,1.0
EstHL,Tue,1,61,1.744832501781896,0.5409836065573771,0,0.0,0.0
EstHL,Wed,2,55,3.3485714285714288,0.6363636363636364,0,0.0,0.0
EstHL,Thu,3,44,1.286764705882353,0.4772727272727273,0,0.0,0.0
EstHL,Fri,4,42,0.9357459379615952,0.35714285714285715,0,0.0,0.0
Reversal,Mon,0,84,0.8157303370786517,0.35714285714285715,10,0.21509433962264152,0.4
Reversal,Tue,1,89,1.8201272411798728,0.5168539325842697,8,12.709090909090909,0.75
Reversal,Wed,2,89,1.2894736842105263,0.47191011235955055,10,1.1590909090909092,0.6
Reversal,Thu,3,93,1.2481617647058822,0.4731182795698925,6,22.423076923076923,0.8333333333333334
Reversal,Fri,4,94,0.9120234604105572,0.40425531914893614,15,1.03768115942029,0.3333333333333333
Exhaustion,Mon,0,0,0.0,0.0,30,0.9280397022332506,0.4
Exhaustion,Tue,1,0,0.0,0.0,21,1.5572916666666667,0.6190476190476191
Exhaustion,Wed,2,0,0.0,0.0,21,0.7732997481108312,0.47619047619047616
Exhaustion,Thu,3,0,0.0,0.0,24,0.8018327605956472,0.3333333333333333
Exhaustion,Fri,4,0,0.0,0.0,38,1.1155339805825242,0.47368421052631576
