Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,is_long,MAE,MFE,MAE_MFE_ratio,trend_regime
1,625,647,14891.0,14857.0,,,-34.0,0.0,-0.0022832583439661436,2021-01-05 09:08:00,2021-01-05 09:30:00,0 days 00:22:00,,2021-01-05,1,2021,True,37.0,34.0,1.088235294117647,with_trend
1,918,954,15074.0,15019.0,,,-55.0,0.0,-0.003648666578214166,2021-01-06 09:00:00,2021-01-06 09:36:00,0 days 00:36:00,,2021-01-06,2,2021,True,64.0,66.0,0.9696969696969697,with_trend
1,1822,1845,15434.0,15480.0,,,46.0,0.0,0.0029804328106777245,2021-01-11 09:01:00,2021-01-11 09:24:00,0 days 00:23:00,,2021-01-11,0,2021,True,20.0,59.0,0.3389830508474576,with_trend
1,2129,2143,15555.0,15512.0,,,-43.0,0.0,-0.0027643844423015373,2021-01-12 09:07:00,2021-01-12 09:21:00,0 days 00:14:00,,2021-01-12,1,2021,True,47.0,50.0,0.94,with_trend
1,2423,2476,15587.0,15689.0,,,102.0,0.0,0.006543914800795525,2021-01-13 09:00:00,2021-01-13 09:53:00,0 days 00:53:00,,2021-01-13,2,2021,True,21.0,113.0,0.18584070796460178,with_trend
1,3927,3957,15913.0,15860.0,,,-53.0,0.0,-0.0033306101929240217,2021-01-20 08:59:00,2021-01-20 09:29:00,0 days 00:30:00,,2021-01-20,2,2021,True,53.0,51.0,1.0392156862745099,with_trend
1,4545,4560,16055.0,15995.0,,,-60.0,0.0,-0.003737153534724369,2021-01-22 09:15:00,2021-01-22 09:30:00,0 days 00:15:00,,2021-01-22,4,2021,True,64.0,1.0,64.0,with_trend
1,6636,6711,15510.0,15746.0,,,236.0,0.0,0.015215989684074893,2021-02-02 08:59:00,2021-02-02 10:14:00,0 days 01:15:00,,2021-02-02,1,2021,True,17.0,269.0,0.06319702602230483,with_trend
1,8759,8771,16543.0,16477.0,,,-66.0,0.0,-0.003989602853170515,2021-02-22 09:15:00,2021-02-22 09:27:00,0 days 00:12:00,,2021-02-22,0,2021,True,74.0,21.0,3.5238095238095237,with_trend
1,11453,11468,16006.0,15934.0,,,-72.0,0.0,-0.004498313132575316,2021-03-08 09:00:00,2021-03-08 09:15:00,0 days 00:15:00,,2021-03-08,0,2021,True,73.0,4.0,18.25,with_trend
1,12355,12449,15980.0,16168.0,,,188.0,0.0,0.0117647058823529,2021-03-11 08:59:00,2021-03-11 10:33:00,0 days 01:34:00,,2021-03-11,3,2021,True,17.0,208.0,0.08173076923076923,with_trend
