Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,is_long,MAE,MFE,MAE_MFE_ratio,trend_regime
1,649,738,14870.0,14902.0,,,32.0,0.0,0.002151983860120943,2021-01-05 09:32:00,2021-01-05 11:01:00,0 days 01:29:00,,2021-01-05,1,2021,True,34.0,71.0,0.4788732394366197,with_trend
1,1254,1341,15056.0,15168.0,,,112.0,0.0,0.007438894792773709,2021-01-07 09:35:00,2021-01-07 11:02:00,0 days 01:27:00,,2021-01-07,3,2021,True,31.0,126.0,0.24603174603174602,with_trend
1,1578,1585,15309.0,15269.0,,,-40.0,0.0,-0.002612842119014913,2021-01-08 09:58:00,2021-01-08 10:05:00,0 days 00:07:00,,2021-01-08,4,2021,True,45.0,6.0,7.5,with_trend
1,2765,2873,15658.0,15698.0,,,40.0,0.0,0.0025546046749265194,2021-01-14 09:41:00,2021-01-14 11:29:00,0 days 01:48:00,,2021-01-14,3,2021,True,16.0,76.0,0.21052631578947367,with_trend
1,3035,3063,15892.0,15837.0,,,-55.0,0.0,-0.0034608608104707006,2021-01-15 09:10:00,2021-01-15 09:38:00,0 days 00:28:00,,2021-01-15,4,2021,True,60.0,46.0,1.3043478260869565,with_trend
1,3960,3971,15890.0,15830.0,,,-60.0,0.0,-0.0037759597230963005,2021-01-20 09:32:00,2021-01-20 09:43:00,0 days 00:11:00,,2021-01-20,2,2021,True,62.0,18.0,3.4444444444444446,with_trend
-1,5750,5774,15448.0,15518.0,,,-70.0,0.0,-0.004531330916623499,2021-01-28 09:16:00,2021-01-28 09:40:00,0 days 00:24:00,,2021-01-28,3,2021,False,75.0,8.0,9.375,with_trend
1,12718,12768,16197.0,16161.0,,,-36.0,0.0,-0.0022226338210780128,2021-03-12 10:01:00,2021-03-12 10:51:00,0 days 00:50:00,,2021-03-12,4,2021,True,39.0,35.0,1.1142857142857143,with_trend
1,13596,13661,16265.0,16304.0,,,39.0,0.0,0.0023977866584690144,2021-03-17 09:36:00,2021-03-17 10:41:00,0 days 01:05:00,,2021-03-17,2,2021,True,8.0,71.0,0.11267605633802817,with_trend
1,15986,16047,16369.0,16430.0,,,61.0,0.0,0.0037265562954365006,2021-03-29 09:18:00,2021-03-29 10:19:00,0 days 01:01:00,,2021-03-29,0,2021,True,12.0,81.0,0.14814814814814814,with_trend
1,20532,20567,17206.0,17171.0,,,-35.0,0.0,-0.002034174125305155,2021-04-21 09:49:00,2021-04-21 10:24:00,0 days 00:35:00,,2021-04-21,2,2021,True,56.0,6.0,9.333333333333334,against_trend
1,22303,22374,17624.0,17673.0,,,49.0,0.0,0.0027802995914660844,2021-04-29 09:14:00,2021-04-29 10:25:00,0 days 01:11:00,,2021-04-29,3,2021,True,49.0,78.0,0.6282051282051282,with_trend
-1,24416,24471,16943.0,16697.0,,,246.0,0.0,0.014519270495189751,2021-05-11 09:20:00,2021-05-11 10:15:00,0 days 00:55:00,,2021-05-11,1,2021,False,23.0,285.0,0.08070175438596491,with_trend
