rule,split,recall_A,FPR_bull,hit_B,hit_C,hit_D,n_A,n_bull,youden_J,median_lag_days
BASELINE: cond_A only (TAIEX<250MA),FULL,0.31464019851116626,0.0,0.3840909090909091,0.23248882265275708,0.0,2015,667,0.31464019851116626,73.0
BASELINE: cond_B only (streak>=3),FULL,0.5220843672456575,0.2143928035982009,0.33636363636363636,0.2906110283159464,0.027888446215139442,2015,667,0.30769156364745665,154.5
BASELINE: H084 mode2_AND,FULL,0.16476426799007443,0.0,0.24204545454545454,0.09538002980625931,0.0,2015,667,0.16476426799007443,175.0
BASELINE: H084 mode2_OR,FULL,0.6719602977667494,0.2143928035982009,0.4784090909090909,0.4277198211624441,0.027888446215139442,2015,667,0.45756749416854847,52.5
BASELINE: cond_A only (TAIEX<250MA),IS,0.28172757475083055,0.0,0.44466800804828976,0.23587223587223588,0.0,1505,261,0.28172757475083055,110.0
BASELINE: cond_B only (streak>=3),IS,0.5196013289036545,0.1685823754789272,0.5774647887323944,0.009828009828009828,0.0,1505,261,0.35101895342472733,69.0
BASELINE: H084 mode2_AND,IS,0.20730897009966778,0.0,0.42857142857142855,0.009828009828009828,0.0,1505,261,0.20730897009966778,110.0
BASELINE: H084 mode2_OR,IS,0.5940199335548173,0.1685823754789272,0.5935613682092555,0.23587223587223588,0.0,1505,261,0.4254375580758901,69.0
BASELINE: cond_A only (TAIEX<250MA),OOS,0.4117647058823529,0.0,0.30548302872062666,0.22727272727272727,0.0,510,406,0.4117647058823529,36.0
BASELINE: cond_B only (streak>=3),OOS,0.5294117647058824,0.2438423645320197,0.02349869451697128,0.7234848484848485,0.032407407407407406,510,406,0.2855694001738627,240.0
BASELINE: H084 mode2_AND,OOS,0.0392156862745098,0.0,0.0,0.22727272727272727,0.0,510,406,0.0392156862745098,240.0
BASELINE: H084 mode2_OR,OOS,0.9019607843137255,0.2438423645320197,0.3289817232375979,0.7234848484848485,0.032407407407407406,510,406,0.6581184197817058,36.0
A>=0d AND B=streak>=1,FULL,0.20794044665012407,0.0,0.2727272727272727,0.16691505216095381,0.0,2015,667,0.20794044665012407,153.0
A>=0d OR B=streak>=1,FULL,0.7225806451612903,0.27586206896551724,0.5420454545454545,0.5305514157973175,0.027888446215139442,2015,667,0.44671857619577304,31.5
A>=0d AND B=streak>=2,FULL,0.18660049627791564,0.0,0.2545454545454545,0.12667660208643816,0.0,2015,667,0.18660049627791564,164.5
A>=0d OR B=streak>=2,FULL,0.6923076923076923,0.24587706146926536,0.5170454545454546,0.45603576751117736,0.027888446215139442,2015,667,0.44643063083842693,42.5
A>=0d AND B=streak>=3,FULL,0.16476426799007443,0.0,0.24204545454545454,0.09538002980625931,0.0,2015,667,0.16476426799007443,175.0
A>=0d OR B=streak>=3,FULL,0.6719602977667494,0.2143928035982009,0.4784090909090909,0.4277198211624441,0.027888446215139442,2015,667,0.45756749416854847,52.5
A>=0d AND B=streak>=4,FULL,0.14640198511166252,0.0,0.22386363636363638,0.06408345752608048,0.0,2015,667,0.14640198511166252,183.5
A>=0d OR B=streak>=4,FULL,0.6501240694789082,0.1634182908545727,0.4625,0.4277198211624441,0.027888446215139442,2015,667,0.4867057786243355,64.0
A>=0d AND B=streak>=6,FULL,0.11513647642679901,0.0,0.17386363636363636,0.02384500745156483,0.0,2015,667,0.11513647642679901,133.0
A>=0d OR B=streak>=6,FULL,0.601985111662531,0.07646176911544228,0.4625,0.4202682563338301,0.0,2015,667,0.5255233425470887,73.0
A>=0d AND B=score<=16,FULL,0.14193548387096774,0.0,0.22954545454545455,0.020864381520119227,0.0,2015,667,0.14193548387096774,176.0
A>=0d OR B=score<=16,FULL,0.48287841191067,0.0,0.4090909090909091,0.23248882265275708,0.0,2015,667,0.48287841191067,52.5
A>=0d AND B=score<=22,FULL,0.20794044665012407,0.0,0.2727272727272727,0.16691505216095381,0.0,2015,667,0.20794044665012407,153.0
A>=0d OR B=score<=22,FULL,0.7225806451612903,0.27586206896551724,0.5420454545454545,0.5305514157973175,0.027888446215139442,2015,667,0.44671857619577304,31.5
A>=5d AND B=streak>=1,FULL,0.19404466501240694,0.0,0.23522727272727273,0.14008941877794337,0.0,2015,667,0.19404466501240694,155.0
A>=5d OR B=streak>=1,FULL,0.7081885856079404,0.27586206896551724,0.5159090909090909,0.4918032786885246,0.027888446215139442,2015,667,0.43232651664242316,44.0
A>=5d AND B=streak>=2,FULL,0.17270471464019851,0.0,0.22727272727272727,0.10730253353204174,0.0,2015,667,0.17270471464019851,166.5
